section,name,ok,return_code,step,error,config,profile_output,policy_output,summary_output,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,lossy_action_ratio,action_distribution,audit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,optimality_gap,oracle,oracle_cost_ms,placeholder,pred_loss_mean,risk_upper_mean,target_delta
experiment,pilot-smoke-measured,True,0,complete,,configs/pilot.yaml,out/profile_tables/pilot_smoke_measured_profiles.csv,out/policy_tables/pilot_smoke_measured_policy.csv,out/policy_tables/pilot_smoke_measured_summary.csv,1000,600,0.05,0.05,6144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile,engine_full_lru,True,0,complete,,configs/pilot.yaml,out/profile_tables/pilot_smoke_measured_profiles.csv,out/policy_tables/pilot_smoke_measured_policy.csv,out/policy_tables/pilot_smoke_measured_summary.csv,,,0.05,0.05,6144.0,200.0,200.0,200.0,555.2095358259976,2595.0147062540054,3850.9519435465336,827.85951171875,828.75390625,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
profile,compress_light,True,0,complete,,configs/pilot.yaml,out/profile_tables/pilot_smoke_measured_profiles.csv,out/policy_tables/pilot_smoke_measured_policy.csv,out/policy_tables/pilot_smoke_measured_summary.csv,,,0.05,0.05,6144.0,200.0,200.0,200.0,4.061300000000001,7.055000000000001,9.350000000000001,0.06065820312500003,0.10537109375,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
profile,compress_heavy,True,0,complete,,configs/pilot.yaml,out/profile_tables/pilot_smoke_measured_profiles.csv,out/policy_tables/pilot_smoke_measured_policy.csv,out/policy_tables/pilot_smoke_measured_summary.csv,,,0.05,0.05,6144.0,200.0,200.0,200.0,3.3446,5.8100000000000005,7.700000000000001,0.03732812499999999,0.06484375,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
profile,offload_default,True,0,complete,,configs/pilot.yaml,out/profile_tables/pilot_smoke_measured_profiles.csv,out/policy_tables/pilot_smoke_measured_policy.csv,out/policy_tables/pilot_smoke_measured_summary.csv,,,0.05,0.05,6144.0,200.0,200.0,200.0,5.733600000000003,9.959999999999999,13.2,0.04199414062500001,0.07294921875,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
profile,recompute_default,True,0,complete,,configs/pilot.yaml,out/profile_tables/pilot_smoke_measured_profiles.csv,out/policy_tables/pilot_smoke_measured_policy.csv,out/policy_tables/pilot_smoke_measured_summary.csv,,,0.05,0.05,6144.0,200.0,200.0,200.0,7.166999999999996,12.45,16.5,0.05132617187499999,0.08916015625000001,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
policy,full_lru,True,0,complete,,configs/pilot.yaml,out/profile_tables/pilot_smoke_measured_profiles.csv,out/policy_tables/pilot_smoke_measured_policy.csv,out/policy_tables/pilot_smoke_measured_summary.csv,,,0.05,0.05,6144.0,100.0,100.0,,562.7158723771572,2608.663145452738,3762.5193186104298,827.8509765625,828.75,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.0,"{""engine_full_lru"": 100}",,,,,,,,False,,False,,,0.05
policy,static_best,True,0,complete,,configs/pilot.yaml,out/profile_tables/pilot_smoke_measured_profiles.csv,out/policy_tables/pilot_smoke_measured_policy.csv,out/policy_tables/pilot_smoke_measured_summary.csv,,,0.05,0.05,6144.0,100.0,100.0,,562.7158723771572,2608.663145452738,3762.5193186104298,827.8509765625,828.75,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,0.0,"{""engine_full_lru"": 100}",,,,,,,,False,,True,0.0,0.0,0.05
policy,static_safe,True,0,complete,,configs/pilot.yaml,out/profile_tables/pilot_smoke_measured_profiles.csv,out/policy_tables/pilot_smoke_measured_policy.csv,out/policy_tables/pilot_smoke_measured_summary.csv,,,0.05,0.05,6144.0,100.0,100.0,,562.7158723771572,2608.663145452738,3762.5193186104298,827.8509765625,828.75,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,0.0,"{""engine_full_lru"": 100}",,,,,,,,False,,True,0.0,0.0,0.05
policy,utility_dynamic,True,0,complete,,configs/pilot.yaml,out/profile_tables/pilot_smoke_measured_profiles.csv,out/policy_tables/pilot_smoke_measured_policy.csv,out/policy_tables/pilot_smoke_measured_summary.csv,,,0.05,0.05,6144.0,100.0,100.0,,3.392200000000001,6.16,8.33,0.037859374999999994,0.06875,1.0,1.0,1.0,1.0,1.0,-0.95,1.0,0.0,1.0,0.0,1.0,"{""compress_heavy"": 100}",,,,,,,,False,,True,1.0,1.0,0.05
