adapter,error,extra_backend,extra_builtin_request_fallback,extra_family,extra_model,extra_profile_note,extra_reference,extra_request_source,extra_unsupported,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,split,task,ttft_ms
full,"full transformers profile failed (full_cpu): profiles.transformers_runtime 启动失败: TimeoutExpired: Command '['conda', 'run', '-n', 'tailguardkv-base', 'python', '-m', 'profiles.transformers_runtime']' timed out after 180 seconds",transformers,false,full,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,Ground truth is not established in the paper,zai-org/LongBench,true,,long,False,False,,,full_cpu,,,longbench_qasper_000000,,calibration,qa_long_context,
full,"full transformers profile failed (full_cpu): profiles.transformers_runtime 启动失败: TimeoutExpired: Command '['conda', 'run', '-n', 'tailguardkv-base', 'python', '-m', 'profiles.transformers_runtime']' timed out after 180 seconds",transformers,false,full,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,Former Premier League footballer Sam Sodje has appeared in court alongside three brothers accused of charity fraud.,EdinburghNLP/xsum,true,,medium,False,False,,,full_cpu,,,xsum_000000,,calibration,summary,
full,"full transformers profile failed (full_cpu): profiles.transformers_runtime 启动失败: TimeoutExpired: Command '['conda', 'run', '-n', 'tailguardkv-base', 'python', '-m', 'profiles.transformers_runtime']' timed out after 180 seconds",transformers,false,full,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,Two teenagers have been charged in connection with an incident in west Belfast in which a car collided with two police vehicles.,EdinburghNLP/xsum,true,,short,False,False,,,full_cpu,,,xsum_000004,,calibration,summary,
full,"full transformers profile failed (full_cpu): profiles.transformers_runtime 启动失败: TimeoutExpired: Command '['conda', 'run', '-n', 'tailguardkv-base', 'python', '-m', 'profiles.transformers_runtime']' timed out after 180 seconds",transformers,false,full,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,Labour leadership hopefuls Liz Kendall and Yvette Cooper have said their supporters should back anyone other than Jeremy Corbyn in the contest.,EdinburghNLP/xsum,true,,long,False,False,,,full_cpu,,,xsum_000009,,calibration,summary,
full,"full transformers profile failed (full_cpu): profiles.transformers_runtime 启动失败: TimeoutExpired: Command '['conda', 'run', '-n', 'tailguardkv-base', 'python', '-m', 'profiles.transformers_runtime']' timed out after 180 seconds",transformers,false,full,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,"David Cameron is facing Labour calls to apologise for calling refugees at a camp in Calais ""a bunch of migrants"" at Prime Minister's Questions.",EdinburghNLP/xsum,true,,xl,False,False,,,full_cpu,,,xsum_000071,,calibration,summary,
full,"full transformers profile failed (full_cpu): profiles.transformers_runtime 启动失败: TimeoutExpired: Command '['conda', 'run', '-n', 'tailguardkv-base', 'python', '-m', 'profiles.transformers_runtime']' timed out after 180 seconds",transformers,false,full,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,"extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters",zai-org/LongBench,true,,long,False,False,,,full_cpu,,,longbench_qasper_000001,,calibration,qa_long_context,
full,"full transformers profile failed (full_cpu): profiles.transformers_runtime 启动失败: TimeoutExpired: Command '['conda', 'run', '-n', 'tailguardkv-base', 'python', '-m', 'profiles.transformers_runtime']' timed out after 180 seconds",transformers,false,full,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,Middlesex batsman Adam Voges will be out until August after suffering a torn calf muscle in his right leg.,EdinburghNLP/xsum,true,,medium,False,False,,,full_cpu,,,xsum_000001,,calibration,summary,
full,"full transformers profile failed (full_cpu): profiles.transformers_runtime 启动失败: TimeoutExpired: Command '['conda', 'run', '-n', 'tailguardkv-base', 'python', '-m', 'profiles.transformers_runtime']' timed out after 180 seconds",transformers,false,full,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,A pedestrian has been struck by a taxi in Dundee after it mounted the pavement.,EdinburghNLP/xsum,true,,short,False,False,,,full_cpu,,,xsum_000005,,calibration,summary,
full,"full transformers profile failed (full_cpu): profiles.transformers_runtime 启动失败: TimeoutExpired: Command '['conda', 'run', '-n', 'tailguardkv-base', 'python', '-m', 'profiles.transformers_runtime']' timed out after 180 seconds",transformers,false,full,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,"Head teachers say they are axing GCSE and A-level subjects, increasing class sizes and cutting support services as they struggle with school funding.",EdinburghNLP/xsum,true,,long,False,False,,,full_cpu,,,xsum_000010,,calibration,summary,
full,"full transformers profile failed (full_cpu): profiles.transformers_runtime 启动失败: TimeoutExpired: Command '['conda', 'run', '-n', 'tailguardkv-base', 'python', '-m', 'profiles.transformers_runtime']' timed out after 180 seconds",transformers,false,full,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,Liverpool and Manchester United played out a goalless and uneventful stalemate on a disappointing night at Anfield.,EdinburghNLP/xsum,true,,xl,False,False,,,full_cpu,,,xsum_000087,,calibration,summary,
