budget,policy,reps,p95_ttft_ms,p50_ttft_ms,mean_ttft_ms,replay_batch_size,hit_rate,gpu_prefix_cache_evictions,gpu_prefix_cache_cached_blocks,queue_wait_ms,prefill_ms,queue_wait_p95_ms,prefill_p95_ms,free_queue_reorder_calls,free_queue_reorder_blocks,free_queue_reorder_skipped,free_queue_reorder_window,free_queue_reorder_time_ms,policy_time_us_avg,eviction_decision_time_us_avg,score_std,p_reuse_std,c_recomp_ms_p50,request_throughput,p95_ttft_gain_pct_vs_lru,mean_ttft_gain_pct_vs_lru,hit_rate_delta_vs_lru,eviction_delta_vs_lru
0.9,h1_lpe,3,1294.134355,332.220891,472.826143,8.000000,0.611861,12771.000000,16390.000000,0.018819,472.807324,0.036544,1294.108279,1563.000000,23622.666667,1399.000000,484.000000,268.674655,154.914049,230.009478,27.171728,0.208116,138.000000,3.572864,-8.728902,-5.342109,0.000000,417.000000
0.9,h1_lru,3,1190.239519,324.471358,448.848185,8.000000,0.611861,12354.000000,16390.000000,0.017979,448.830205,0.035268,1190.211172,0.000000,0.000000,0.000000,0.000000,0.000000,6.775130,0.000000,0.000000,0.000000,0.000000,3.657120,,,,
0.9,h1_lfu,3,1238.846628,335.948403,443.300360,8.000000,0.612625,12771.000000,16390.000000,0.018736,443.281624,0.048416,1238.828506,1563.000000,23622.666667,1399.000000,484.000000,240.856788,32.731326,180.604583,0.000000,0.000000,0.000000,3.656027,,,,
0.9,vllm_default,3,1169.152759,318.664799,443.830508,8.000000,0.000000,0.000000,0.000000,0.018062,443.812447,0.041098,1169.127133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.689795,,,,
0.85,h1_lpe,3,1259.536642,331.879672,469.039168,8.000000,0.612625,13867.000000,16390.000000,0.018339,469.020829,0.034710,1259.506433,1563.000000,25708.000000,1386.000000,504.000000,281.105697,131.778095,230.994667,27.171745,0.208116,138.000000,3.568472,-7.912724,-6.487170,0.000764,294.000000
0.85,h1_lru,3,1167.180839,314.329463,440.465428,8.000000,0.611861,13573.000000,16390.000000,0.018288,440.447140,0.036015,1167.149285,0.000000,0.000000,0.000000,0.000000,0.000000,8.599722,0.000000,0.000000,0.000000,0.000000,3.675778,,,,
0.85,h1_lfu,3,1187.434102,294.401780,433.934775,8.000000,0.611861,13857.000000,16390.000000,0.017642,433.917133,0.035257,1187.410605,1563.000000,25406.666667,1387.333333,504.000000,267.493471,23.029496,197.180591,0.000000,0.000000,0.000000,3.628821,,,,
0.85,vllm_default,3,1147.340226,285.831060,417.965649,8.000000,0.000000,0.000000,0.000000,0.018279,417.947369,0.048884,1147.314961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.649660,,,,
0.8,h1_lpe,3,1264.041038,330.433574,470.331396,8.000000,0.612116,14985.000000,16390.000000,0.018433,470.312963,0.037394,1264.012070,1563.000000,27317.333333,1374.666667,504.000000,296.910594,104.781637,236.101062,27.171745,0.208116,138.000000,3.580432,-7.255868,-9.301711,-0.000509,181.000000
0.8,h1_lru,3,1178.528565,298.078430,430.305611,8.000000,0.612625,14804.000000,16390.000000,0.018068,430.287543,0.035559,1178.505726,0.000000,0.000000,0.000000,0.000000,0.000000,17.378742,0.000000,0.000000,0.000000,0.000000,3.729253,,,,
