policy,memory_budget_mib,epsilon,delta,count,ok_count,session_count,budget_hit_count,budget_hit_rate,restore_count,restore_time_ms_total,recompute_count,recompute_time_ms_total,queue_event_count,queue_delay_ms_mean,evict_event_count,session_reuse_evidence,backend_event_evidence
full_lru,120.258,0.05,0.05,65.0,65.0,13.0,29.0,0.4461538461538462,0.0,0,28.0,4285.189058398828,0.0,0.0,29.0,True,True
static_best,120.258,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,120.258,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,606423.491406804,1.0,0.00016437310438889723,13.0,True,True
uncalibrated_dynamic,120.258,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00017435734088604266,0.0,True,True
utility_dynamic,120.258,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,120.258,0.05,0.1,65.0,65.0,13.0,29.0,0.4461538461538462,0.0,0,28.0,4254.359066020697,0.0,0.0,29.0,True,True
static_best,120.258,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,120.258,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,598991.4848278705,1.0,0.00016730748690091648,13.0,True,True
uncalibrated_dynamic,120.258,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,120.258,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,120.258,0.1,0.05,65.0,65.0,13.0,29.0,0.4461538461538462,0.0,0,28.0,4436.112777097151,1.0,0.0004048604231614333,29.0,True,True
static_best,120.258,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,120.258,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,598220.534853762,0.0,0.0,13.0,True,True
uncalibrated_dynamic,120.258,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,3.0,0.0016733829791729267,0.0,True,True
utility_dynamic,120.258,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,10.0,0.0018639307755690354,0.0,True,True
full_lru,120.258,0.1,0.1,65.0,65.0,13.0,29.0,0.4461538461538462,0.0,0,28.0,4286.501413909718,0.0,0.0,29.0,True,True
static_best,120.258,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,120.258,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,578890.3894002624,1.0,0.0005512934464674729,13.0,True,True
uncalibrated_dynamic,120.258,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,120.258,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,578323.8885710537,3.0,0.0022273687215951772,13.0,True,True
uncalibrated_dynamic,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,4.0,0.000673217039841872,0.0,True,True
utility_dynamic,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,4.0,0.0007253023294302133,0.0,True,True
full_lru,469.602,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,469.602,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,469.602,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,576494.9182309471,0.0,0.0,13.0,True,True
uncalibrated_dynamic,469.602,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0002014306875375601,0.0,True,True
utility_dynamic,469.602,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,2.0,0.0003989403064434345,0.0,True,True
full_lru,469.602,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,469.602,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,469.602,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,566692.2798878998,0.0,0.0,13.0,True,True
uncalibrated_dynamic,469.602,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,469.602,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,2.0,0.0005501050215501052,0.0,True,True
full_lru,469.602,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,469.602,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,469.602,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,587082.3771515824,1.0,0.0012584466200608474,13.0,True,True
uncalibrated_dynamic,469.602,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00017970525301419773,0.0,True,True
utility_dynamic,469.602,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,2.0,0.0008767531468318059,0.0,True,True
full_lru,1078.16,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,1078.16,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,1078.16,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,581580.9614236299,1.0,0.00016121497521033655,13.0,True,True
uncalibrated_dynamic,1078.16,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,1078.16,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,1078.16,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,1078.16,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,1078.16,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,558240.3020242564,1.0,0.0001996003664456881,13.0,True,True
uncalibrated_dynamic,1078.16,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,1078.16,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,1078.16,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,1078.16,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,1078.16,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,555611.61245309,1.0,0.0010738482842078576,13.0,True,True
uncalibrated_dynamic,1078.16,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,1078.16,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,1078.16,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,1078.16,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0008919239044189453,0.0,True,True
static_safe,1078.16,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,563381.1316645611,1.0,0.00049896607032189,13.0,True,True
uncalibrated_dynamic,1078.16,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,1078.16,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,1362.54,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,1362.54,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,1362.54,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,564267.1782478299,0.0,0.0,13.0,True,True
uncalibrated_dynamic,1362.54,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,1362.54,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,1362.54,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,1362.54,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,1362.54,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,560376.9882756695,1.0,0.0004149840428278996,13.0,True,True
uncalibrated_dynamic,1362.54,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,1362.54,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00036115279564490684,0.0,True,True
full_lru,1362.54,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,1362.54,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,1362.54,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,570444.6470033247,1.0,0.0011308596684382513,13.0,True,True
uncalibrated_dynamic,1362.54,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,2.0,0.00033304507915790264,0.0,True,True
utility_dynamic,1362.54,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00015701514024000902,0.0,True,True
full_lru,1362.54,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,1362.54,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,1362.54,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,37.0,565649.6312848032,1.0,0.0005122918349045974,13.0,True,True
uncalibrated_dynamic,1362.54,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,1362.54,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
