config,run_dir,policy,memory_budget_mib,epsilon,delta,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,worst_group_violation,delta_slack,safe_ratio,risk_upper_mean,pred_loss_mean,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,candidate_safe_count,controller_overhead_ms,controller_qrp_ms,controller_cg_ms,controller_stc_ms,oracle_cost_ms,optimality_gap,audit_rate,action_distribution
configs/pilot_50.yaml,out/manual_total_summary,full_lru,4900.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,,,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,0.0,0.0,1.0,0.0,,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,static_best,4900.0,0.05,0.05,0.029082244297254433,0.0,0.14830214830214827,0.23076923076923084,0.18953568953568956,0.2,0.6666666666666666,-0.15000000000000002,0.0,0.14988752118114923,0.045024729694410744,554.3153245747089,359.4547361135483,2406.7088924348354,2587.2599706053734,4627.55419921875,5035.41845703125,6.39927490234375,14.0546875,1.0,0.0,0.0,1.0,,,,,,,,,"{""h2o_heavy10_recent10"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,static_safe,4900.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,1.0,1.0,1.0,0.0,,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,tailguard,4900.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,581.671958565712,298.9431992173195,2543.4184297919273,3795.6896238029003,4634.38109375,5031.64306640625,19.8518359375,37.515625,0.48,0.48,0.48,0.52,1.04,0.19010186195373535,0.15801280736923218,0.010710060596466064,0.1763516664505005,,,,"{""full_gpu"": 12, ""kivi_4bit_residual64"": 13}"
configs/pilot_50.yaml,out/manual_total_summary,quality_oracle,4900.0,0.05,0.05,0.0018353576248313086,0.0,0.0,0.045883940620782715,0.0018353576248313086,0.0,0.0,0.05,1.0,0.0018353576248313086,0.0018353576248313086,457.0822001993656,298.9431992173195,2275.08382871747,2543.4184297919273,4648.59236328125,5081.88330078125,32.7624609375,70.8203125,0.0,0.0,0.96,0.04,,,,,,0.005164742469787598,,,"{""full_gpu"": 24, ""h2o_heavy20_recent20"": 1}"
configs/pilot_50.yaml,out/manual_total_summary,utility_dynamic,4900.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,1.0,1.0,1.0,0.0,2.04,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,uncalibrated_dynamic,4900.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,1.0,1.0,1.0,0.0,2.04,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,full_lru,5000.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,,,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,0.0,0.0,1.0,0.0,,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,static_best,5000.0,0.05,0.05,0.029082244297254433,0.0,0.14830214830214827,0.23076923076923084,0.18953568953568956,0.2,0.6666666666666666,-0.15000000000000002,0.0,0.14988752118114923,0.045024729694410744,554.3153245747089,359.4547361135483,2406.7088924348354,2587.2599706053734,4627.55419921875,5035.41845703125,6.39927490234375,14.0546875,1.0,0.0,0.0,1.0,,,,,,,,,"{""h2o_heavy10_recent10"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,static_safe,5000.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,1.0,1.0,1.0,0.0,,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,tailguard,5000.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,581.671958565712,298.9431992173195,2543.4184297919273,3795.6896238029003,4634.38109375,5031.64306640625,19.8518359375,37.515625,0.48,0.48,0.48,0.52,1.04,0.18748894333839417,0.15611514449119568,0.011100172996520996,0.1737457513809204,,,,"{""full_gpu"": 12, ""kivi_4bit_residual64"": 13}"
configs/pilot_50.yaml,out/manual_total_summary,quality_oracle,5000.0,0.05,0.05,0.0018353576248313086,0.0,0.0,0.045883940620782715,0.0018353576248313086,0.0,0.0,0.05,1.0,0.0018353576248313086,0.0018353576248313086,457.0822001993656,298.9431992173195,2275.08382871747,2543.4184297919273,4648.59236328125,5081.88330078125,32.7624609375,70.8203125,0.0,0.0,0.96,0.04,,,,,,0.004598349332809448,,,"{""full_gpu"": 24, ""h2o_heavy20_recent20"": 1}"
configs/pilot_50.yaml,out/manual_total_summary,utility_dynamic,5000.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,1.0,1.0,1.0,0.0,2.04,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,uncalibrated_dynamic,5000.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,1.0,1.0,1.0,0.0,2.04,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,full_lru,4900.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,0.0,0.0,1.0,0.0,,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,static_best,4900.0,0.05,0.1,0.029082244297254433,0.0,0.14830214830214827,0.23076923076923084,0.18953568953568956,0.2,0.6666666666666666,-0.1,0.0,0.14988752118114923,0.045024729694410744,554.3153245747089,359.4547361135483,2406.7088924348354,2587.2599706053734,4627.55419921875,5035.41845703125,6.39927490234375,14.0546875,1.0,0.0,0.0,1.0,,,,,,,,,"{""h2o_heavy10_recent10"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,static_safe,4900.0,0.05,0.1,0.005825891510102035,0.0,0.05263157894736836,0.06401137980085347,0.05832147937411092,0.08,0.16666666666666666,0.020000000000000004,0.52,0.0577031021168952,0.0096171836861492,671.1857153475285,382.2447210550308,3795.6896238029003,3922.597523778677,4626.711640625,5031.64306640625,12.10822265625,23.616455078125,1.0,0.0,0.0,1.0,,,,,,,,,"{""kivi_4bit_residual64"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,tailguard,4900.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,581.671958565712,298.9431992173195,2543.4184297919273,3795.6896238029003,4634.38109375,5031.64306640625,19.8518359375,37.515625,0.48,0.48,0.48,0.52,1.04,0.17844811081886292,0.1496531069278717,0.009719431400299072,0.1654641330242157,,,,"{""full_gpu"": 12, ""kivi_4bit_residual64"": 13}"
