section,name,ok,error,diagnostic_output,failures,config,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution,audit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,optimality_gap,oracle,oracle_cost_ms,placeholder,pred_loss_mean,risk_upper_mean,target_delta
experiment,pilot-smoke-measured,True,,,,configs/pilot.yaml,1600,4000,0.1,0.1,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile,full_gpu,True,,,,configs/pilot.yaml,,,0.1,0.1,5000.0,200.0,200.0,200.0,548.3223803713918,2755.5513978004456,2886.644132435322,4711.336318359375,5121.31005859375,38.3641015625,74.3203125,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
profile,kivi_4bit_residual32,True,,,,configs/pilot.yaml,,,0.1,0.1,5000.0,200.0,200.0,200.0,792.5096048973501,4322.895508259535,4426.709905266762,4685.015886230469,5069.26806640625,12.907574462890626,24.108642578125,0.010791006330424416,0.06401137980085347,0.14671814671814676,0.12357275325628005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
profile,kivi_4bit_residual64,True,,,,configs/pilot.yaml,,,0.1,0.1,5000.0,200.0,200.0,200.0,790.1969091407955,4357.441831380129,4596.4315533638,4685.067744140625,5069.41845703125,13.817437744140625,25.052001953125,0.010279956943794537,0.06153846153846143,0.14671814671814676,0.12250715219067895,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
profile,kivi_2bit_residual32,True,,,,configs/pilot.yaml,,,0.1,0.1,5000.0,200.0,200.0,200.0,794.3939096853137,4223.312593996525,4461.391840130091,4683.8817211914065,5066.99853515625,8.279114990234374,14.979248046875,0.02538171893062736,0.13186813186813184,0.2753623188405797,0.20532623983098697,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
profile,kivi_2bit_residual64,True,,,,configs/pilot.yaml,,,0.1,0.1,5000.0,200.0,200.0,200.0,788.7411673553288,4285.338696092367,4498.403746634722,4683.972915039062,5067.17626953125,9.354407958984375,16.10546875,0.02196999352180706,0.1103448275862069,0.2753623188405797,0.1934204185157746,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
profile,h2o_heavy10_recent10,True,,,,configs/pilot.yaml,,,0.1,0.1,5000.0,200.0,200.0,200.0,650.8803582377732,2901.6553051769733,3132.0046856999397,4686.182761230469,5073.1845703125,7.487964172363281,14.7135009765625,0.029313406622192575,0.14830214830214827,0.25806451612903225,0.22633105984374635,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
profile,h2o_heavy15_recent15,True,,,,configs/pilot.yaml,,,0.1,0.1,5000.0,200.0,200.0,200.0,649.1263595968485,2933.247208595276,3142.7178904414177,4688.216188964844,5077.455078125,11.254730224609375,22.07025146484375,0.028430742600742222,0.13831478537360897,0.23751023751023748,0.19985718919882778,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
profile,h2o_heavy20_recent20,True,,,,configs/pilot.yaml,,,0.1,0.1,5000.0,200.0,200.0,200.0,651.211083624512,2960.439134389162,3143.9369916915894,4690.992312011719,5081.994140625,15.031927490234375,29.427001953125,0.019375449130902226,0.12257661038148837,0.20199146514935984,0.1727625603748895,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
policy,full_lru,True,,,,configs/pilot.yaml,,,0.05,0.05,4900.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,False,,False,,,0.05
