action_profile,active_session_count,audit_rate,audit_selected,backend_budget_hit,backend_name,budget_hit,candidate_safe_count,config,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,diagnostic_only,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,global_budget_mib,global_resident_kv_mib,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,observed_quality_loss,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,policy_budget_filtered,pred_loss,predicted_quality_loss,primary_profile,quality_estimate,quality_loss,quality_status,queue_delay_ms,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,run_dir,safe,safety_reason,session_id,task,ttft_ms,turn_index,violation_status
full_gpu,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,True,,,,0.0,True,,3900.0,2.078125,2.078125,2.078125,2.078125,1166.5346391964704,short,True,,True,,False,,15070.54150390625,False,full_lru,False,,,full_gpu,,0.0,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-017-turn-0,2.078125,0.0,2.078125,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/batch_outputs/batch007/baseline_wide_sweep,,,hybrid-session-017,chat,83.09074700810015,0,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,True,,,,0.0,True,,3900.0,9.3515625,9.3515625,9.3515625,7.2734375,1417.9771710187197,medium,True,,True,,False,,15273.509765625,False,full_lru,False,,,full_gpu,,0.0,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-017-turn-1,9.3515625,2.078125,9.3515625,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/batch_outputs/batch007/baseline_wide_sweep,,,hybrid-session-017,chat,103.86985307559371,1,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,True,,,,0.0,True,,3900.0,20.671875,20.671875,20.671875,11.3203125,1253.5325500648469,medium,True,,True,,False,,15588.0322265625,False,full_lru,False,,,full_gpu,,0.0,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-017-turn-2,20.671875,9.3515625,20.671875,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/batch_outputs/batch007/baseline_wide_sweep,,,hybrid-session-017,summary,174.76812796667218,2,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,True,,,,0.0,True,,3900.0,65.625,65.625,65.625,44.953125,1689.086054917425,long,True,,True,,False,,16861.72216796875,False,full_lru,False,,,full_gpu,,0.0,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-017-turn-3,65.625,20.671875,65.625,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/batch_outputs/batch007/baseline_wide_sweep,,,hybrid-session-017,summary,622.2802589181811,3,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,True,,,,0.0,True,,3900.0,110.359375,110.359375,110.359375,44.734375,2588.065431918949,xl,True,,True,,False,,18097.50439453125,False,full_lru,False,,,full_gpu,,0.0,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-017-turn-4,110.359375,65.625,110.359375,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/batch_outputs/batch007/baseline_wide_sweep,,,hybrid-session-017,summary,1205.4866249673069,4,risk_evidence_insufficient
h2o_heavy15_recent15,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,0.05,True,,0.1,,0.0,False,,3900.0,0.32940673828125,0.32940673828125,0.32940673828125,0.32940673828125,1898.619743064046,short,True,,True,,False,,15069.10205078125,True,static_best,False,0.0,0.0,h2o_heavy15_recent15,0.0,0.0,risk_evidence_insufficient,0.0,static_best,0.0,,,,hybrid-session-017-turn-0,0.32940673828125,0.0,0.32940673828125,0.0,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/batch_outputs/batch007/baseline_wide_sweep,True,calibrated safe,hybrid-session-017,chat,133.26067896559834,0,risk_evidence_insufficient
h2o_heavy15_recent15,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,0.05,True,,0.1,,0.0,False,,3900.0,2.52545166015625,2.52545166015625,2.52545166015625,2.196044921875,1950.0030030030757,medium,True,,True,,False,,15264.96728515625,True,static_best,False,0.0,0.0,h2o_heavy15_recent15,0.0,0.0,risk_evidence_insufficient,0.0,static_best,0.0,,,,hybrid-session-017-turn-1,2.52545166015625,0.32940673828125,2.52545166015625,0.0,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/batch_outputs/batch007/baseline_wide_sweep,True,calibrated safe,hybrid-session-017,chat,186.30763399414718,1,risk_evidence_insufficient
h2o_heavy15_recent15,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,0.05,True,,0.1,,0.0,False,,3900.0,5.9293212890625,5.9293212890625,5.9293212890625,3.40386962890625,2024.8743609990925,medium,True,,True,,False,,15570.87060546875,True,static_best,False,0.0,0.0,h2o_heavy15_recent15,0.0,0.0,risk_evidence_insufficient,0.0,static_best,0.0,,,,hybrid-session-017-turn-2,5.9293212890625,2.52545166015625,5.9293212890625,0.0,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/batch_outputs/batch007/baseline_wide_sweep,True,calibrated safe,hybrid-session-017,summary,283.7240369990468,2,risk_evidence_insufficient
h2o_heavy15_recent15,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,0.05,True,,0.1,,0.0,False,,3900.0,19.43499755859375,19.43499755859375,19.43499755859375,13.50567626953125,2564.5851029548794,long,True,,True,,False,,16788.33740234375,True,static_best,False,0.0,0.0,h2o_heavy15_recent15,0.0,0.0,risk_evidence_insufficient,0.0,static_best,0.0,,,,hybrid-session-017-turn-3,19.43499755859375,5.9293212890625,19.43499755859375,0.0,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/batch_outputs/batch007/baseline_wide_sweep,True,calibrated safe,hybrid-session-017,summary,800.5636848974973,3,risk_evidence_insufficient
h2o_heavy15_recent15,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,0.05,True,,0.1,,0.0,False,,3900.0,32.940673828125,32.940673828125,32.940673828125,13.50567626953125,3135.18661307171,xl,True,,True,,False,,17997.8935546875,True,static_best,False,0.0,0.0,h2o_heavy15_recent15,0.0,0.0,risk_evidence_insufficient,0.0,static_best,0.0,,,,hybrid-session-017-turn-4,32.940673828125,19.43499755859375,32.940673828125,0.0,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/batch_outputs/batch007/baseline_wide_sweep,True,calibrated safe,hybrid-session-017,summary,1370.134758995846,4,risk_evidence_insufficient
