config,run_dir,diagnostic_only,quality_status,violation_status,policy,memory_budget_mib,epsilon,delta,mean_quality_loss,mean_quality_estimate,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,worst_group_violation,delta_slack,safe_ratio,risk_upper_mean,pred_loss_mean,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,candidate_safe_count,budget_hit_rate,restore_count,restore_time_ms,recompute_count,recompute_time_ms,queue_delay_ms,mean_global_resident_kv_mib,p95_global_resident_kv_mib,task_distribution,length_bucket_distribution,task_length_distribution,controller_overhead_ms,controller_qrp_ms,controller_cg_ms,controller_stc_ms,oracle_cost_ms,optimality_gap,audit_rate,audit_sample_count,action_distribution,experiment_type,backend_events_applicable,backend_semantics_status,backend_not_applicable_reason,session_reuse_evidence,global_resident_evolution,backend_event_evidence,policy_comparison_status
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,risk_evidence_insufficient,risk_evidence_insufficient,full_lru,15.0,0.1,0.1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,446.7866223871708,175.6189092166722,1239.4944374673069,1239.4944374673069,16178.26201171875,18097.50439453125,11.2859375,15.0,0.0,0.0,1.0,0.0,,0.6,2.0,10.84453125,0.0,,4.5496875,11.2859375,15.0,"{""chat"": 2, ""summary"": 3}","{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,True,
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,risk_evidence_insufficient,risk_evidence_insufficient,static_best,15.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,555.7798787411302,283.7240369990468,1374.3781092155725,1374.3781092155725,16138.2341796875,17997.8935546875,7.7568359375,15.0,0.0,0.0,0.0,1.0,,0.4,1.0,1.5522491455078125,0.0,,0.6712701416015625,7.7568359375,15.0,"{""chat"": 2, ""summary"": 3}","{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,,0.1,0.0,"{""h2o_heavy15_recent15"": 5}",,True,validated,,True,True,True,
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,risk_evidence_insufficient,risk_evidence_insufficient,static_safe,15.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,548.5252051135152,310.79573184251785,1341.9140752527862,1341.9140752527862,16152.45830078125,18001.02734375,8.528955078125,15.0,0.0,0.0,0.0,1.0,,0.4,1.0,2.2435546874999996,0.0,,0.7960986328124999,8.528955078125,15.0,"{""chat"": 2, ""summary"": 3}","{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,,0.1,0.0,"{""kivi_4bit_residual32"": 5}",,True,validated,,True,True,True,
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,risk_evidence_insufficient,risk_evidence_insufficient,utility_dynamic,15.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,517.7962656388432,297.79845499433577,1219.7905312173068,1219.7905312173068,16167.0716796875,18097.50439453125,7.495654296875,15.0,0.2,0.2,0.2,0.8,5.8,0.2,0.0,,0.0,,2.8607812499999996,7.495654296875,15.0,"{""chat"": 2, ""summary"": 3}","{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,,0.1,0.0,"{""full_gpu"": 1, ""kivi_2bit_residual32"": 4}",,True,validated,,True,True,True,
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,risk_evidence_insufficient,risk_evidence_insufficient,uncalibrated_dynamic,15.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,521.3818073870987,283.7240369990468,1221.3427803628147,1221.3427803628147,16158.36806640625,18097.50439453125,7.93773193359375,15.0,0.2,0.2,0.2,0.8,5.8,0.4,1.0,1.5522491455078125,0.0,,2.9938311767578125,7.93773193359375,15.0,"{""chat"": 2, ""summary"": 3}","{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,,0.1,0.0,"{""full_gpu"": 1, ""h2o_heavy15_recent15"": 3, ""kivi_2bit_residual32"": 1}",,True,validated,,True,True,True,
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,risk_evidence_insufficient,risk_evidence_insufficient,full_lru,20.0,0.1,0.1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,445.2866223871708,174.8689092166722,1235.2444374673069,1235.2444374673069,16178.26201171875,18097.50439453125,14.2859375,20.0,0.0,0.0,1.0,0.0,,0.6,2.0,8.21953125,0.0,,4.0996875,14.2859375,20.0,"{""chat"": 2, ""summary"": 3}","{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,True,
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,risk_evidence_insufficient,risk_evidence_insufficient,static_best,20.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,555.1863789852708,283.7240369990468,1372.0758600700647,1372.0758600700647,16138.2341796875,17997.8935546875,9.64383544921875,20.0,0.0,0.0,0.0,1.0,,0.2,0.0,,0.0,,0.38822021484375,9.64383544921875,20.0,"{""chat"": 2, ""summary"": 3}","{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,,0.1,0.0,"{""h2o_heavy15_recent15"": 5}",,True,validated,,True,True,True,
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,risk_evidence_insufficient,risk_evidence_insufficient,static_safe,20.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,547.8752051135152,310.79573184251785,1339.4140752527862,1339.4140752527862,16152.45830078125,18001.02734375,10.528955078125,20.0,0.0,0.0,0.0,1.0,,0.4,1.0,0.4935546875,0.0,,0.49609863281249994,10.528955078125,20.0,"{""chat"": 2, ""summary"": 3}","{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,,0.1,0.0,"{""kivi_4bit_residual32"": 5}",,True,validated,,True,True,True,
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,risk_evidence_insufficient,risk_evidence_insufficient,utility_dynamic,20.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,540.5840540003031,297.79845499433577,1333.7294730246067,1333.7294730246067,16144.06416015625,17982.466796875,8.495654296875,20.0,0.0,0.0,0.0,1.0,7.8,0.2,0.0,,0.0,,0.0434326171875,8.495654296875,20.0,"{""chat"": 2, ""summary"": 3}","{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,,0.1,0.0,"{""kivi_2bit_residual32"": 5}",,True,validated,,True,True,True,
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,risk_evidence_insufficient,risk_evidence_insufficient,uncalibrated_dynamic,20.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,524.5793132147194,283.7240369990468,1219.0405312173068,1219.0405312173068,16158.15634765625,18097.50439453125,9.64383544921875,20.0,0.2,0.2,0.2,0.8,6.4,0.2,0.0,,0.0,,2.7107812499999997,9.64383544921875,20.0,"{""chat"": 2, ""summary"": 3}","{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,,0.1,0.0,"{""full_gpu"": 1, ""h2o_heavy15_recent15"": 4}",,True,validated,,True,True,True,
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,risk_evidence_insufficient,risk_evidence_insufficient,full_lru,25.0,0.1,0.1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,444.52240363717084,174.76812796667218,1232.5092812173068,1232.5092812173068,16178.26201171875,18097.50439453125,16.4203125,25.0,0.0,0.0,1.0,0.0,,0.4,1.0,14.218749999999998,0.0,,3.7795312499999993,16.4203125,25.0,"{""chat"": 2, ""summary"": 3}","{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,True,
