action_profile,active_session_count,audit_rate,audit_selected,backend_budget_hit,backend_name,budget_hit,candidate_safe_count,config,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,diagnostic_only,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,global_budget_mib,global_resident_kv_mib,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,observed_quality_loss,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,policy_budget_filtered,pred_loss,predicted_quality_loss,primary_profile,quality_estimate,quality_loss,quality_status,queue_delay_ms,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,run_dir,safe,safety_reason,session_id,task,ttft_ms,turn_index,violation_status
full_gpu,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,,,,,,True,,,,0.0,True,,15.0,2.078125,2.078125,2.078125,2.078125,1166.5346391964704,short,True,,True,,False,,15070.54150390625,False,full_lru,False,,,full_gpu,,0.0,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-017-turn-0,2.078125,0.0,2.078125,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,,,hybrid-session-017,chat,83.09074700810015,0,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,,,,,,True,,,,0.0,True,,15.0,9.3515625,9.3515625,9.3515625,7.2734375,1417.9771710187197,medium,True,,True,,False,,15273.509765625,False,full_lru,False,,,full_gpu,,0.0,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-017-turn-1,9.3515625,2.078125,9.3515625,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,,,hybrid-session-017,chat,103.86985307559371,1,risk_evidence_insufficient
full_gpu,1.0,0.1,False,True,measured_replay,True,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,,,,,,True,,,,5.671875,True,,15.0,15.0,15.0,20.671875,11.3203125,1254.3833313148468,medium,True,,True,,False,,15588.0322265625,False,full_lru,True,,,full_gpu,,0.0,risk_evidence_insufficient,0.8507812499999999,full precision exact profile,0.0,,,,hybrid-session-017-turn-2,15.0,0.0,15.0,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,,,hybrid-session-017,summary,175.6189092166722,2,risk_evidence_insufficient
full_gpu,1.0,0.1,False,True,measured_replay,True,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,,,,,,True,,,,50.625,True,,15.0,15.0,15.0,65.625,44.953125,1698.664961167425,long,True,,True,,False,,16861.72216796875,False,full_lru,True,,,full_gpu,,0.0,risk_evidence_insufficient,7.59375,full precision exact profile,0.0,,,,hybrid-session-017-turn-3,15.0,0.0,15.0,1.98515625,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,,,hybrid-session-017,summary,631.8591651681811,3,risk_evidence_insufficient
full_gpu,1.0,0.1,False,True,measured_replay,True,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,,,,,,True,,,,95.359375,True,,15.0,15.0,15.0,110.359375,44.734375,2622.073244418949,xl,True,,True,,False,,18097.50439453125,False,full_lru,True,,,full_gpu,,0.0,risk_evidence_insufficient,14.303906249999999,full precision exact profile,0.0,,,,hybrid-session-017-turn-4,15.0,0.0,15.0,19.70390625,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,,,hybrid-session-017,summary,1239.4944374673069,4,risk_evidence_insufficient
h2o_heavy15_recent15,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,,,,,0.1,True,,0.1,,0.0,False,,15.0,0.32940673828125,0.32940673828125,0.32940673828125,0.32940673828125,1898.619743064046,short,True,,True,,False,,15069.10205078125,True,static_best,False,0.0,0.0,h2o_heavy15_recent15,0.0,0.0,risk_evidence_insufficient,0.0,static_best,0.0,,,,hybrid-session-017-turn-0,0.32940673828125,0.0,0.32940673828125,0.0,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,calibrated safe,hybrid-session-017,chat,133.26067896559834,0,risk_evidence_insufficient
h2o_heavy15_recent15,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,,,,,0.1,True,,0.1,,0.0,False,,15.0,2.52545166015625,2.52545166015625,2.52545166015625,2.196044921875,1950.0030030030757,medium,True,,True,,False,,15264.96728515625,True,static_best,False,0.0,0.0,h2o_heavy15_recent15,0.0,0.0,risk_evidence_insufficient,0.0,static_best,0.0,,,,hybrid-session-017-turn-1,2.52545166015625,0.32940673828125,2.52545166015625,0.0,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,calibrated safe,hybrid-session-017,chat,186.30763399414718,1,risk_evidence_insufficient
h2o_heavy15_recent15,1.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,,,,,0.1,True,,0.1,,0.0,False,,15.0,5.9293212890625,5.9293212890625,5.9293212890625,3.40386962890625,2024.8743609990925,medium,True,,True,,False,,15570.87060546875,True,static_best,False,0.0,0.0,h2o_heavy15_recent15,0.0,0.0,risk_evidence_insufficient,0.0,static_best,0.0,,,,hybrid-session-017-turn-2,5.9293212890625,2.52545166015625,5.9293212890625,0.0,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,calibrated safe,hybrid-session-017,summary,283.7240369990468,2,risk_evidence_insufficient
h2o_heavy15_recent15,1.0,0.1,False,True,measured_replay,True,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,,,,,0.1,True,,0.1,,4.43499755859375,False,,15.0,15.0,15.0,19.43499755859375,13.50567626953125,2565.2503525886686,long,True,,True,,False,,16788.33740234375,True,static_best,False,0.0,0.0,h2o_heavy15_recent15,0.0,0.0,risk_evidence_insufficient,0.6652496337890624,static_best,0.0,,,,hybrid-session-017-turn-3,15.0,0.0,15.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,calibrated safe,hybrid-session-017,summary,801.2289345312863,3,risk_evidence_insufficient
h2o_heavy15_recent15,1.0,0.1,False,True,measured_replay,True,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912/coarse_config.yaml,,,,,0.1,True,,0.1,,17.940673828125,False,,15.0,15.0,15.0,32.940673828125,13.50567626953125,3139.4299632914363,xl,True,,True,,False,,17997.8935546875,True,static_best,False,0.0,0.0,h2o_heavy15_recent15,0.0,0.0,risk_evidence_insufficient,2.69110107421875,static_best,0.0,,,,hybrid-session-017-turn-4,15.0,0.0,15.0,1.5522491455078125,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/second_memory_pressure_20260912,True,calibrated safe,hybrid-session-017,summary,1374.3781092155725,4,risk_evidence_insufficient
