action_profile,active_session_count,audit_rate,audit_selected,backend_budget_hit,backend_name,budget_hit,candidate_safe_count,config,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,diagnostic_only,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,global_budget_mib,global_resident_kv_mib,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,observed_quality_loss,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,policy_budget_filtered,pred_loss,predicted_quality_loss,primary_profile,quality_estimate,quality_loss,quality_status,queue_delay_ms,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,run_dir,safe,safety_reason,session_id,task,ttft_ms,turn_index,violation_status
full_gpu,1.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/out/session31_full_rerun_20260908/configs/batch009.yaml,,,,,,True,,,,0,True,,4900.0,1.1484375,1.1484375,1.1484375,1.1484375,41435.05892086029,unknown,True,,True,,False,,15044.57666015625,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-018-turn-0,1.1484375,0.0,1.1484375,0.0,,out/session32_request_id_batch7_recovery_20260908/id_fix_smoke,,,hybrid-session-018,chat,40001.16106586717,0,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/out/session31_full_rerun_20260908/configs/batch009.yaml,,,,,,True,,,,0,True,,4900.0,2.953125,2.953125,2.953125,1.8046875,1542.6294871140271,unknown,True,,True,,False,,15062.31787109375,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-018-turn-1,2.953125,1.1484375,2.953125,0.0,,out/session32_request_id_batch7_recovery_20260908/id_fix_smoke,,,hybrid-session-018,chat,108.2490289118141,1,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/out/session31_full_rerun_20260908/configs/batch009.yaml,,,,,,True,,,,0,True,,4900.0,9.296875,9.296875,9.296875,6.34375,1554.4393910095096,unknown,True,,True,,False,,15192.25244140625,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-018-turn-2,9.296875,2.953125,9.296875,0.0,,out/session32_request_id_batch7_recovery_20260908/id_fix_smoke,,,hybrid-session-018,qa,131.7041520960629,2,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/out/session31_full_rerun_20260908/configs/batch009.yaml,,,,,,True,,,,0,True,,4900.0,11.7578125,11.7578125,11.7578125,2.4609375,1394.2442759871483,unknown,True,,True,,False,,15090.654296875,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-018-turn-3,11.7578125,9.296875,11.7578125,0.0,,out/session32_request_id_batch7_recovery_20260908/id_fix_smoke,,,hybrid-session-018,qa,109.09528587944806,3,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/out/session31_full_rerun_20260908/configs/batch009.yaml,,,,,,True,,,,0,True,,4900.0,13.9453125,13.9453125,13.9453125,2.1875,1533.1588292028755,unknown,True,,True,,False,,15087.56591796875,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-018-turn-4,13.9453125,11.7578125,13.9453125,0.0,,out/session32_request_id_batch7_recovery_20260908/id_fix_smoke,,,hybrid-session-018,qa,107.4285190552473,4,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/out/session31_full_rerun_20260908/configs/batch009.yaml,,,,,0.05,True,,0.05,,0,True,,4900.0,1.1484375,1.1484375,1.1484375,1.1484375,40863.67984294891,unknown,True,,True,,False,,15044.57666015625,True,static_best,False,0.0,0.0,full_gpu,0.0,,risk_evidence_insufficient,0.0,static_best,0.0,,,,hybrid-session-018-turn-0,1.1484375,0.0,1.1484375,0.0,0.0,out/session32_request_id_batch7_recovery_20260908/id_fix_smoke,True,exact fallback,hybrid-session-018,chat,39764.90616977215,0,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/out/session31_full_rerun_20260908/configs/batch009.yaml,,,,,0.05,True,,0.05,,0,True,,4900.0,2.953125,2.953125,2.953125,1.8046875,1543.026045896113,unknown,True,,True,,False,,15062.31787109375,True,static_best,False,0.0,0.0,full_gpu,0.0,,risk_evidence_insufficient,0.0,static_best,0.0,,,,hybrid-session-018-turn-1,2.953125,1.1484375,2.953125,0.0,0.0,out/session32_request_id_batch7_recovery_20260908/id_fix_smoke,True,exact fallback,hybrid-session-018,chat,112.62531508691609,1,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/out/session31_full_rerun_20260908/configs/batch009.yaml,,,,,0.05,True,,0.05,,0,True,,4900.0,9.296875,9.296875,9.296875,6.34375,1585.9151019249111,unknown,True,,True,,False,,15192.25244140625,True,static_best,False,0.0,0.0,full_gpu,0.0,,risk_evidence_insufficient,0.0,static_best,0.0,,,,hybrid-session-018-turn-2,9.296875,2.953125,9.296875,0.0,0.0,out/session32_request_id_batch7_recovery_20260908/id_fix_smoke,True,exact fallback,hybrid-session-018,qa,134.18499496765435,2,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/out/session31_full_rerun_20260908/configs/batch009.yaml,,,,,0.05,True,,0.05,,0,True,,4900.0,11.7578125,11.7578125,11.7578125,2.4609375,1544.1845790483057,unknown,True,,True,,False,,15090.654296875,True,static_best,False,0.0,0.0,full_gpu,0.0,,risk_evidence_insufficient,0.0,static_best,0.0,,,,hybrid-session-018-turn-3,11.7578125,9.296875,11.7578125,0.0,0.0,out/session32_request_id_batch7_recovery_20260908/id_fix_smoke,True,exact fallback,hybrid-session-018,qa,107.39336791448295,3,risk_evidence_insufficient
full_gpu,1.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/out/session31_full_rerun_20260908/configs/batch009.yaml,,,,,0.05,True,,0.05,,0,True,,4900.0,13.9453125,13.9453125,13.9453125,2.1875,1547.48729406856,unknown,True,,True,,False,,15087.56591796875,True,static_best,False,0.0,0.0,full_gpu,0.0,,risk_evidence_insufficient,0.0,static_best,0.0,,,,hybrid-session-018-turn-4,13.9453125,11.7578125,13.9453125,0.0,0.0,out/session32_request_id_batch7_recovery_20260908/id_fix_smoke,True,exact fallback,hybrid-session-018,qa,114.91233413107693,4,risk_evidence_insufficient
