config,run_dir,diagnostic_only,quality_status,violation_status,policy,memory_budget_mib,epsilon,delta,mean_quality_loss,mean_quality_estimate,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,worst_group_violation,delta_slack,safe_ratio,risk_upper_mean,pred_loss_mean,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,candidate_safe_count,budget_hit_rate,restore_count,restore_time_ms,recompute_count,recompute_time_ms,queue_delay_ms,mean_global_resident_kv_mib,p95_global_resident_kv_mib,task_distribution,length_bucket_distribution,task_length_distribution,controller_overhead_ms,controller_qrp_ms,controller_cg_ms,controller_stc_ms,oracle_cost_ms,optimality_gap,audit_rate,audit_sample_count,action_distribution,experiment_type,backend_events_applicable,backend_semantics_status,backend_not_applicable_reason,session_reuse_evidence,global_resident_evolution,backend_event_evidence,policy_comparison_status
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch003.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch003,True,risk_evidence_insufficient,risk_evidence_insufficient,full_lru,9.4609375,0.05,0.05,,,,,,,,,,0.0,,,8097.228521757573,153.52947590872645,39902.75178382546,39902.75178382546,15261.5123046875,15473.68603515625,1.575,5.25,0.0,0.0,1.0,0.0,,0.6,0.0,,2.0,177.08816553931683,0.00308837890625,1.575,5.25,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch003.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch003,True,risk_evidence_insufficient,risk_evidence_insufficient,static_best,9.4609375,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,7928.065993193537,155.19399079494178,39041.57917724922,39041.57917724922,15261.5123046875,15473.68603515625,1.575,5.25,0.0,0.0,1.0,0.0,,0.6,0.0,,2.0,178.0287225265056,0.0,1.575,5.25,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch003.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch003,True,risk_evidence_insufficient,risk_evidence_insufficient,static_safe,9.4609375,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,8202.509690067916,154.1985711082816,40423.42828908563,40423.42828908563,15261.5123046875,15473.68603515625,1.575,5.25,0.0,0.0,1.0,0.0,,0.6,0.0,,2.0,174.73442293703556,0.0,1.575,5.25,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch003.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch003,True,risk_evidence_insufficient,risk_evidence_insufficient,utility_dynamic,9.4609375,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,8258.74554714188,154.15160707198083,40706.86757885851,40706.86757885851,15261.5123046875,15473.68603515625,1.575,5.25,1.0,1.0,1.0,0.0,1.0,0.6,0.0,,2.0,178.2675819704309,0.0,1.575,5.25,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch003.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch003,True,risk_evidence_insufficient,risk_evidence_insufficient,uncalibrated_dynamic,9.4609375,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,8078.958205623179,155.44966189190745,39814.78530017473,39814.78530017473,15261.5123046875,15473.68603515625,1.575,5.25,1.0,1.0,1.0,0.0,1.0,0.6,0.0,,2.0,178.007478476502,0.0,1.575,5.25,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch003.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch003,True,risk_evidence_insufficient,risk_evidence_insufficient,full_lru,42.46484375,0.05,0.05,,,,,,,,,,0.0,,,7823.865533097834,115.41271209716797,38664.2600981947,38664.2600981947,15119.21494140625,15232.7255859375,10.740625,17.5546875,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,,0.0,10.740625,17.5546875,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,False,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch003.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch003,True,risk_evidence_insufficient,risk_evidence_insufficient,static_best,42.46484375,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,8062.156670810282,108.69449586607516,39872.05374818109,39872.05374818109,15119.21494140625,15232.7255859375,10.740625,17.5546875,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,,0.0,10.740625,17.5546875,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,False,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch003.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch003,True,risk_evidence_insufficient,risk_evidence_insufficient,static_safe,42.46484375,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,43838.53544434346,43525.217133924365,44151.85375476256,44151.85375476256,15120.203125,15154.09228515625,2.2652587890625,2.807861328125,0.0,0.0,0.0,1.0,,0.0,0.0,,1.0,43524.30473093502,0.0,1.81220703125,2.807861328125,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""kivi_4bit_residual32"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch003.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch003,True,risk_evidence_insufficient,risk_evidence_insufficient,utility_dynamic,42.46484375,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,43575.64127382543,43418.799835864455,43732.482711786404,43732.482711786404,15119.95703125,15153.70947265625,1.9661865234375,2.373779296875,0.0,0.0,0.0,1.0,7.2,0.0,0.0,,1.0,43417.822875922546,0.0,1.57294921875,2.373779296875,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""kivi_2bit_residual32"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch003.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch003,True,risk_evidence_insufficient,risk_evidence_insufficient,uncalibrated_dynamic,42.46484375,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,42411.98526889924,39859.33526582457,44964.63527197391,44964.63527197391,15119.95703125,15153.70947265625,1.9661865234375,2.373779296875,0.0,0.0,0.0,1.0,7.2,0.0,0.0,,1.0,39858.93542901985,0.0,1.57294921875,2.373779296875,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""kivi_2bit_residual32"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
