policy,memory_budget_mib,epsilon,delta,session_id,count,p95_ttft_ms,mean_ttft_ms,p95_quality_loss,mean_quality_loss,mean_kv_cache_memory_mib,violation_rate
full_lru,120.258,0.05,0.05,hybrid-session-002,5.0,2035.3944147937,511.98775097727776,,,8.4,
full_lru,120.258,0.05,0.05,hybrid-session-003,5.0,147.99278881400824,118.59423071146011,,,7.6234375,
full_lru,120.258,0.05,0.05,hybrid-session-004,5.0,161.44527308642864,128.76737439073622,,,9.0234375,
full_lru,120.258,0.05,0.05,hybrid-session-005,5.0,145.4750399570912,122.82807906158268,,,8.35625,
full_lru,120.258,0.05,0.05,hybrid-session-006,5.0,200.9321739897132,141.91166781820357,,,10.4234375,
full_lru,120.258,0.05,0.05,hybrid-session-009,5.0,147.23810786381364,121.21782572939992,,,7.6125,
full_lru,120.258,0.05,0.05,hybrid-session-010,5.0,152.49527688138187,126.55140003189445,,,8.1046875,
full_lru,120.258,0.05,0.05,hybrid-session-013,5.0,143.17923597991467,117.55970097146928,,,7.809375,
full_lru,120.258,0.05,0.05,hybrid-session-016,5.0,194.96690691448748,136.3567680120468,,,9.05625,
full_lru,120.258,0.05,0.05,hybrid-session-020,5.0,155.56191210635006,126.21690281666815,,,8.6625,
full_lru,120.258,0.05,0.05,hybrid-session-021,5.0,197.85377196967602,138.0042658187449,,,9.3296875,
full_lru,120.258,0.05,0.05,hybrid-session-025,5.0,137.5300840009004,124.40613340586424,,,8.1265625,
full_lru,120.258,0.05,0.05,hybrid-session-026,5.0,213.6281810235232,142.64581222087145,,,9.7671875,
static_best,120.258,0.05,0.05,hybrid-session-002,5.0,3948.972148122266,939.980287430808,,,4.37294921875,
static_best,120.258,0.05,0.05,hybrid-session-003,5.0,218.48538098856807,166.68291757814586,,,4.161376953125,
static_best,120.258,0.05,0.05,hybrid-session-004,5.0,232.60177206248045,186.0187455546111,,,4.558544921875,
static_best,120.258,0.05,0.05,hybrid-session-005,5.0,242.13364999741316,164.13932438008487,,,4.332958984375,
static_best,120.258,0.05,0.05,hybrid-session-006,5.0,237.22648108378053,190.7631262205541,,,5.06337890625,
static_best,120.258,0.05,0.05,hybrid-session-009,5.0,213.6926450766623,166.30956921726465,,,4.217431640625,
static_best,120.258,0.05,0.05,hybrid-session-010,5.0,218.60379097051919,165.28836297802627,,,4.413623046875,
static_best,120.258,0.05,0.05,hybrid-session-013,5.0,215.62254498712718,166.0080953501165,,,4.31416015625,
static_best,120.258,0.05,0.05,hybrid-session-016,5.0,217.45573286898434,166.6025996208191,,,4.489501953125,
static_best,120.258,0.05,0.05,hybrid-session-020,5.0,217.12623280473053,166.23152918182313,,,4.488818359375,
static_best,120.258,0.05,0.05,hybrid-session-021,5.0,239.2101299483329,186.41927377320826,,,4.70380859375,
static_best,120.258,0.05,0.05,hybrid-session-025,5.0,216.0757789388299,163.67089417763054,,,4.422509765625,
static_best,120.258,0.05,0.05,hybrid-session-026,5.0,210.38614097051322,180.063833668828,,,4.79677734375,
