policy,memory_budget_mib,epsilon,delta,count,ok_count,session_count,budget_hit_count,budget_hit_rate,restore_count,restore_time_ms_total,recompute_count,recompute_time_ms_total,queue_event_count,queue_delay_ms_mean,evict_event_count,session_reuse_evidence,backend_event_evidence
full_lru,120.258,0.05,0.05,65.0,65.0,13.0,29.0,0.4461538461538462,0.0,0,28.0,3900.1267289277166,0.0,0.0,29.0,True,True
static_best,120.258,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00015960106482872596,0.0,True,True
static_safe,120.258,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.000842123765211839,0.0,True,True
uncalibrated_dynamic,120.258,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,120.258,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00047536629896897535,0.0,True,True
static_safe,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
uncalibrated_dynamic,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
