policy,memory_budget_mib,epsilon,delta,session_id,count,p95_ttft_ms,mean_ttft_ms,p95_quality_loss,mean_quality_loss,mean_kv_cache_memory_mib,violation_rate
full_lru,120.258,0.05,0.05,hybrid-session-002,5.0,3961.557212052867,879.553170548752,,,8.4,
full_lru,120.258,0.05,0.05,hybrid-session-003,5.0,136.54057681560516,100.03667995333672,,,7.6234375,
full_lru,120.258,0.05,0.05,hybrid-session-004,5.0,151.77455614320934,106.80892802774906,,,9.0234375,
full_lru,120.258,0.05,0.05,hybrid-session-005,5.0,144.645991967991,106.1246432363987,,,8.35625,
full_lru,120.258,0.05,0.05,hybrid-session-006,5.0,190.0104300584644,117.4373849760741,,,10.4234375,
full_lru,120.258,0.05,0.05,hybrid-session-009,5.0,130.07068494334817,98.80666919052601,,,7.6125,
full_lru,120.258,0.05,0.05,hybrid-session-010,5.0,150.8570888545364,106.91936165094376,,,8.1046875,
full_lru,120.258,0.05,0.05,hybrid-session-013,5.0,136.28478604368865,103.0293710064143,,,7.809375,
full_lru,120.258,0.05,0.05,hybrid-session-016,5.0,193.5369879938662,120.07982623763382,,,9.05625,
full_lru,120.258,0.05,0.05,hybrid-session-020,5.0,134.88761708140373,106.31687543354928,,,8.6625,
full_lru,120.258,0.05,0.05,hybrid-session-021,5.0,195.55476401001215,120.21713564172387,,,9.3296875,
full_lru,120.258,0.05,0.05,hybrid-session-025,5.0,134.56643116660416,109.73587343469262,,,8.1265625,
full_lru,120.258,0.05,0.05,hybrid-session-026,5.0,199.22264898195863,126.2458021286875,,,9.7671875,
static_best,120.258,0.05,0.05,hybrid-session-002,5.0,3849.9346401076764,923.2050572056323,,,4.37294921875,
static_best,120.258,0.05,0.05,hybrid-session-003,5.0,220.16771719790995,169.36832200735807,,,4.161376953125,
static_best,120.258,0.05,0.05,hybrid-session-004,5.0,229.72872713580728,188.02181901410222,,,4.558544921875,
static_best,120.258,0.05,0.05,hybrid-session-005,5.0,232.33511298894882,171.80625656619668,,,4.332958984375,
static_best,120.258,0.05,0.05,hybrid-session-006,5.0,237.57809214293957,188.08735418133438,,,5.06337890625,
static_best,120.258,0.05,0.05,hybrid-session-009,5.0,214.78777984157205,155.99112818017602,,,4.217431640625,
static_best,120.258,0.05,0.05,hybrid-session-010,5.0,220.83838493563235,167.18889279291034,,,4.413623046875,
static_best,120.258,0.05,0.05,hybrid-session-013,5.0,232.6953588053584,166.65011798031628,,,4.31416015625,
static_best,120.258,0.05,0.05,hybrid-session-016,5.0,240.9331959206611,175.27682092040777,,,4.489501953125,
static_best,120.258,0.05,0.05,hybrid-session-020,5.0,225.65273009240627,174.56113123334944,,,4.488818359375,
static_best,120.258,0.05,0.05,hybrid-session-021,5.0,233.2915160804987,189.8145437706262,,,4.70380859375,
static_best,120.258,0.05,0.05,hybrid-session-025,5.0,207.17553002759814,164.2278962302953,,,4.422509765625,
static_best,120.258,0.05,0.05,hybrid-session-026,5.0,223.93084806390107,185.05002562887967,,,4.79677734375,
static_safe,120.258,0.05,0.05,hybrid-session-002,5.0,3779.858150985092,912.6786712091416,,,4.37294921875,
static_safe,120.258,0.05,0.05,hybrid-session-003,5.0,226.2156109791249,170.08466119877994,,,4.161376953125,
static_safe,120.258,0.05,0.05,hybrid-session-004,5.0,242.3180560581386,188.2287235930562,,,4.558544921875,
static_safe,120.258,0.05,0.05,hybrid-session-005,5.0,239.7549320012331,175.2609130460769,,,4.332958984375,
static_safe,120.258,0.05,0.05,hybrid-session-006,5.0,240.7255689613521,188.1752723827958,,,5.06337890625,
static_safe,120.258,0.05,0.05,hybrid-session-009,5.0,217.8851489443332,162.28802395053208,,,4.217431640625,
static_safe,120.258,0.05,0.05,hybrid-session-010,5.0,210.5653330218047,161.52638089843094,,,4.413623046875,
static_safe,120.258,0.05,0.05,hybrid-session-013,5.0,217.5667709670961,170.58335575275123,,,4.31416015625,
static_safe,120.258,0.05,0.05,hybrid-session-016,5.0,232.88110690191388,171.06187734752893,,,4.489501953125,
static_safe,120.258,0.05,0.05,hybrid-session-020,5.0,244.42548002116382,177.42452179081738,,,4.488818359375,
static_safe,120.258,0.05,0.05,hybrid-session-021,5.0,233.74085989780724,187.23425273783505,,,4.70380859375,
static_safe,120.258,0.05,0.05,hybrid-session-025,5.0,212.90945098735392,167.14895074255764,,,4.422509765625,
static_safe,120.258,0.05,0.05,hybrid-session-026,5.0,235.2923119906336,187.79275841079652,,,4.79677734375,
uncalibrated_dynamic,120.258,0.05,0.05,hybrid-session-002,5.0,3679.4206430204213,888.9926424250007,,,4.37294921875,
uncalibrated_dynamic,120.258,0.05,0.05,hybrid-session-003,5.0,213.06220698170364,160.98726601339877,,,4.161376953125,
uncalibrated_dynamic,120.258,0.05,0.05,hybrid-session-004,5.0,230.74564104899764,181.06998298317194,,,4.558544921875,
uncalibrated_dynamic,120.258,0.05,0.05,hybrid-session-005,5.0,230.88513407856226,170.9963404107839,,,4.332958984375,
uncalibrated_dynamic,120.258,0.05,0.05,hybrid-session-006,5.0,244.1006728913635,185.4470545426011,,,5.06337890625,
uncalibrated_dynamic,120.258,0.05,0.05,hybrid-session-009,5.0,205.82276512868702,161.3824139814824,,,4.217431640625,
uncalibrated_dynamic,120.258,0.05,0.05,hybrid-session-010,5.0,205.68319992162287,160.18589842133224,,,4.413623046875,
uncalibrated_dynamic,120.258,0.05,0.05,hybrid-session-013,5.0,209.30818608030677,158.3508915733546,,,4.31416015625,
