config,run_dir,policy,memory_budget_mib,epsilon,delta,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,worst_group_violation,delta_slack,safe_ratio,risk_upper_mean,pred_loss_mean,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,candidate_safe_count,controller_overhead_ms,controller_qrp_ms,controller_cg_ms,controller_stc_ms,oracle_cost_ms,optimality_gap,audit_rate,action_distribution
configs/pilot.yaml,out/20260806_092355_pilot,full_lru,4900.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,,,530.5299562960863,261.2787336111069,2807.068020105362,2931.1161637306213,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,1.0,0.0,,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260806_092355_pilot,static_best,4900.0,0.05,0.05,0.03007422814612072,0.0,0.14830214830214827,0.26074074074074083,0.22952038128288718,0.22,0.47058823529411764,-0.16999999999999998,0.0,0.23862374758582341,0.043948629331957256,629.9034322798252,336.99971437454224,2955.2577324211597,3083.8904716074467,4662.450024414063,5054.59033203125,7.047108154296875,14.38409423828125,1.0,0.0,0.0,1.0,,,,,,,,,"{""h2o_heavy10_recent10"": 100}"
configs/pilot.yaml,out/20260806_092355_pilot,static_safe,4900.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,530.5299562960863,261.2787336111069,2807.068020105362,2931.1161637306213,4686.205556640625,5101.89013671875,36.1615625,72.625,1.0,1.0,1.0,0.0,,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260806_092355_pilot,tailguard,4900.0,0.05,0.05,0.003326120379774403,0.0,0.0,0.06060606060606055,0.003326120379774403,0.02,0.11764705882352941,0.030000000000000002,1.0,0.005028141170998316,0.0004393569393569391,537.515485137701,261.2787336111069,2807.068020105362,2931.1161637306213,4685.943251953125,5101.89013671875,35.872060546875,72.625,0.83,0.83,0.83,0.17,0.17,0.7311974838376045,0.6309213116765022,0.017013847827911377,0.6543803587555885,,,,"{""full_gpu"": 83, ""kivi_4bit_residual64"": 17}"
configs/pilot.yaml,out/20260806_092355_pilot,quality_oracle,4900.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,529.2449314892292,261.2787336111069,2807.068020105362,2931.1161637306213,4685.937592773437,5101.89013671875,35.82753723144531,72.625,0.0,0.0,0.98,0.02,,,,,,0.004917234182357788,,,"{""full_gpu"": 98, ""h2o_heavy15_recent15"": 1, ""h2o_heavy20_recent20"": 1}"
configs/pilot.yaml,out/20260806_092355_pilot,utility_dynamic,4900.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,530.5299562960863,261.2787336111069,2807.068020105362,2931.1161637306213,4686.205556640625,5101.89013671875,36.1615625,72.625,1.0,1.0,1.0,0.0,1.17,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260806_092355_pilot,uncalibrated_dynamic,4900.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,530.5299562960863,261.2787336111069,2807.068020105362,2931.1161637306213,4686.205556640625,5101.89013671875,36.1615625,72.625,1.0,1.0,1.0,0.0,1.17,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260806_092355_pilot,full_lru,5000.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,,,530.5299562960863,261.2787336111069,2807.068020105362,2931.1161637306213,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,1.0,0.0,,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260806_092355_pilot,static_best,5000.0,0.05,0.05,0.03007422814612072,0.0,0.14830214830214827,0.26074074074074083,0.22952038128288718,0.22,0.47058823529411764,-0.16999999999999998,0.0,0.23862374758582341,0.043948629331957256,629.9034322798252,336.99971437454224,2955.2577324211597,3083.8904716074467,4662.450024414063,5054.59033203125,7.047108154296875,14.38409423828125,1.0,0.0,0.0,1.0,,,,,,,,,"{""h2o_heavy10_recent10"": 100}"
configs/pilot.yaml,out/20260806_092355_pilot,static_safe,5000.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,530.5299562960863,261.2787336111069,2807.068020105362,2931.1161637306213,4686.205556640625,5101.89013671875,36.1615625,72.625,1.0,1.0,1.0,0.0,,,,,,,,,"{""full_gpu"": 100}"
