action_profile,audit_rate,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,exact,fallback_reason,kv_cache_memory_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,pred_loss,quality_loss,reason,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_memory_mib,risk_upper,safe,task,ttft_ms
full_gpu,,,,,,,,,,,True,,73.0078125,3498.631566762924,long,True,True,,False,,5106.14990234375,False,full_lru,,0.0,full precision exact profile,,,,longbench_qasper_000100,8698.81640625,,,qa_long_context,2922.2204610705376
full_gpu,,,,,,,,,,,True,,7.4375,608.2694455981255,short,True,True,,False,,4357.51123046875,False,full_lru,,0.0,full precision exact profile,,,,xsum_000150,8698.81640625,,,summary,72.38227128982544
full_gpu,,,,,,,,,,,True,,34.5078125,825.1784816384315,long,True,True,,False,,4664.96826171875,False,full_lru,,0.0,full precision exact profile,,,,xsum_000151,8698.81640625,,,summary,282.0740006864071
full_gpu,,,,,,,,,,,True,,20.6171875,723.7179726362228,medium,True,True,,False,,4507.23974609375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000152,8698.81640625,,,summary,172.36967757344246
full_gpu,,,,,,,,,,,True,,64.09375,1097.6660288870335,long,True,True,,False,,5009.06982421875,False,full_lru,,0.0,full precision exact profile,,,,longbench_qasper_000101,8698.81640625,,,qa_long_context,524.5350226759911
full_gpu,,,,,,,,,,,True,,5.4140625,612.8434240818024,short,True,True,,False,,4334.53076171875,False,full_lru,,0.0,full precision exact profile,,,,xsum_000157,8698.81640625,,,summary,63.75123932957649
full_gpu,,,,,,,,,,,True,,32.6484375,788.1334088742733,long,True,True,,False,,4643.88037109375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000153,8698.81640625,,,summary,264.2461881041527
full_gpu,,,,,,,,,,,True,,8.3671875,601.4475151896477,medium,True,True,,False,,4368.07177734375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000154,8698.81640625,,,summary,91.38462692499161
full_gpu,,,,,,,,,,,True,,68.6875,1048.7389490008354,long,True,True,,False,,5059.39794921875,False,full_lru,,0.0,full precision exact profile,,,,longbench_qasper_000102,8698.81640625,,,qa_long_context,538.8623438775539
full_gpu,,,,,,,,,,,True,,5.25,576.2345232069492,short,True,True,,False,,4332.66748046875,False,full_lru,,0.0,full precision exact profile,,,,xsum_000167,8698.81640625,,,summary,63.30471113324165
