section,name,ok,error,diagnostic_output,failures,config,run_dir,visual_outputs,visual_error,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution,has_h0_tail_metrics,has_h1_coverage_metrics,has_h2_lite_benefit_metrics,deployable_baseline_names,audit_rate,backend_distribution,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,optimality_gap,oracle,oracle_cost_ms,placeholder,pred_loss_mean,primary_metric_distribution,risk_upper_mean,target_delta,violation_rate_eps0p05,violation_rate_eps0p1
experiment,pilot-smoke-measured,True,,,,configs/pilot.yaml,out/20260806_122619_pilot_repolicy,"[""out/20260806_122619_pilot_repolicy/policy_tables/summary_policy_p95_ttft.png"", ""out/20260806_122619_pilot_repolicy/policy_tables/summary_policy_kv_memory.png"", ""out/20260806_122619_pilot_repolicy/policy_tables/summary_policy_quality_loss.png"", ""out/20260806_122619_pilot_repolicy/policy_tables/summary_policy_violation_rate.png""]",,1600,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,"[""full_lru"", ""static_best"", ""static_safe"", ""utility_dynamic"", ""uncalibrated_dynamic""]",,,,,,,,,,,,,,,,,
profile,full_gpu,True,,,,configs/pilot.yaml,,,,,,,,,200.0,200.0,200.0,547.6119140163064,,2790.079042315483,2935.901917517185,4711.336318359375,5121.31005859375,38.3641015625,74.3203125,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"{""transformers"": 200}",,,,,,,,,,,"{""f1"": 55, ""rouge_l"": 145}",,,0.0,0.0
profile,kivi_4bit_residual32,True,,,,configs/pilot.yaml,,,,,,,,,200.0,200.0,200.0,802.9318253882229,,4364.910688251257,4534.471571445465,4685.015886230469,5069.26806640625,12.907574462890626,24.108642578125,0.011416006330424415,,0.07326007326007322,0.14671814671814676,0.12911717327438427,,,,,,,,,,,,,,,,,,,"{""qwen2_kivi"": 200}",,,,,,,,,,,"{""f1"": 55, ""rouge_l"": 145}",,,0.105,0.035
profile,kivi_4bit_residual64,True,,,,configs/pilot.yaml,,,,,,,,,200.0,200.0,200.0,792.6639520004392,,4299.024999141693,4551.769554615021,4685.067744140625,5069.41845703125,13.817437744140625,25.052001953125,0.010904956943794538,,0.06401137980085347,0.14671814671814676,0.12827638295990973,,,,,,,,,,,,,,,,,,,"{""qwen2_kivi"": 200}",,,,,,,,,,,"{""f1"": 55, ""rouge_l"": 145}",,,0.1,0.035
profile,kivi_2bit_residual32,True,,,,configs/pilot.yaml,,,,,,,,,200.0,200.0,200.0,806.8549437262118,,4304.042208939791,4601.688638329506,4683.8817211914065,5066.99853515625,8.279114990234374,14.979248046875,0.027234868916487374,,0.13633520950594125,0.2753623188405797,0.207241971158483,,,,,,,,,,,,,,,,,,,"{""qwen2_kivi"": 200}",,,,,,,,,,,"{""f1"": 55, ""rouge_l"": 145}",,,0.23,0.095
profile,kivi_2bit_residual64,True,,,,configs/pilot.yaml,,,,,,,,,200.0,200.0,200.0,792.216800544411,,4405.124206095934,4504.772216081619,4683.972915039062,5067.17626953125,9.354407958984375,16.10546875,0.02412677825944013,,0.1214539007092198,0.2753623188405797,0.19729281386890019,,,,,,,,,,,,,,,,,,,"{""qwen2_kivi"": 200}",,,,,,,,,,,"{""f1"": 55, ""rouge_l"": 145}",,,0.2,0.08
profile,h2o_heavy10_recent10,True,,,,configs/pilot.yaml,,,,,,,,,200.0,200.0,200.0,650.1175946369767,,2960.3108800947666,3142.78444647789,4686.182761230469,5073.1845703125,7.487964172363281,14.7135009765625,0.03616813046805231,,0.18571428571428572,0.26074074074074083,0.2436761140309058,,,,,,,,,,,,,,,,,,,"{""qwen2_h2o"": 200}",,,,,,,,,,,"{""f1"": 55, ""rouge_l"": 145}",,,0.28,0.145
profile,h2o_heavy15_recent15,True,,,,configs/pilot.yaml,,,,,,,,,200.0,200.0,200.0,648.5938782989979,,2936.0037557780743,3045.5555617809296,4688.216188964844,5077.455078125,11.254730224609375,22.07025146484375,0.03463225732954339,,0.15669515669515677,0.26074074074074083,0.21619592514792393,,,,,,,,,,,,,,,,,,,"{""qwen2_h2o"": 200}",,,,,,,,,,,"{""f1"": 55, ""rouge_l"": 145}",,,0.29,0.14
profile,h2o_heavy20_recent20,True,,,,configs/pilot.yaml,,,,,,,,,200.0,200.0,200.0,650.5247593857348,,2952.98058912158,3077.962063252926,4690.992312011719,5081.994140625,15.031927490234375,29.427001953125,0.023310594313196438,,0.13633520950594125,0.23751023751023748,0.18589277632923895,,,,,,,,,,,,,,,,,,,"{""qwen2_h2o"": 200}",,,,,,,,,,,"{""f1"": 55, ""rouge_l"": 145}",,,0.2,0.085
policy,full_lru,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,4900.0,100.0,100.0,,531.4881743118167,262.2704245150089,2790.079042315483,2935.901917517185,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,,,,,,False,,False,,,,0.05,,
policy,static_best,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,4900.0,100.0,100.0,,630.8806839957833,334.0696543455124,3015.881672501564,3045.5555617809296,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.029551883690152998,0.0,0.128695652173913,0.22287390029325516,0.1738786156486276,0.24,-0.19,0.37037037037037035,0.0,1.0,0.0,0.0,1.0,1.0,False,100.0,,"{""h2o_heavy15_recent15"": 100}",,,,,,,,,,,,,False,,True,0.04043453732209576,,0.27235475796808506,0.05,,
policy,static_safe,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,4900.0,100.0,100.0,,531.4881743118167,262.2704245150089,2790.079042315483,2935.901917517185,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,,,,,,False,,True,0.0,,0.0,0.05,,
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,4900.0,100.0,100.0,,630.4514801129699,334.0696543455124,2985.5592735111713,3077.962063252926,4666.222236328125,5063.376953125,12.927018432617187,28.43878173828125,0.029982548780553005,0.0,0.13633520950594125,0.22287390029325516,0.18576267361964208,0.25,-0.2,0.4074074074074074,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.17,"{""h2o_heavy15_recent15"": 45, ""h2o_heavy20_recent20"": 55}",,,,,,,,,,,,,False,,True,0.030524284467581247,,0.24581413237546698,0.05,,
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,4900.0,100.0,100.0,,630.9688593074679,334.0696543455124,3015.881672501564,3045.5555617809296,4664.772651367188,5057.88818359375,11.108693237304687,21.521240234375,0.024443011348331833,0.0,0.11764705882352933,0.19999999999999996,0.1591577797125382,0.21,-0.15999999999999998,0.4074074074074074,0.0,1.0,0.0,0.0,1.0,2.0,False,100.0,1.17,"{""h2o_heavy15_recent15"": 56, ""h2o_heavy20_recent20"": 44}",,,,,,,,,,,,,False,,True,0.03366372334081087,,0.2553291932364569,0.05,,
policy,full_lru,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,5000.0,100.0,100.0,,531.4881743118167,262.2704245150089,2790.079042315483,2935.901917517185,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,,,,,,False,,False,,,,0.05,,
policy,static_best,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,5000.0,100.0,100.0,,630.8806839957833,334.0696543455124,3015.881672501564,3045.5555617809296,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.029551883690152998,0.0,0.128695652173913,0.22287390029325516,0.1738786156486276,0.24,-0.19,0.37037037037037035,0.0,1.0,0.0,0.0,1.0,1.0,False,100.0,,"{""h2o_heavy15_recent15"": 100}",,,,,,,,,,,,,False,,True,0.04043453732209576,,0.27235475796808506,0.05,,
policy,static_safe,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,5000.0,100.0,100.0,,531.4881743118167,262.2704245150089,2790.079042315483,2935.901917517185,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,,,,,,False,,True,0.0,,0.0,0.05,,
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,5000.0,100.0,100.0,,630.4514801129699,334.0696543455124,2985.5592735111713,3077.962063252926,4666.222236328125,5063.376953125,12.927018432617187,28.43878173828125,0.029982548780553005,0.0,0.13633520950594125,0.22287390029325516,0.18576267361964208,0.25,-0.2,0.4074074074074074,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.17,"{""h2o_heavy15_recent15"": 45, ""h2o_heavy20_recent20"": 55}",,,,,,,,,,,,,False,,True,0.030524284467581247,,0.24581413237546698,0.05,,
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,5000.0,100.0,100.0,,630.9688593074679,334.0696543455124,3015.881672501564,3045.5555617809296,4664.772651367188,5057.88818359375,11.108693237304687,21.521240234375,0.024443011348331833,0.0,0.11764705882352933,0.19999999999999996,0.1591577797125382,0.21,-0.15999999999999998,0.4074074074074074,0.0,1.0,0.0,0.0,1.0,2.0,False,100.0,1.17,"{""h2o_heavy15_recent15"": 56, ""h2o_heavy20_recent20"": 44}",,,,,,,,,,,,,False,,True,0.03366372334081087,,0.2553291932364569,0.05,,
policy,full_lru,True,,,,configs/pilot.yaml,,,,,,0.05,0.1,4900.0,100.0,100.0,,531.4881743118167,262.2704245150089,2790.079042315483,2935.901917517185,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,,,,,,False,,False,,,,0.1,,
policy,static_best,True,,,,configs/pilot.yaml,,,,,,0.05,0.1,4900.0,100.0,100.0,,630.8806839957833,334.0696543455124,3015.881672501564,3045.5555617809296,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.029551883690152998,0.0,0.128695652173913,0.22287390029325516,0.1738786156486276,0.24,-0.13999999999999999,0.37037037037037035,0.0,1.0,0.0,0.0,1.0,1.0,False,100.0,,"{""h2o_heavy15_recent15"": 100}",,,,,,,,,,,,,False,,True,0.04043453732209576,,0.27235475796808506,0.1,,
policy,static_safe,True,,,,configs/pilot.yaml,,,,,,0.05,0.1,4900.0,100.0,100.0,,783.2778196036816,353.75457257032394,4364.910688251257,4534.471571445465,4661.478544921875,5055.19970703125,12.211103515625,23.59765625,0.012530918588906774,0.0,0.06401137980085347,0.1794871794871794,0.14200571770198384,0.12,-0.01999999999999999,0.18518518518518517,0.0,1.0,0.0,0.0,1.0,1.0,False,100.0,,"{""kivi_4bit_residual32"": 100}",,,,,,,,,,,,,False,,True,0.010643413866656763,,0.10781192760485242,0.1,,
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,,,,0.05,0.1,4900.0,100.0,100.0,,630.4514801129699,334.0696543455124,2985.5592735111713,3077.962063252926,4666.222236328125,5063.376953125,12.927018432617187,28.43878173828125,0.029982548780553005,0.0,0.13633520950594125,0.22287390029325516,0.18576267361964208,0.25,-0.15,0.4074074074074074,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.17,"{""h2o_heavy15_recent15"": 45, ""h2o_heavy20_recent20"": 55}",,,,,,,,,,,,,False,,True,0.030524284467581247,,0.24581413237546698,0.1,,
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,,,,0.05,0.1,4900.0,100.0,100.0,,630.9688593074679,334.0696543455124,3015.881672501564,3045.5555617809296,4664.772651367188,5057.88818359375,11.108693237304687,21.521240234375,0.024443011348331833,0.0,0.11764705882352933,0.19999999999999996,0.1591577797125382,0.21,-0.10999999999999999,0.4074074074074074,0.0,1.0,0.0,0.0,1.0,2.0,False,100.0,1.17,"{""h2o_heavy15_recent15"": 56, ""h2o_heavy20_recent20"": 44}",,,,,,,,,,,,,False,,True,0.03366372334081087,,0.2553291932364569,0.1,,
policy,full_lru,True,,,,configs/pilot.yaml,,,,,,0.05,0.1,5000.0,100.0,100.0,,531.4881743118167,262.2704245150089,2790.079042315483,2935.901917517185,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,,,,,,False,,False,,,,0.1,,
policy,static_best,True,,,,configs/pilot.yaml,,,,,,0.05,0.1,5000.0,100.0,100.0,,630.8806839957833,334.0696543455124,3015.881672501564,3045.5555617809296,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.029551883690152998,0.0,0.128695652173913,0.22287390029325516,0.1738786156486276,0.24,-0.13999999999999999,0.37037037037037035,0.0,1.0,0.0,0.0,1.0,1.0,False,100.0,,"{""h2o_heavy15_recent15"": 100}",,,,,,,,,,,,,False,,True,0.04043453732209576,,0.27235475796808506,0.1,,
policy,static_safe,True,,,,configs/pilot.yaml,,,,,,0.05,0.1,5000.0,100.0,100.0,,783.2778196036816,353.75457257032394,4364.910688251257,4534.471571445465,4661.478544921875,5055.19970703125,12.211103515625,23.59765625,0.012530918588906774,0.0,0.06401137980085347,0.1794871794871794,0.14200571770198384,0.12,-0.01999999999999999,0.18518518518518517,0.0,1.0,0.0,0.0,1.0,1.0,False,100.0,,"{""kivi_4bit_residual32"": 100}",,,,,,,,,,,,,False,,True,0.010643413866656763,,0.10781192760485242,0.1,,
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,,,,0.05,0.1,5000.0,100.0,100.0,,630.4514801129699,334.0696543455124,2985.5592735111713,3077.962063252926,4666.222236328125,5063.376953125,12.927018432617187,28.43878173828125,0.029982548780553005,0.0,0.13633520950594125,0.22287390029325516,0.18576267361964208,0.25,-0.15,0.4074074074074074,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.17,"{""h2o_heavy15_recent15"": 45, ""h2o_heavy20_recent20"": 55}",,,,,,,,,,,,,False,,True,0.030524284467581247,,0.24581413237546698,0.1,,
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,,,,0.05,0.1,5000.0,100.0,100.0,,630.9688593074679,334.0696543455124,3015.881672501564,3045.5555617809296,4664.772651367188,5057.88818359375,11.108693237304687,21.521240234375,0.024443011348331833,0.0,0.11764705882352933,0.19999999999999996,0.1591577797125382,0.21,-0.10999999999999999,0.4074074074074074,0.0,1.0,0.0,0.0,1.0,2.0,False,100.0,1.17,"{""h2o_heavy15_recent15"": 56, ""h2o_heavy20_recent20"": 44}",,,,,,,,,,,,,False,,True,0.03366372334081087,,0.2553291932364569,0.1,,
policy,full_lru,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,4900.0,100.0,100.0,,531.4881743118167,262.2704245150089,2790.079042315483,2935.901917517185,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,,,,,,False,,False,,,,0.05,,
policy,static_best,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,4900.0,100.0,100.0,,630.8806839957833,334.0696543455124,3015.881672501564,3045.5555617809296,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.029551883690152998,0.0,0.128695652173913,0.22287390029325516,0.1738786156486276,0.15,-0.09999999999999999,0.29411764705882354,0.0,1.0,0.0,0.0,1.0,1.0,False,100.0,,"{""h2o_heavy15_recent15"": 100}",,,,,,,,,,,,,False,,True,0.04043453732209576,,0.27235475796808506,0.05,,
policy,static_safe,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,4900.0,100.0,100.0,,783.2778196036816,353.75457257032394,4364.910688251257,4534.471571445465,4661.478544921875,5055.19970703125,12.211103515625,23.59765625,0.012530918588906774,0.0,0.06401137980085347,0.1794871794871794,0.14200571770198384,0.04,0.010000000000000002,0.07407407407407407,0.44,1.0,0.0,0.0,1.0,1.0,False,56.0,,"{""kivi_4bit_residual32"": 100}",,,,,,,,,,,,,False,,True,0.010643413866656763,,0.10781192760485242,0.05,,
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,4900.0,100.0,100.0,,630.4514801129699,334.0696543455124,2985.5592735111713,3077.962063252926,4666.222236328125,5063.376953125,12.927018432617187,28.43878173828125,0.029982548780553005,0.0,0.13633520950594125,0.22287390029325516,0.18576267361964208,0.14,-0.09000000000000001,0.29411764705882354,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,2.61,"{""h2o_heavy15_recent15"": 45, ""h2o_heavy20_recent20"": 55}",,,,,,,,,,,,,False,,True,0.030524284467581247,,0.24581413237546698,0.05,,
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,4900.0,100.0,100.0,,630.8806839957833,334.0696543455124,3015.881672501564,3045.5555617809296,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.029551883690152998,0.0,0.128695652173913,0.22287390029325516,0.1738786156486276,0.15,-0.09999999999999999,0.29411764705882354,0.0,1.0,0.0,0.0,1.0,1.0,False,100.0,2.61,"{""h2o_heavy15_recent15"": 100}",,,,,,,,,,,,,False,,True,0.04043453732209576,,0.27235475796808506,0.05,,
policy,full_lru,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,5000.0,100.0,100.0,,531.4881743118167,262.2704245150089,2790.079042315483,2935.901917517185,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,,,,,,False,,False,,,,0.05,,
policy,static_best,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,5000.0,100.0,100.0,,630.8806839957833,334.0696543455124,3015.881672501564,3045.5555617809296,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.029551883690152998,0.0,0.128695652173913,0.22287390029325516,0.1738786156486276,0.15,-0.09999999999999999,0.29411764705882354,0.0,1.0,0.0,0.0,1.0,1.0,False,100.0,,"{""h2o_heavy15_recent15"": 100}",,,,,,,,,,,,,False,,True,0.04043453732209576,,0.27235475796808506,0.05,,
policy,static_safe,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,5000.0,100.0,100.0,,783.2778196036816,353.75457257032394,4364.910688251257,4534.471571445465,4661.478544921875,5055.19970703125,12.211103515625,23.59765625,0.012530918588906774,0.0,0.06401137980085347,0.1794871794871794,0.14200571770198384,0.04,0.010000000000000002,0.07407407407407407,0.44,1.0,0.0,0.0,1.0,1.0,False,56.0,,"{""kivi_4bit_residual32"": 100}",,,,,,,,,,,,,False,,True,0.010643413866656763,,0.10781192760485242,0.05,,
