section,name,ok,error,diagnostic_output,session_trace_output,failures,config,run_dir,visual_outputs,visual_error,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_global_resident_kv_mib,p95_global_resident_kv_mib,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution,has_h0_tail_metrics,has_h1_coverage_metrics,has_h2_lite_benefit_metrics,deployable_baseline_names,experiment_type,backend_events_applicable,backend_semantics_status,backend_not_applicable_reason,session_reuse_evidence,global_resident_evolution,backend_event_evidence,active_session_peak,audit_rate,backend_distribution,budget_hit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,length_bucket_distribution,mean_cumulative_kv_mib,mean_resident_kv_mib,multi_turn_session_count,optimality_gap,oracle,oracle_cost_ms,placeholder,policy_budget_filter_rate,pred_loss_mean,primary_metric_distribution,profile_residence_share,queue_delay_ms,recompute_count,recompute_time_ms,restore_count,restore_time_ms,risk_upper_mean,session_count,switch_count,target_delta,task_distribution,task_length_distribution,triggered_evict,triggered_queue,triggered_recompute,triggered_restore,violation_rate_eps0p05,violation_rate_eps0p1
experiment,pilot-smoke-measured,True,,,out/20260810_133820_pilot_session_trace/session_traces/pilot_session_trace_pressure_trace.csv,,configs/pilot_session_trace.yaml,out/20260810_133820_pilot_session_trace,"[""out/20260810_133820_pilot_session_trace/policy_tables/summary_policy_p95_ttft.png"", ""out/20260810_133820_pilot_session_trace/policy_tables/summary_policy_kv_memory.png"", ""out/20260810_133820_pilot_session_trace/policy_tables/summary_policy_quality_loss.png"", ""out/20260810_133820_pilot_session_trace/policy_tables/summary_policy_violation_rate.png""]",,192,720,0.1,0.1,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,"[""full_lru"", ""static_best"", ""static_safe"", ""utility_dynamic"", ""uncalibrated_dynamic""]",baseline_session,True,validated,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile,full_gpu,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.1,0.1,40.0,24.0,24.0,24.0,148.09251964713135,,90.28621017932892,2068.1072287261486,15154.042928059896,15274.76416015625,4.548177083333333,8.6953125,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,baseline_session,,,,,,,,,"{""qwen2_exact_runtime"": 24}",,,,,,,,,,,,,,,,,"{""f1"": 12, ""rouge_l"": 12}",,,,,,,,,,,,,,,,,0.0,0.0
profile,kivi_4bit_residual32,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.1,0.1,40.0,24.0,24.0,24.0,174.058533894519,,145.80366760492325,1801.9855841994286,15148.985880533854,15271.0361328125,2.2829182942708335,3.901611328125,,,0.010714285714285713,,0.12857142857142856,0.12857142857142856,0.12857142857142856,,,,,,,,,,,,,,,,,,baseline_session,,,,,,,,,"{""qwen2_kivi"": 24}",,,,,,,,,,,,,,,,,"{""f1"": 12, ""rouge_l"": 12}",,,,,,,,,,,,,,,,,0.08333333333333333,0.08333333333333333
profile,kivi_4bit_residual64,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.1,0.1,40.0,24.0,24.0,24.0,101.40633210539818,,145.92264965176582,271.0530087351799,15157.713785807291,15281.7978515625,3.1194661458333335,4.503173828125,,,0.010714285714285713,,0.12857142857142856,0.12857142857142856,0.12857142857142856,,,,,,,,,,,,,,,,,,baseline_session,,,,,,,,,"{""qwen2_kivi"": 24}",,,,,,,,,,,,,,,,,"{""f1"": 12, ""rouge_l"": 12}",,,,,,,,,,,,,,,,,0.08333333333333333,0.08333333333333333
profile,kivi_2bit_residual32,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.1,0.1,40.0,24.0,24.0,24.0,102.79412086432178,,145.6325799226761,146.903358399868,15149.137776692709,15268.5087890625,1.8710530598958333,3.030029296875,,,0.0291774258879522,,0.19883040935672514,0.19883040935672514,0.19883040935672514,,,,,,,,,,,,,,,,,,baseline_session,,,,,,,,,"{""qwen2_kivi"": 24}",,,,,,,,,,,,,,,,,"{""f1"": 12, ""rouge_l"": 12}",,,,,,,,,,,,,,,,,0.16666666666666666,0.16666666666666666
profile,kivi_2bit_residual64,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.1,0.1,40.0,24.0,24.0,24.0,97.06587344408035,,147.16414734721184,147.5241556763649,15156.210001627604,15277.9697265625,2.8597005208333335,3.799072265625,,,0.0291774258879522,,0.19883040935672514,0.19883040935672514,0.19883040935672514,,,,,,,,,,,,,,,,,,baseline_session,,,,,,,,,"{""qwen2_kivi"": 24}",,,,,,,,,,,,,,,,,"{""f1"": 12, ""rouge_l"": 12}",,,,,,,,,,,,,,,,,0.16666666666666666,0.16666666666666666
profile,h2o_heavy10_recent10,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.1,0.1,40.0,24.0,24.0,24.0,177.10911125565568,,142.22732558846474,1850.2263315021992,15136.688802083334,15247.57080078125,0.713714599609375,1.5372314453125,,,0.038851029742590554,,0.21415607985480944,0.21415607985480944,0.21415607985480944,,,,,,,,,,,,,,,,,,baseline_session,,,,,,,,,"{""qwen2_h2o"": 24}",,,,,,,,,,,,,,,,,"{""f1"": 12, ""rouge_l"": 12}",,,,,,,,,,,,,,,,,0.25,0.16666666666666666
profile,h2o_heavy15_recent15,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.1,0.1,40.0,24.0,24.0,24.0,102.36434855808814,,138.33501935005188,139.80694115161896,15140.87890625,15251.74267578125,1.0797220865885417,2.30584716796875,,,0.03340121136173768,,0.13533834586466165,0.13533834586466165,0.13533834586466165,,,,,,,,,,,,,,,,,,baseline_session,,,,,,,,,"{""qwen2_h2o"": 24}",,,,,,,,,,,,,,,,,"{""f1"": 12, ""rouge_l"": 12}",,,,,,,,,,,,,,,,,0.25,0.16666666666666666
profile,h2o_heavy20_recent20,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.1,0.1,40.0,24.0,24.0,24.0,103.22624833012621,,141.0183645784855,142.7857093513012,15142.387166341146,15253.39794921875,1.4457295735677083,3.074462890625,,,0.010714285714285713,,0.12857142857142856,0.12857142857142856,0.12857142857142856,,,,,,,,,,,,,,,,,,baseline_session,,,,,,,,,"{""qwen2_h2o"": 24}",,,,,,,,,,,,,,,,,"{""f1"": 12, ""rouge_l"": 12}",,,,,,,,,,,,,,,,,0.08333333333333333,0.08333333333333333
policy,full_lru,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.05,0.05,18.0,12.0,12.0,,71.86524694263935,69.45357005000115,90.95825008153915,93.29128830432892,15195.900634765625,15274.76416015625,5.897135416666667,8.6953125,15.376302083333334,17.390625,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 12}",,,,,baseline_session,True,validated,,True,True,True,10.0,,,0.75,,,,,,"{""long"": 4, ""medium"": 6, ""short"": 2}",5.897135416666667,5.897135416666667,2.0,,False,,False,0.5833333333333334,,,"{""full_gpu"": 1.0}",0.0,0.0,,10.0,1.7092578125,,10.0,0.0,0.05,"{""qa"": 6, ""summary"": 6}","{""qa/medium"": 4, ""qa/short"": 2, ""summary/long"": 4, ""summary/medium"": 2}",True,False,False,True,,
