section,name,ok,error,diagnostic_output,session_trace_output,failures,config,run_dir,visual_outputs,visual_error,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_global_resident_kv_mib,p95_global_resident_kv_mib,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution,has_h0_tail_metrics,has_h1_coverage_metrics,has_h2_lite_benefit_metrics,deployable_baseline_names,experiment_type,backend_events_applicable,backend_semantics_status,backend_not_applicable_reason,session_reuse_evidence,global_resident_evolution,backend_event_evidence,active_session_peak,audit_rate,backend_distribution,budget_hit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,length_bucket_distribution,mean_cumulative_kv_mib,mean_resident_kv_mib,multi_turn_session_count,optimality_gap,oracle,oracle_cost_ms,placeholder,policy_budget_filter_rate,pred_loss_mean,primary_metric_distribution,profile_residence_share,queue_delay_ms,recompute_count,recompute_time_ms,restore_count,restore_time_ms,risk_upper_mean,session_count,switch_count,target_delta,task_distribution,task_length_distribution,triggered_evict,triggered_queue,triggered_recompute,triggered_restore,violation_rate_eps0p05,violation_rate_eps0p1
experiment,pilot-smoke-measured,True,,,out/20260810_174233_pilot/session_traces/pilot_smoke_measured_session_trace.csv,,configs/pilot.yaml,out/20260810_174233_pilot,"[""out/20260810_174233_pilot/policy_tables/summary_policy_p95_ttft.png"", ""out/20260810_174233_pilot/policy_tables/summary_policy_kv_memory.png"", ""out/20260810_174233_pilot/policy_tables/summary_policy_quality_loss.png"", ""out/20260810_174233_pilot/policy_tables/summary_policy_violation_rate.png""]",,1600,4000,0.1,0.1,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,"[""full_lru"", ""static_best"", ""static_safe"", ""utility_dynamic"", ""uncalibrated_dynamic""]",baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile,full_gpu,True,,,,,configs/pilot.yaml,,,,,,0.1,0.1,5000.0,200.0,200.0,200.0,284.0284239500761,,717.9865501821041,777.8207808732986,15957.221677246094,17163.96484375,28.67375,71.53125,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_exact_runtime"": 200}",,,,,,,,,,,,,,,,,"{""f1"": 112, ""rouge_l"": 88}",,,,,,,,,,,,,,,,,0.0,0.0
profile,kivi_4bit_residual32,True,,,,,configs/pilot.yaml,,,,,,0.1,0.1,5000.0,200.0,200.0,200.0,346.3813925907016,,786.3456942141056,839.0594907104969,15828.3154296875,16975.7734375,9.86834228515625,23.0234375,,,0.010088289175741796,,0.04074702886247872,0.24637681159420288,0.17856454787106993,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_kivi"": 200}",,,,,,,,,,,,,,,,,"{""f1"": 112, ""rouge_l"": 88}",,,,,,,,,,,,,,,,,0.05,0.045
profile,kivi_4bit_residual64,True,,,,,configs/pilot.yaml,,,,,,0.1,0.1,5000.0,200.0,200.0,200.0,326.39826318249106,,787.0409972965717,821.600578725338,15835.500480957031,16982.76171875,10.721339111328126,24.0830078125,,,0.01021711365239236,,0.04074702886247872,0.24637681159420288,0.17856454787106993,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_kivi"": 200}",,,,,,,,,,,,,,,,,"{""f1"": 112, ""rouge_l"": 88}",,,,,,,,,,,,,,,,,0.05,0.045
profile,kivi_2bit_residual32,True,,,,,configs/pilot.yaml,,,,,,0.1,0.1,5000.0,200.0,200.0,200.0,326.24493757262826,,780.2345119416714,838.3256644010544,15813.336860351563,16958.015625,6.44917724609375,14.287109375,,,0.008571128253232923,,0.03174603174603163,0.1777777777777778,0.1508288267103536,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_kivi"": 200}",,,,,,,,,,,,,,,,,"{""f1"": 112, ""rouge_l"": 88}",,,,,,,,,,,,,,,,,0.045,0.04
profile,kivi_2bit_residual64,True,,,,,configs/pilot.yaml,,,,,,0.1,0.1,5000.0,200.0,200.0,200.0,324.7199453227222,,776.0799713432789,818.9589530229568,15818.625473632812,16963.033203125,7.457264404296875,15.481689453125,,,0.008799304416180091,,0.0413533834586467,0.19433198380566807,0.15415284734369034,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_kivi"": 200}",,,,,,,,,,,,,,,,,"{""f1"": 112, ""rouge_l"": 88}",,,,,,,,,,,,,,,,,0.045,0.04
profile,h2o_heavy10_recent10,True,,,,,configs/pilot.yaml,,,,,,0.1,0.1,5000.0,200.0,200.0,200.0,335.9300298243761,,810.9860233962536,824.7273378074169,15807.030703125,16956.25927734375,5.542268371582031,14.16448974609375,,,0.0133727515097996,,0.0998389694041868,0.28205128205128205,0.21580927124405383,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_h2o"": 200}",,,,,,,,,,,,,,,,,"{""f1"": 112, ""rouge_l"": 88}",,,,,,,,,,,,,,,,,0.065,0.045
profile,h2o_heavy15_recent15,True,,,,,configs/pilot.yaml,,,,,,0.1,0.1,5000.0,200.0,200.0,200.0,327.5207547657192,,789.7830866277218,839.5385295152664,15825.0041796875,16977.83154296875,8.338931579589843,21.19183349609375,,,0.010530058957286714,,0.038596491228070184,0.275,0.18363671334124956,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_h2o"": 200}",,,,,,,,,,,,,,,,,"{""f1"": 112, ""rouge_l"": 88}",,,,,,,,,,,,,,,,,0.05,0.035
profile,h2o_heavy20_recent20,True,,,,,configs/pilot.yaml,,,,,,0.1,0.1,5000.0,200.0,200.0,200.0,326.6022506915033,,795.8226874470711,831.120565533638,15841.072221679688,16998.37744140625,11.143829956054688,28.3289794921875,,,0.010195026649898669,,0.038596491228070184,0.275,0.1764359500244055,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_h2o"": 200}",,,,,,,,,,,,,,,,,"{""f1"": 112, ""rouge_l"": 88}",,,,,,,,,,,,,,,,,0.05,0.045
policy,full_lru,True,,,,,configs/pilot.yaml,,,,,,0.05,0.05,4900.0,100.0,100.0,,284.51023288071156,161.5757942199707,716.2892669439316,741.7268306016922,15985.0344921875,17165.3818359375,29.5596875,71.640625,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""nonshort"": 56, ""short"": 44}",,,0.0,,False,,False,0.0,,,"{""full_gpu"": 1.0}",,,,,,,0.0,0.0,0.05,"{""qa"": 56, ""summary"": 44}","{""qa/nonshort"": 28, ""qa/short"": 28, ""summary/nonshort"": 28, ""summary/short"": 16}",,,,,,
