adapter,budget_hit,error,evicted_kv_mib,extra_arrival_index,extra_backend,extra_bits,extra_builtin_request_fallback,extra_cache_rebuild_reason,extra_cache_reused,extra_effective_prompt_chars,extra_env,extra_family,extra_gpu0_peak_memory_mib,extra_gpu1_peak_memory_mib,extra_h2o_cache_budget,extra_h2o_heavy_ratio,extra_h2o_heavy_size,extra_h2o_kept_tokens,extra_h2o_mask_events,extra_h2o_prompt_tokens,extra_h2o_prune_events,extra_h2o_recent_ratio,extra_h2o_recent_size,extra_history_turns,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_kernel_calls,extra_kivi_quantization_triggered,extra_kivi_quantize_calls,extra_kivi_quantized_layers,extra_kivi_quantized_tokens,extra_kivi_residual_length,extra_max_new_tokens,extra_metric_loss_em,extra_metric_loss_f1,extra_metric_loss_rouge_l,extra_model,extra_primary_metric,extra_profile_note,extra_prompt_text,extra_prompt_tokens,extra_reference,extra_request_source,extra_runtime_cuda_visible_devices,extra_runtime_device_strategy,extra_runtime_visible_device_count,extra_stage_decode_ms,extra_stage_first_token_ms,extra_stage_generate_ms,extra_stage_model_load_ms,extra_stage_prefill_ms,extra_stage_startup_ms,extra_stage_tokenize_ms,extra_stage_total_ms,extra_stage_transfer_ms,extra_ttft_semantics,extra_worker_cuda_visible_devices,extra_worker_device_strategy,extra_worker_mode,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,recompute_ms,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,session_id,split,task,ttft_ms,turn_index
full,False,,0.0,0,qwen2_exact_runtime,,false,,,195,tailguardkv-base,full,7544.71533203125,7555.337890625,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",,Team Atlas ships 18 crates on August 12 to warehouse-7.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,2044.7190590202808,2624.8836256563663,15429.578877985477,2038.0427949130535,2111.883018165827,6.2487199902534485,2631.8598054349422,0.22612512111663818,first_token,"0,1",balanced_two_gpu,persistent,3.171875,3.171875,3.171875,2631.8598054349422,medium,True,True,![](https://d1ynq5sw1v5nyr.cloud,15100.05322265625,full_gpu,0.0,1.0,0.0,qa-session-000-turn0__pressure_r1_c1,3.171875,0.0,7814.9140625,0.0,qa-session-000__pressure_r1_c1,calibration,qa,2044.7190590202808,0
full,False,,0.0,1,qwen2_exact_runtime,,false,,,195,tailguardkv-base,full,7546.30126953125,7556.923828125,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",,Team Atlas ships 18 crates on August 12 to warehouse-7.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,59.39273536205292,648.2359655201435,15429.578877985477,58.71735140681267,2111.883018165827,0.46022236347198486,649.0676254034042,0.09773671627044678,first_token,"0,1",balanced_two_gpu,persistent,3.171875,3.171875,3.171875,649.0676254034042,medium,True,True,![](https://d1ynq5sw1v5nyr.cloud,15103.22509765625,full_gpu,0.0,1.0,0.0,qa-session-000-turn0__pressure_r1_c2,3.171875,0.0,7814.9140625,0.0,qa-session-000__pressure_r1_c2,calibration,qa,59.39273536205292,0
full,False,,0.0,2,qwen2_exact_runtime,,false,,,349,tailguardkv-base,full,7572.2333984375,7592.873046875,,,,,,,,,,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7.""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Question: What date was locked for the shipment, and what cannot change?
Answer:",,August 12; the destination warehouse-7 cannot change.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,76.28761231899261,672.6617701351643,15429.578877985477,74.81294125318527,2111.883018165827,1.2052841484546661,674.3192039430141,0.13143569231033325,first_token,"0,1",balanced_two_gpu,persistent,5.25,5.25,2.078125,674.3192039430141,medium,True,True, The! shipment!! date! is!!!!!!! August,15165.1064453125,full_gpu,0.0,1.0,0.0,qa-session-000-turn1__pressure_r1_c1,5.25,3.171875,7814.9140625,0.0,qa-session-000__pressure_r1_c1,calibration,qa,76.28761231899261,1
full,False,,0.0,3,qwen2_exact_runtime,,false,,,349,tailguardkv-base,full,7574.8583984375,7595.498046875,,,,,,,,,,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7.""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Question: What date was locked for the shipment, and what cannot change?
Answer:",,August 12; the destination warehouse-7 cannot change.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,68.19800660014153,634.3023888766766,15429.578877985477,67.38664582371712,2111.883018165827,0.5779266357421875,635.2471262216568,0.1094713807106018,first_token,"0,1",balanced_two_gpu,persistent,5.25,5.25,2.078125,635.2471262216568,medium,True,True, The! shipment!! date! is!!!!!!! August,15170.3564453125,full_gpu,0.0,1.0,0.0,qa-session-000-turn1__pressure_r1_c2,5.25,3.171875,7814.9140625,0.0,qa-session-000__pressure_r1_c2,calibration,qa,68.19800660014153,1
full,False,,0.0,4,qwen2_exact_runtime,,false,,,605,tailguardkv-base,full,7609.927734375,7643.34765625,,,,,,,,,,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 12; the destination warehouse-7 cannot change.""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",,Yes. Split 18 crates into two equal batches while keeping August 12 and destination warehouse-7 unchanged.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,95.48840299248695,665.6808778643608,15429.578877985477,94.2956954240799,2111.883018165827,0.9912103414535522,667.0168936252594,0.09888038039207458,first_token,"0,1",balanced_two_gpu,persistent,7.984375,7.984375,2.734375,667.0168936252594,medium,True,True," No, the! original!!!!! shipment!! !must!",15253.275390625,full_gpu,0.0,1.0,0.0,qa-session-000-turn2__pressure_r1_c1,7.984375,5.25,7814.9140625,0.0,qa-session-000__pressure_r1_c1,eval,qa,95.48840299248695,2
full,False,,0.0,5,qwen2_exact_runtime,,false,,,605,tailguardkv-base,full,7613.919921875,7647.33984375,,,,,,,,,,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 12; the destination warehouse-7 cannot change.""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",,Yes. Split 18 crates into two equal batches while keeping August 12 and destination warehouse-7 unchanged.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,89.46442604064941,679.8968054354191,15429.578877985477,88.63681554794312,2111.883018165827,0.6379298865795135,680.8646097779274,0.09427964687347412,first_token,"0,1",balanced_two_gpu,persistent,7.984375,7.984375,2.734375,680.8646097779274,medium,True,True," No, the! original!!!!! shipment!! !must!",15261.259765625,full_gpu,0.0,1.0,0.0,qa-session-000-turn2__pressure_r1_c2,7.984375,5.25,7814.9140625,0.0,qa-session-000__pressure_r1_c2,eval,qa,89.46442604064941,2
full,False,,0.0,6,qwen2_exact_runtime,,false,,,199,tailguardkv-base,full,7562.38720703125,7574.5009765625,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",,Team Borealis ships 19 crates on August 13 to checkpoint-3.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,57.0843480527401,634.2647075653076,15429.578877985477,56.48907274007797,2111.883018165827,0.41591376066207886,635.0001133978367,0.0869855284690857,first_token,"0,1",balanced_two_gpu,persistent,3.28125,3.28125,3.28125,635.0001133978367,medium,True,True,![](https://d1ynq5sw1vnuu5.cloud,15136.88818359375,full_gpu,0.0,1.0,0.0,qa-session-001-turn0__pressure_r1_c1,3.28125,0.0,7814.9140625,0.0,qa-session-001__pressure_r1_c1,eval,qa,57.0843480527401,0
full,False,,0.0,7,qwen2_exact_runtime,,false,,,199,tailguardkv-base,full,7564.02783203125,7576.1416015625,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",,Team Borealis ships 19 crates on August 13 to checkpoint-3.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,56.39367923140526,635.2659575641155,15429.578877985477,55.90421333909035,2111.883018165827,0.30013546347618103,635.8623094856739,0.08485838770866394,first_token,"0,1",balanced_two_gpu,persistent,3.28125,3.28125,3.28125,635.8623094856739,medium,True,True,![](https://d1ynq5sw1vnuu5.cloud,15140.16943359375,full_gpu,0.0,1.0,0.0,qa-session-001-turn0__pressure_r1_c2,3.28125,0.0,7814.9140625,0.0,qa-session-001__pressure_r1_c2,eval,qa,56.39367923140526,0
full,False,,0.0,8,qwen2_exact_runtime,,false,,,357,tailguardkv-base,full,7591.34375,7613.005859375,,,,,,,,,,"[""User: Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Borealis ships 19 crates on August 13 to checkpoint-3.""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Question: What date was locked for the shipment, and what cannot change?
Answer:",,August 13; the destination checkpoint-3 cannot change.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,65.84727391600609,645.0063474476337,15429.578877985477,65.25640934705734,2111.883018165827,0.417906790971756,645.720187574625,0.08545815944671631,first_token,"0,1",balanced_two_gpu,persistent,5.46875,5.46875,2.1875,645.720187574625,medium,True,True, The! shipment!! date!!! of!!!!!!,15204.349609375,full_gpu,0.0,1.0,0.0,qa-session-001-turn1__pressure_r1_c1,5.46875,3.28125,7814.9140625,0.0,qa-session-001__pressure_r1_c1,calibration,qa,65.84727391600609,1
full,False,,0.0,9,qwen2_exact_runtime,,false,,,357,tailguardkv-base,full,7594.078125,7615.740234375,,,,,,,,,,"[""User: Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Borealis ships 19 crates on August 13 to checkpoint-3.""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Question: What date was locked for the shipment, and what cannot change?
Answer:",,August 13; the destination checkpoint-3 cannot change.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,64.91377204656601,642.1841084957123,15429.578877985477,64.33475762605667,2111.883018165827,0.40240585803985596,642.9046951234341,0.08648261427879333,first_token,"0,1",balanced_two_gpu,persistent,5.46875,5.46875,2.1875,642.9046951234341,medium,True,True, The! shipment!! date!!! of!!!!!!,15209.818359375,full_gpu,0.0,1.0,0.0,qa-session-001-turn1__pressure_r1_c2,5.46875,3.28125,7814.9140625,0.0,qa-session-001__pressure_r1_c2,calibration,qa,64.91377204656601,1
