section,name,ok,error,diagnostic_output,session_trace_output,failures,config,run_dir,visual_outputs,visual_error,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_global_resident_kv_mib,p95_global_resident_kv_mib,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution,has_h0_tail_metrics,has_h1_coverage_metrics,has_h2_lite_benefit_metrics,deployable_baseline_names,experiment_type,backend_events_applicable,backend_semantics_status,backend_not_applicable_reason,session_reuse_evidence,global_resident_evolution,backend_event_evidence,active_session_peak,audit_rate,backend_distribution,budget_hit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,length_bucket_distribution,mean_cumulative_kv_mib,mean_resident_kv_mib,multi_turn_session_count,optimality_gap,oracle,oracle_cost_ms,placeholder,policy_budget_filter_rate,pred_loss_mean,primary_metric_distribution,profile_residence_share,queue_delay_ms,recompute_count,recompute_time_ms,restore_count,restore_time_ms,risk_upper_mean,session_count,switch_count,target_delta,task_distribution,task_length_distribution,triggered_evict,triggered_queue,triggered_recompute,triggered_restore,violation_rate_eps0p05,violation_rate_eps0p1
experiment,pilot-smoke-measured,True,,,out/20260813_093912_pilot_external_baseline_quality/session_traces/pilot_smoke_measured_session_trace.csv,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,out/20260813_093912_pilot_external_baseline_quality,"[""out/20260813_093912_pilot_external_baseline_quality/policy_tables/summary_policy_p95_ttft.png"", ""out/20260813_093912_pilot_external_baseline_quality/policy_tables/summary_policy_kv_memory.png"", ""out/20260813_093912_pilot_external_baseline_quality/policy_tables/summary_policy_quality_loss.png"", ""out/20260813_093912_pilot_external_baseline_quality/policy_tables/summary_policy_violation_rate.png""]",,672,1560,0.1,0.1,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,"[""full_lru"", ""static_best"", ""static_safe"", ""utility_dynamic"", ""uncalibrated_dynamic""]",baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile,full_gpu,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,5000.0,84.0,84.0,84.0,372.0882411691405,,505.84178417921066,952.0297013223171,16319.927780877977,16662.25537109375,39.847005208333336,47.6328125,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_exact_runtime"": 84}",,,,,,,,,,,,,,,,,"{""f1"": 49, ""rouge_l"": 35}",,,,,,,,,,,,,,,,,0.0,0.0
profile,kivi_4bit_residual32,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,5000.0,84.0,84.0,84.0,411.9532299006269,,512.8427483141422,932.3274567723274,16147.12749953497,16381.23095703125,13.359232584635416,15.932861328125,,,0.028998657730628024,,0.16666666666666652,0.24615384615384617,0.21560439560439565,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_kivi"": 84}",,,,,,,,,,,,,,,,,"{""f1"": 49, ""rouge_l"": 35}",,,,,,,,,,,,,,,,,0.19047619047619047,0.14285714285714285
profile,kivi_4bit_residual64,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,5000.0,84.0,84.0,84.0,372.73155627328725,,475.92175379395485,594.874657690525,16153.230875651041,16385.20361328125,14.318868001302084,16.821533203125,,,0.02839239670770034,,0.16666666666666652,0.24615384615384617,0.21560439560439565,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_kivi"": 84}",,,,,,,,,,,,,,,,,"{""f1"": 49, ""rouge_l"": 35}",,,,,,,,,,,,,,,,,0.17857142857142858,0.14285714285714285
profile,kivi_2bit_residual32,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,5000.0,84.0,84.0,84.0,369.5531611197761,,466.58674255013466,587.2230716049671,16123.97607421875,16348.8232421875,8.54327392578125,10.248779296875,,,0.04414017934745368,,0.24615384615384617,0.2857142857142858,0.31052503052503055,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_kivi"": 84}",,,,,,,,,,,,,,,,,"{""f1"": 49, ""rouge_l"": 35}",,,,,,,,,,,,,,,,,0.2261904761904762,0.19047619047619047
profile,kivi_2bit_residual64,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,5000.0,84.0,84.0,84.0,369.2285807448484,,474.22510385513306,586.6776891052723,16128.325358072916,16359.4873046875,9.677388509114584,11.2451171875,,,0.036774517020634355,,0.20952380952380967,0.24615384615384617,0.27150183150183155,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_kivi"": 84}",,,,,,,,,,,,,,,,,"{""f1"": 49, ""rouge_l"": 35}",,,,,,,,,,,,,,,,,0.2261904761904762,0.15476190476190477
profile,h2o_heavy10_recent10,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,5000.0,84.0,84.0,84.0,392.7773627940388,,502.45287641882896,938.6333860456944,16118.17388625372,16342.78955078125,7.7815806070963545,9.33319091796875,,,0.03465087892975114,,0.20952380952380967,0.2857142857142856,0.26062271062271064,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_h2o"": 84}",,,,,,,,,,,,,,,,,"{""f1"": 49, ""rouge_l"": 35}",,,,,,,,,,,,,,,,,0.21428571428571427,0.13095238095238096
profile,h2o_heavy15_recent15,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,5000.0,84.0,84.0,84.0,369.44316580359424,,481.3348948955536,592.2808200120926,16144.095749627977,16384.9599609375,11.696553548177084,14.0546875,,,0.03825093640620577,,0.24615384615384617,0.2857142857142858,0.3060805860805861,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_h2o"": 84}",,,,,,,,,,,,,,,,,"{""f1"": 49, ""rouge_l"": 35}",,,,,,,,,,,,,,,,,0.21428571428571427,0.14285714285714285
profile,h2o_heavy20_recent20,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,5000.0,84.0,84.0,84.0,369.62398944333904,,480.50688579678535,594.5384055376053,16166.95418875558,16404.408203125,15.624598185221354,18.77618408203125,,,0.025826574028025663,,0.16666666666666652,0.24615384615384617,0.21560439560439565,,,,,,,,,,,,,,,,,,baseline_quality,,,,,,,,,"{""qwen2_h2o"": 84}",,,,,,,,,,,,,,,,,"{""f1"": 49, ""rouge_l"": 35}",,,,,,,,,,,,,,,,,0.16666666666666666,0.10714285714285714
policy,full_lru,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.05,0.05,4900.0,39.0,39.0,,357.56835179069105,340.49801528453827,405.1991403102875,952.0297013223171,16361.843311798879,16662.25537109375,40.54867788461539,47.6328125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,False,0.0,,,"{""full_gpu"": 1.0}",,,,,,,0.0,0.0,0.05,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
