policy,memory_budget_mib,epsilon,delta,count,ok_count,session_count,budget_hit_count,budget_hit_rate,restore_count,restore_time_ms_total,recompute_count,recompute_time_ms_total,queue_event_count,queue_delay_ms_mean,evict_event_count,session_reuse_evidence,backend_event_evidence
full_lru,15.0,0.05,0.05,64.0,64.0,13.0,54.0,0.84375,0.0,0,52.0,6759.376310510561,0.0,0.0,54.0,True,True
static_best,15.0,0.05,0.05,60.0,56.0,13.0,39.0,0.65,0.0,0,44.0,10580.34898713231,1.0,0.00022261540095011394,43.0,True,True
static_safe,15.0,0.05,0.05,60.0,56.0,13.0,39.0,0.65,0.0,0,44.0,10589.821059489623,0.0,0.0,43.0,True,True
uncalibrated_dynamic,15.0,0.05,0.05,64.0,64.0,13.0,54.0,0.84375,0.0,0,52.0,6415.326123591512,0.0,0.0,54.0,True,True
utility_dynamic,15.0,0.05,0.05,64.0,64.0,13.0,54.0,0.84375,0.0,0,52.0,6413.134593050927,0.0,0.0,54.0,True,True
full_lru,15.0,0.05,0.1,64.0,64.0,13.0,54.0,0.84375,0.0,0,52.0,6954.56214947626,0.0,0.0,54.0,True,True
static_best,15.0,0.05,0.1,60.0,56.0,13.0,39.0,0.65,0.0,0,44.0,10636.46646286361,0.0,0.0,43.0,True,True
static_safe,15.0,0.05,0.1,60.0,56.0,13.0,39.0,0.65,0.0,0,44.0,10614.590229699388,0.0,0.0,43.0,True,True
uncalibrated_dynamic,15.0,0.05,0.1,64.0,64.0,13.0,54.0,0.84375,0.0,0,52.0,7045.7284320145845,0.0,0.0,54.0,True,True
utility_dynamic,15.0,0.05,0.1,64.0,64.0,13.0,54.0,0.84375,0.0,0,52.0,7030.381644144654,0.0,0.0,54.0,True,True
full_lru,15.0,0.1,0.05,64.0,64.0,13.0,54.0,0.84375,0.0,0,52.0,6957.607738906518,0.0,0.0,54.0,True,True
static_best,15.0,0.1,0.05,60.0,56.0,13.0,39.0,0.65,0.0,0,44.0,10427.625331562012,0.0,0.0,43.0,True,True
static_safe,15.0,0.1,0.05,60.0,56.0,13.0,39.0,0.65,0.0,0,44.0,10636.95504842326,0.0,0.0,43.0,True,True
uncalibrated_dynamic,15.0,0.1,0.05,64.0,64.0,13.0,54.0,0.84375,0.0,0,52.0,6874.995004152879,0.0,0.0,54.0,True,True
utility_dynamic,15.0,0.1,0.05,64.0,64.0,13.0,54.0,0.84375,0.0,0,52.0,7072.117834351957,0.0,0.0,54.0,True,True
full_lru,15.0,0.1,0.1,64.0,64.0,13.0,54.0,0.84375,0.0,0,52.0,6479.974140180275,0.0,0.0,54.0,True,True
static_best,15.0,0.1,0.1,60.0,56.0,13.0,39.0,0.65,0.0,0,44.0,10635.308080352843,0.0,0.0,43.0,True,True
static_safe,15.0,0.1,0.1,60.0,56.0,13.0,39.0,0.65,0.0,0,44.0,10652.147244196385,1.0,0.0005062460899353027,43.0,True,True
uncalibrated_dynamic,15.0,0.1,0.1,64.0,64.0,13.0,54.0,0.84375,0.0,0,52.0,7033.905058866367,0.0,0.0,54.0,True,True
utility_dynamic,15.0,0.1,0.1,64.0,64.0,13.0,54.0,0.84375,0.0,0,52.0,7001.369224628434,0.0,0.0,54.0,True,True
full_lru,20.0,0.05,0.05,64.0,64.0,13.0,53.0,0.828125,0.0,0,52.0,6277.623839909211,0.0,0.0,53.0,True,True
static_best,20.0,0.05,0.05,60.0,56.0,13.0,33.0,0.55,0.0,0,44.0,9455.116409575567,0.0,0.0,37.0,True,True
static_safe,20.0,0.05,0.05,60.0,56.0,13.0,33.0,0.55,0.0,0,44.0,10584.518226096407,1.0,0.0003860831260681152,37.0,True,True
uncalibrated_dynamic,20.0,0.05,0.05,64.0,64.0,13.0,53.0,0.828125,0.0,0,52.0,6935.992820188403,0.0,0.0,53.0,True,True
utility_dynamic,20.0,0.05,0.05,64.0,64.0,13.0,53.0,0.828125,0.0,0,52.0,7028.636535396799,0.0,0.0,53.0,True,True
full_lru,20.0,0.05,0.1,64.0,64.0,13.0,53.0,0.828125,0.0,0,52.0,6935.054751345888,0.0,0.0,53.0,True,True
static_best,20.0,0.05,0.1,60.0,56.0,13.0,33.0,0.55,0.0,0,44.0,10608.129522763193,0.0,0.0,37.0,True,True
static_safe,20.0,0.05,0.1,60.0,56.0,13.0,33.0,0.55,0.0,0,44.0,9508.273239480332,0.0,0.0,37.0,True,True
uncalibrated_dynamic,20.0,0.05,0.1,64.0,64.0,13.0,53.0,0.828125,0.0,0,52.0,6453.533252468333,1.0,0.0004878714680671692,53.0,True,True
utility_dynamic,20.0,0.05,0.1,64.0,64.0,13.0,53.0,0.828125,0.0,0,52.0,6677.361935842782,1.0,0.001084640622138977,53.0,True,True
full_lru,20.0,0.1,0.05,64.0,64.0,13.0,53.0,0.828125,0.0,0,52.0,6926.711750915274,0.0,0.0,53.0,True,True
static_best,20.0,0.1,0.05,60.0,56.0,13.0,33.0,0.55,0.0,0,44.0,9705.991017166525,0.0,0.0,37.0,True,True
static_safe,20.0,0.1,0.05,60.0,56.0,13.0,33.0,0.55,0.0,0,44.0,9555.60012976639,1.0,0.0003992319107055664,37.0,True,True
uncalibrated_dynamic,20.0,0.1,0.05,64.0,64.0,13.0,53.0,0.828125,0.0,0,52.0,6415.057627251372,0.0,0.0,53.0,True,True
utility_dynamic,20.0,0.1,0.05,64.0,64.0,13.0,53.0,0.828125,0.0,0,52.0,6559.546018950641,0.0,0.0,53.0,True,True
full_lru,20.0,0.1,0.1,64.0,64.0,13.0,53.0,0.828125,0.0,0,52.0,6931.025899481028,0.0,0.0,53.0,True,True
static_best,20.0,0.1,0.1,60.0,56.0,13.0,33.0,0.55,0.0,0,44.0,10480.84461549297,0.0,0.0,37.0,True,True
static_safe,20.0,0.1,0.1,60.0,56.0,13.0,33.0,0.55,0.0,0,44.0,9522.250984562561,1.0,0.0005150000254313151,37.0,True,True
uncalibrated_dynamic,20.0,0.1,0.1,64.0,64.0,13.0,53.0,0.828125,0.0,0,52.0,6523.390366928652,0.0,0.0,53.0,True,True
utility_dynamic,20.0,0.1,0.1,64.0,64.0,13.0,53.0,0.828125,0.0,0,52.0,6497.989192372188,0.0,0.0,53.0,True,True
full_lru,25.0,0.05,0.05,64.0,64.0,13.0,52.0,0.8125,0.0,0,52.0,6474.908051546663,0.0,0.0,52.0,True,True
static_best,25.0,0.05,0.05,60.0,56.0,13.0,27.0,0.45,0.0,0,44.0,10651.5698551666,1.0,0.00019556681315104166,31.0,True,True
static_safe,25.0,0.05,0.05,60.0,56.0,13.0,27.0,0.45,0.0,0,44.0,10187.7711401321,1.0,0.00041428009668986,31.0,True,True
uncalibrated_dynamic,25.0,0.05,0.05,64.0,64.0,13.0,52.0,0.8125,0.0,0,52.0,6588.646785356104,0.0,0.0,52.0,True,True
utility_dynamic,25.0,0.05,0.05,64.0,64.0,13.0,52.0,0.8125,0.0,0,52.0,7018.724261317402,0.0,0.0,52.0,True,True
full_lru,25.0,0.05,0.1,64.0,64.0,13.0,52.0,0.8125,0.0,0,52.0,6531.979936407879,0.0,0.0,52.0,True,True
static_best,25.0,0.05,0.1,60.0,56.0,13.0,27.0,0.45,0.0,0,44.0,10661.714868154377,0.0,0.0,31.0,True,True
static_safe,25.0,0.05,0.1,60.0,56.0,13.0,27.0,0.45,0.0,0,44.0,9564.172715647146,1.0,0.0005665818850199381,31.0,True,True
uncalibrated_dynamic,25.0,0.05,0.1,64.0,64.0,13.0,52.0,0.8125,0.0,0,52.0,6501.1362170334905,0.0,0.0,52.0,True,True
utility_dynamic,25.0,0.05,0.1,64.0,64.0,13.0,52.0,0.8125,0.0,0,52.0,6968.540285713971,1.0,0.000595971941947937,52.0,True,True
full_lru,25.0,0.1,0.05,64.0,64.0,13.0,52.0,0.8125,0.0,0,52.0,6282.221965957433,0.0,0.0,52.0,True,True
static_best,25.0,0.1,0.05,60.0,56.0,13.0,27.0,0.45,0.0,0,44.0,10576.817688532174,1.0,0.00018973350524902343,31.0,True,True
static_safe,25.0,0.1,0.05,60.0,56.0,13.0,27.0,0.45,0.0,0,44.0,10729.522669222206,1.0,0.0003923972447713216,31.0,True,True
uncalibrated_dynamic,25.0,0.1,0.05,64.0,64.0,13.0,52.0,0.8125,0.0,0,52.0,6755.059916060418,0.0,0.0,52.0,True,True
utility_dynamic,25.0,0.1,0.05,64.0,64.0,13.0,52.0,0.8125,0.0,0,52.0,6980.024498654529,1.0,0.00018893927335739136,52.0,True,True
full_lru,25.0,0.1,0.1,64.0,64.0,13.0,52.0,0.8125,0.0,0,52.0,6502.133741043508,0.0,0.0,52.0,True,True
static_best,25.0,0.1,0.1,60.0,56.0,13.0,27.0,0.45,0.0,0,44.0,9515.252034412697,0.0,0.0,31.0,True,True
static_safe,25.0,0.1,0.1,60.0,56.0,13.0,27.0,0.45,0.0,0,44.0,9442.635304294527,1.0,0.0004769643147786458,31.0,True,True
uncalibrated_dynamic,25.0,0.1,0.1,64.0,64.0,13.0,52.0,0.8125,0.0,0,52.0,6474.091509357095,0.0,0.0,52.0,True,True
utility_dynamic,25.0,0.1,0.1,64.0,64.0,13.0,52.0,0.8125,0.0,0,52.0,6486.0699363052845,0.0,0.0,52.0,True,True
full_lru,30.0,0.05,0.05,64.0,64.0,13.0,48.0,0.75,0.0,0,49.0,6654.068805743009,0.0,0.0,48.0,True,True
static_best,30.0,0.05,0.05,62.0,60.0,13.0,37.0,0.5967741935483871,0.0,0,44.0,11050.14699487947,0.0,0.0,39.0,True,True
static_safe,30.0,0.05,0.05,62.0,60.0,13.0,37.0,0.5967741935483871,0.0,0,44.0,9832.696305587888,1.0,0.0003711100547544418,39.0,True,True
uncalibrated_dynamic,30.0,0.05,0.05,64.0,64.0,13.0,48.0,0.75,0.0,0,49.0,6173.6148917116225,0.0,0.0,48.0,True,True
utility_dynamic,30.0,0.05,0.05,64.0,64.0,13.0,48.0,0.75,0.0,0,49.0,6159.745997516438,0.0,0.0,48.0,True,True
full_lru,30.0,0.05,0.1,64.0,64.0,13.0,48.0,0.75,0.0,0,49.0,6134.098806185648,0.0,0.0,48.0,True,True
static_best,30.0,0.05,0.1,62.0,60.0,13.0,37.0,0.5967741935483871,0.0,0,44.0,11029.23129289411,1.0,0.0001760798115884104,39.0,True,True
static_safe,30.0,0.05,0.1,62.0,60.0,13.0,37.0,0.5967741935483871,0.0,0,44.0,10633.986692409962,1.0,0.0008570994100263042,39.0,True,True
uncalibrated_dynamic,30.0,0.05,0.1,64.0,64.0,13.0,48.0,0.75,0.0,0,49.0,6574.344873894006,0.0,0.0,48.0,True,True
utility_dynamic,30.0,0.05,0.1,64.0,64.0,13.0,48.0,0.75,0.0,0,49.0,6596.616043942049,0.0,0.0,48.0,True,True
full_lru,30.0,0.1,0.05,64.0,64.0,13.0,48.0,0.75,0.0,0,49.0,6144.096727250144,0.0,0.0,48.0,True,True
static_best,30.0,0.1,0.05,62.0,60.0,13.0,37.0,0.5967741935483871,0.0,0,44.0,11008.453888585791,0.0,0.0,39.0,True,True
static_safe,30.0,0.1,0.05,62.0,60.0,13.0,37.0,0.5967741935483871,0.0,0,44.0,10868.56124154292,1.0,0.0004146099090576172,39.0,True,True
uncalibrated_dynamic,30.0,0.1,0.05,64.0,64.0,13.0,48.0,0.75,0.0,0,49.0,6593.0264932103455,0.0,0.0,48.0,True,True
utility_dynamic,30.0,0.1,0.05,64.0,64.0,13.0,48.0,0.75,0.0,0,49.0,6634.357925271615,0.0,0.0,48.0,True,True
full_lru,30.0,0.1,0.1,64.0,64.0,13.0,48.0,0.75,0.0,0,49.0,6152.313871309161,0.0,0.0,48.0,True,True
static_best,30.0,0.1,0.1,62.0,60.0,13.0,37.0,0.5967741935483871,0.0,0,44.0,10941.096503753215,1.0,0.00018784307664440524,39.0,True,True
static_safe,30.0,0.1,0.1,62.0,60.0,13.0,37.0,0.5967741935483871,0.0,0,44.0,11039.561375975609,2.0,0.0012036138965237525,39.0,True,True
uncalibrated_dynamic,30.0,0.1,0.1,64.0,64.0,13.0,48.0,0.75,0.0,0,49.0,6665.188716026023,0.0,0.0,48.0,True,True
utility_dynamic,30.0,0.1,0.1,64.0,64.0,13.0,48.0,0.75,0.0,0,49.0,6644.529770128429,1.0,0.0007526837289333344,48.0,True,True
full_lru,35.0,0.05,0.05,64.0,64.0,13.0,47.0,0.734375,0.0,0,48.0,6045.984176918864,0.0,0.0,47.0,True,True
static_best,35.0,0.05,0.05,62.0,60.0,13.0,30.0,0.4838709677419355,0.0,0,40.0,9528.08993589133,0.0,0.0,32.0,True,True
static_safe,35.0,0.05,0.05,62.0,60.0,13.0,30.0,0.4838709677419355,0.0,0,40.0,10193.039370235056,1.0,0.0004754643286428144,32.0,True,True
uncalibrated_dynamic,35.0,0.05,0.05,55.0,11.0,13.0,0.0,0.0,0.0,0,1.0,117.1801418531686,0.0,0.0,0.0,True,True
utility_dynamic,35.0,0.05,0.05,45.0,38.0,13.0,0.0,0.0,0.0,0,34.0,8221.899995580316,3.0,0.0008645245903416684,0.0,True,True
full_lru,35.0,0.05,0.1,64.0,64.0,13.0,47.0,0.734375,0.0,0,48.0,6486.768739297986,1.0,0.0005249045789241791,47.0,True,True
static_best,35.0,0.05,0.1,62.0,60.0,13.0,30.0,0.4838709677419355,0.0,0,40.0,9475.01837136224,0.0,0.0,32.0,True,True
static_safe,35.0,0.05,0.1,62.0,60.0,13.0,30.0,0.4838709677419355,0.0,0,40.0,10083.541564876214,0.0,0.0,32.0,True,True
uncalibrated_dynamic,35.0,0.05,0.1,55.0,11.0,13.0,0.0,0.0,0.0,0,1.0,116.00336502306163,0.0,0.0,0.0,True,True
utility_dynamic,35.0,0.05,0.1,45.0,38.0,13.0,0.0,0.0,0.0,0,34.0,7525.234190281481,0.0,0.0,0.0,True,True
full_lru,35.0,0.1,0.05,64.0,64.0,13.0,47.0,0.734375,0.0,0,48.0,6494.637874420732,0.0,0.0,47.0,True,True
static_best,35.0,0.1,0.05,62.0,60.0,13.0,30.0,0.4838709677419355,0.0,0,40.0,9411.234659375623,0.0,0.0,32.0,True,True
static_safe,35.0,0.1,0.05,62.0,60.0,13.0,30.0,0.4838709677419355,0.0,0,40.0,9018.98908871226,1.0,0.0008902895835138136,32.0,True,True
uncalibrated_dynamic,35.0,0.1,0.05,55.0,11.0,13.0,0.0,0.0,0.0,0,1.0,104.48023001663387,0.0,0.0,0.0,True,True
utility_dynamic,35.0,0.1,0.05,45.0,38.0,13.0,0.0,0.0,0.0,0,34.0,7452.419312903658,0.0,0.0,0.0,True,True
full_lru,35.0,0.1,0.1,64.0,64.0,13.0,47.0,0.734375,0.0,0,48.0,6194.905007723719,0.0,0.0,47.0,True,True
static_best,35.0,0.1,0.1,62.0,60.0,13.0,30.0,0.4838709677419355,0.0,0,40.0,9327.873412519693,0.0,0.0,32.0,True,True
static_safe,35.0,0.1,0.1,62.0,60.0,13.0,30.0,0.4838709677419355,0.0,0,40.0,9508.965507848188,1.0,0.00016588934006229523,32.0,True,True
uncalibrated_dynamic,35.0,0.1,0.1,55.0,11.0,13.0,0.0,0.0,0.0,0,1.0,104.55452208407223,0.0,0.0,0.0,True,True
utility_dynamic,35.0,0.1,0.1,45.0,38.0,13.0,0.0,0.0,0.0,0,34.0,7757.098573260009,0.0,0.0,0.0,True,True
full_lru,50.0,0.05,0.05,64.0,64.0,13.0,38.0,0.59375,0.0,0,39.0,5369.70553197898,0.0,0.0,38.0,True,True
static_best,50.0,0.05,0.05,62.0,60.0,13.0,17.0,0.27419354838709675,0.0,0,29.0,8066.804595757276,0.0,0.0,19.0,True,True
static_safe,50.0,0.05,0.05,62.0,60.0,13.0,17.0,0.27419354838709675,0.0,0,29.0,7946.844744030386,1.0,0.0005758039412959929,19.0,True,True
uncalibrated_dynamic,50.0,0.05,0.05,61.0,13.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,50.0,0.05,0.05,56.0,52.0,13.0,0.0,0.0,0.0,0,33.0,8335.311150643975,0.0,0.0,0.0,True,True
full_lru,50.0,0.05,0.1,64.0,64.0,13.0,38.0,0.59375,0.0,0,39.0,5355.2968457806855,1.0,0.00047956034541130066,38.0,True,True
static_best,50.0,0.05,0.1,62.0,60.0,13.0,16.0,0.25806451612903225,0.0,0,29.0,7389.825515449047,0.0,0.0,18.0,True,True
static_safe,50.0,0.05,0.1,62.0,60.0,13.0,16.0,0.25806451612903225,0.0,0,29.0,8071.603437419981,1.0,0.0009971933980141917,18.0,True,True
uncalibrated_dynamic,50.0,0.05,0.1,61.0,13.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,50.0,0.05,0.1,56.0,52.0,13.0,0.0,0.0,0.0,0,33.0,8152.753273956478,0.0,0.0,0.0,True,True
full_lru,50.0,0.1,0.05,64.0,64.0,13.0,38.0,0.59375,0.0,0,39.0,5596.070750616491,0.0,0.0,38.0,True,True
static_best,50.0,0.1,0.05,62.0,60.0,13.0,17.0,0.27419354838709675,0.0,0,29.0,7474.699610611424,0.0,0.0,19.0,True,True
static_safe,50.0,0.1,0.05,62.0,60.0,13.0,17.0,0.27419354838709675,0.0,0,29.0,7243.278851499781,3.0,0.0016306100353117913,19.0,True,True
uncalibrated_dynamic,50.0,0.1,0.05,61.0,13.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,50.0,0.1,0.05,56.0,52.0,13.0,0.0,0.0,0.0,0,33.0,7276.242112740874,1.0,0.00019988646874060997,0.0,True,True
full_lru,50.0,0.1,0.1,64.0,64.0,13.0,38.0,0.59375,0.0,0,39.0,5679.7630751971155,0.0,0.0,38.0,True,True
static_best,50.0,0.1,0.1,62.0,60.0,13.0,17.0,0.27419354838709675,0.0,0,29.0,8053.555425489321,0.0,0.0,19.0,True,True
static_safe,50.0,0.1,0.1,62.0,60.0,13.0,17.0,0.27419354838709675,0.0,0,29.0,8069.0551730804145,0.0,0.0,19.0,True,True
uncalibrated_dynamic,50.0,0.1,0.1,61.0,13.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,50.0,0.1,0.1,56.0,52.0,13.0,0.0,0.0,0.0,0,33.0,7353.578909067437,0.0,0.0,0.0,True,True
full_lru,64.0,0.05,0.05,64.0,64.0,13.0,38.0,0.59375,0.0,0,37.0,5114.587092772126,0.0,0.0,38.0,True,True
static_best,64.0,0.05,0.05,63.0,62.0,13.0,19.0,0.30158730158730157,0.0,0,24.0,6860.0874757394195,0.0,0.0,20.0,True,True
static_safe,64.0,0.05,0.05,63.0,62.0,13.0,19.0,0.30158730158730157,0.0,0,24.0,6405.418881215155,0.0,0.0,20.0,True,True
uncalibrated_dynamic,64.0,0.05,0.05,55.0,52.0,13.0,0.0,0.0,0.0,0,30.0,6891.566688893363,1.0,0.00047100048798781174,0.0,True,True
utility_dynamic,64.0,0.05,0.05,60.0,60.0,13.0,0.0,0.0,0.0,0,18.0,5040.910860290751,0.0,0.0,0.0,True,True
full_lru,64.0,0.05,0.1,64.0,64.0,13.0,38.0,0.59375,0.0,0,37.0,5135.402101324871,0.0,0.0,38.0,True,True
static_best,64.0,0.05,0.1,63.0,62.0,13.0,19.0,0.30158730158730157,0.0,0,24.0,6102.505053859204,0.0,0.0,20.0,True,True
static_safe,64.0,0.05,0.1,63.0,62.0,13.0,19.0,0.30158730158730157,0.0,0,24.0,6268.037062836811,0.0,0.0,20.0,True,True
uncalibrated_dynamic,64.0,0.05,0.1,54.0,51.0,13.0,0.0,0.0,0.0,0,29.0,6837.298477301374,0.0,0.0,0.0,True,True
utility_dynamic,64.0,0.05,0.1,60.0,60.0,13.0,0.0,0.0,0.0,0,18.0,4447.962455218658,1.0,0.00017745097478230794,0.0,True,True
full_lru,64.0,0.1,0.05,64.0,64.0,13.0,38.0,0.59375,0.0,0,37.0,5154.501476790756,0.0,0.0,38.0,True,True
static_best,64.0,0.1,0.05,63.0,62.0,13.0,19.0,0.30158730158730157,0.0,0,24.0,6378.3447612077,0.0,0.0,20.0,True,True
static_safe,64.0,0.1,0.05,63.0,62.0,13.0,19.0,0.30158730158730157,0.0,0,24.0,6913.823834620416,1.0,0.0001690312037392268,20.0,True,True
uncalibrated_dynamic,64.0,0.1,0.05,54.0,51.0,13.0,0.0,0.0,0.0,0,29.0,7086.969817057252,1.0,0.00043117298799402574,0.0,True,True
utility_dynamic,64.0,0.1,0.05,60.0,60.0,13.0,0.0,0.0,0.0,0,18.0,4991.345959249884,0.0,0.0,0.0,True,True
full_lru,64.0,0.1,0.1,64.0,64.0,13.0,38.0,0.59375,0.0,0,37.0,5364.319959422573,0.0,0.0,38.0,True,True
static_best,64.0,0.1,0.1,63.0,62.0,13.0,19.0,0.30158730158730157,0.0,0,24.0,6252.974572824314,0.0,0.0,20.0,True,True
static_safe,64.0,0.1,0.1,63.0,62.0,13.0,19.0,0.30158730158730157,0.0,0,24.0,6255.308473948389,1.0,0.0010631727793860056,20.0,True,True
uncalibrated_dynamic,64.0,0.1,0.1,54.0,51.0,13.0,0.0,0.0,0.0,0,29.0,6769.034892087802,0.0,0.0,0.0,True,True
utility_dynamic,64.0,0.1,0.1,60.0,60.0,13.0,0.0,0.0,0.0,0,18.0,4907.74391265586,1.0,0.00020603338877360025,0.0,True,True
