policy,memory_budget_mib,epsilon,delta,count,ok_count,session_count,budget_hit_count,budget_hit_rate,restore_count,restore_time_ms_total,recompute_count,recompute_time_ms_total,queue_event_count,queue_delay_ms_mean,evict_event_count,session_reuse_evidence,backend_event_evidence
full_lru,80.0,0.05,0.05,65.0,65.0,13.0,35.0,0.5384615384615384,0.0,0,34.0,4733.078617369756,0.0,0.0,35.0,True,True
static_best,80.0,0.05,0.05,65.0,65.0,13.0,6.0,0.09230769230769231,0.0,0,5.0,1442.1710490714759,1.0,0.0001751386202298678,6.0,True,True
static_safe,80.0,0.05,0.05,65.0,65.0,13.0,6.0,0.09230769230769231,0.0,0,5.0,1453.9937658701092,0.0,0.0,6.0,True,True
uncalibrated_dynamic,80.0,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,26.0,266935.53223972395,2.0,0.0003195029038649339,6.0,True,True
utility_dynamic,80.0,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00015584505521334135,0.0,True,True
full_lru,80.0,0.05,0.1,65.0,65.0,13.0,35.0,0.5384615384615384,0.0,0,34.0,4754.408870125189,0.0,0.0,35.0,True,True
static_best,80.0,0.05,0.1,65.0,65.0,13.0,6.0,0.09230769230769231,0.0,0,5.0,1408.3718636538833,1.0,0.00015729390657865085,6.0,True,True
static_safe,80.0,0.05,0.1,65.0,65.0,13.0,8.0,0.12307692307692308,0.0,0,7.0,2099.37951201573,1.0,0.0005937833052415114,8.0,True,True
uncalibrated_dynamic,80.0,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,26.0,263936.07765311,0.0,0.0,6.0,True,True
utility_dynamic,80.0,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,80.0,0.1,0.05,65.0,65.0,13.0,35.0,0.5384615384615384,0.0,0,34.0,4869.684503879398,0.0,0.0,35.0,True,True
static_best,80.0,0.1,0.05,65.0,65.0,13.0,8.0,0.12307692307692308,0.0,0,7.0,1886.077597970143,0.0,0.0,8.0,True,True
static_safe,80.0,0.1,0.05,65.0,65.0,13.0,6.0,0.09230769230769231,0.0,0,5.0,1298.5970440786332,2.0,0.000629571767953726,6.0,True,True
uncalibrated_dynamic,80.0,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,26.0,270362.1086092703,0.0,0.0,6.0,True,True
utility_dynamic,80.0,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00020981201758751502,0.0,True,True
full_lru,80.0,0.1,0.1,65.0,65.0,13.0,35.0,0.5384615384615384,0.0,0,34.0,4876.760464860126,0.0,0.0,35.0,True,True
static_best,80.0,0.1,0.1,65.0,65.0,13.0,6.0,0.09230769230769231,0.0,0,5.0,1305.1604111678898,0.0,0.0,6.0,True,True
static_safe,80.0,0.1,0.1,65.0,65.0,13.0,8.0,0.12307692307692308,0.0,0,7.0,2112.111391266808,0.0,0.0,8.0,True,True
uncalibrated_dynamic,80.0,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,26.0,269673.4495327957,0.0,0.0,6.0,True,True
utility_dynamic,80.0,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,96.0,0.05,0.05,65.0,65.0,13.0,33.0,0.5076923076923077,0.0,0,32.0,4410.801742225885,0.0,0.0,33.0,True,True
static_best,96.0,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,96.0,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0003855265103853666,0.0,True,True
uncalibrated_dynamic,96.0,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,3.0,90187.27406123653,1.0,0.00019423044644869292,2.0,True,True
utility_dynamic,96.0,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,96.0,0.05,0.1,65.0,65.0,13.0,33.0,0.5076923076923077,0.0,0,32.0,4665.818227222189,0.0,0.0,33.0,True,True
static_best,96.0,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
