policy,memory_budget_mib,epsilon,delta,count,ok_count,session_count,budget_hit_count,budget_hit_rate,restore_count,restore_time_ms_total,recompute_count,recompute_time_ms_total,queue_event_count,queue_delay_ms_mean,evict_event_count,session_reuse_evidence,backend_event_evidence
full_lru,15.0,0.05,0.05,65.0,65.0,13.0,54.0,0.8307692307692308,0.0,0,52.0,6759.376310510561,0.0,0.0,54.0,True,True
static_best,15.0,0.05,0.05,65.0,61.0,13.0,39.0,0.6,0.0,0,48.0,182306.27941027842,1.0,0.0002054911393385667,43.0,True,True
static_safe,15.0,0.05,0.05,65.0,61.0,13.0,39.0,0.6,0.0,0,48.0,181901.78123939596,0.0,0.0,43.0,True,True
uncalibrated_dynamic,15.0,0.05,0.05,65.0,65.0,13.0,54.0,0.8307692307692308,0.0,0,52.0,6415.326123591512,0.0,0.0,54.0,True,True
utility_dynamic,15.0,0.05,0.05,65.0,65.0,13.0,54.0,0.8307692307692308,0.0,0,52.0,6413.134593050927,0.0,0.0,54.0,True,True
full_lru,15.0,0.05,0.1,65.0,65.0,13.0,54.0,0.8307692307692308,0.0,0,52.0,6954.56214947626,0.0,0.0,54.0,True,True
static_best,15.0,0.05,0.1,65.0,61.0,13.0,39.0,0.6,0.0,0,48.0,176023.63279767707,0.0,0.0,43.0,True,True
static_safe,15.0,0.05,0.1,65.0,61.0,13.0,39.0,0.6,0.0,0,48.0,183618.65688316524,0.0,0.0,43.0,True,True
uncalibrated_dynamic,15.0,0.05,0.1,65.0,65.0,13.0,54.0,0.8307692307692308,0.0,0,52.0,7045.7284320145845,0.0,0.0,54.0,True,True
utility_dynamic,15.0,0.05,0.1,65.0,65.0,13.0,54.0,0.8307692307692308,0.0,0,52.0,7030.381644144654,0.0,0.0,54.0,True,True
full_lru,15.0,0.1,0.05,65.0,65.0,13.0,54.0,0.8307692307692308,0.0,0,52.0,6957.607738906518,0.0,0.0,54.0,True,True
static_best,15.0,0.1,0.05,65.0,61.0,13.0,39.0,0.6,0.0,0,48.0,179683.10403649695,0.0,0.0,43.0,True,True
static_safe,15.0,0.1,0.05,65.0,61.0,13.0,39.0,0.6,0.0,0,48.0,178466.06065011024,0.0,0.0,43.0,True,True
uncalibrated_dynamic,15.0,0.1,0.05,65.0,65.0,13.0,54.0,0.8307692307692308,0.0,0,52.0,6874.995004152879,0.0,0.0,54.0,True,True
utility_dynamic,15.0,0.1,0.05,65.0,65.0,13.0,54.0,0.8307692307692308,0.0,0,52.0,7072.117834351957,0.0,0.0,54.0,True,True
full_lru,15.0,0.1,0.1,65.0,65.0,13.0,54.0,0.8307692307692308,0.0,0,52.0,6479.974140180275,0.0,0.0,54.0,True,True
static_best,15.0,0.1,0.1,65.0,61.0,13.0,39.0,0.6,0.0,0,48.0,177022.8008320462,0.0,0.0,43.0,True,True
static_safe,15.0,0.1,0.1,65.0,61.0,13.0,39.0,0.6,0.0,0,48.0,178643.1222814303,1.0,0.0004673040830172025,43.0,True,True
uncalibrated_dynamic,15.0,0.1,0.1,65.0,65.0,13.0,54.0,0.8307692307692308,0.0,0,52.0,7033.905058866367,0.0,0.0,54.0,True,True
utility_dynamic,15.0,0.1,0.1,65.0,65.0,13.0,54.0,0.8307692307692308,0.0,0,52.0,7001.369224628434,0.0,0.0,54.0,True,True
full_lru,20.0,0.05,0.05,65.0,65.0,13.0,53.0,0.8153846153846154,0.0,0,52.0,6277.623839909211,0.0,0.0,53.0,True,True
static_best,20.0,0.05,0.05,65.0,61.0,13.0,33.0,0.5076923076923077,0.0,0,48.0,178479.87960145995,0.0,0.0,37.0,True,True
static_safe,20.0,0.05,0.05,65.0,61.0,13.0,33.0,0.5076923076923077,0.0,0,48.0,182299.8533969652,1.0,0.0003563844240628756,37.0,True,True
uncalibrated_dynamic,20.0,0.05,0.05,65.0,65.0,13.0,53.0,0.8153846153846154,0.0,0,52.0,6935.992820188403,0.0,0.0,53.0,True,True
utility_dynamic,20.0,0.05,0.05,65.0,65.0,13.0,53.0,0.8153846153846154,0.0,0,52.0,7028.636535396799,0.0,0.0,53.0,True,True
full_lru,20.0,0.05,0.1,65.0,65.0,13.0,53.0,0.8153846153846154,0.0,0,52.0,6935.054751345888,0.0,0.0,53.0,True,True
static_best,20.0,0.05,0.1,65.0,61.0,13.0,33.0,0.5076923076923077,0.0,0,48.0,182742.63552489504,0.0,0.0,37.0,True,True
static_safe,20.0,0.05,0.1,65.0,61.0,13.0,33.0,0.5076923076923077,0.0,0,48.0,184657.8759310376,0.0,0.0,37.0,True,True
uncalibrated_dynamic,20.0,0.05,0.1,65.0,65.0,13.0,53.0,0.8153846153846154,0.0,0,52.0,6453.533252468333,1.0,0.0004803657531738281,53.0,True,True
utility_dynamic,20.0,0.05,0.1,65.0,65.0,13.0,53.0,0.8153846153846154,0.0,0,52.0,6677.361935842782,1.0,0.001067953843336839,53.0,True,True
full_lru,20.0,0.1,0.05,65.0,65.0,13.0,53.0,0.8153846153846154,0.0,0,52.0,6926.711750915274,0.0,0.0,53.0,True,True
static_best,20.0,0.1,0.05,65.0,61.0,13.0,33.0,0.5076923076923077,0.0,0,48.0,182101.92854884267,0.0,0.0,37.0,True,True
static_safe,20.0,0.1,0.05,65.0,61.0,13.0,33.0,0.5076923076923077,0.0,0,48.0,180285.5663262084,1.0,0.00036852176372821513,37.0,True,True
uncalibrated_dynamic,20.0,0.1,0.05,65.0,65.0,13.0,53.0,0.8153846153846154,0.0,0,52.0,6415.057627251372,0.0,0.0,53.0,True,True
utility_dynamic,20.0,0.1,0.05,65.0,65.0,13.0,53.0,0.8153846153846154,0.0,0,52.0,6559.546018950641,0.0,0.0,53.0,True,True
full_lru,20.0,0.1,0.1,65.0,65.0,13.0,53.0,0.8153846153846154,0.0,0,52.0,6931.025899481028,0.0,0.0,53.0,True,True
static_best,20.0,0.1,0.1,65.0,61.0,13.0,33.0,0.5076923076923077,0.0,0,48.0,184324.18116370589,0.0,0.0,37.0,True,True
static_safe,20.0,0.1,0.1,65.0,61.0,13.0,33.0,0.5076923076923077,0.0,0,48.0,178623.10185720213,1.0,0.0004753846388596755,37.0,True,True
uncalibrated_dynamic,20.0,0.1,0.1,65.0,65.0,13.0,53.0,0.8153846153846154,0.0,0,52.0,6523.390366928652,0.0,0.0,53.0,True,True
utility_dynamic,20.0,0.1,0.1,65.0,65.0,13.0,53.0,0.8153846153846154,0.0,0,52.0,6497.989192372188,0.0,0.0,53.0,True,True
full_lru,30.0,0.05,0.05,65.0,65.0,13.0,48.0,0.7384615384615385,0.0,0,49.0,6654.068805743009,0.0,0.0,48.0,True,True
static_best,30.0,0.05,0.05,65.0,63.0,13.0,37.0,0.5692307692307692,0.0,0,46.0,95674.05224269442,0.0,0.0,39.0,True,True
static_safe,30.0,0.05,0.05,65.0,63.0,13.0,37.0,0.5692307692307692,0.0,0,46.0,94630.55566522479,1.0,0.00035398189838115984,39.0,True,True
uncalibrated_dynamic,30.0,0.05,0.05,65.0,65.0,13.0,48.0,0.7384615384615385,0.0,0,49.0,6173.6148917116225,0.0,0.0,48.0,True,True
utility_dynamic,30.0,0.05,0.05,65.0,65.0,13.0,48.0,0.7384615384615385,0.0,0,49.0,6159.745997516438,0.0,0.0,48.0,True,True
full_lru,30.0,0.05,0.1,65.0,65.0,13.0,48.0,0.7384615384615385,0.0,0,49.0,6134.098806185648,0.0,0.0,48.0,True,True
static_best,30.0,0.05,0.1,65.0,63.0,13.0,37.0,0.5692307692307692,0.0,0,46.0,96595.83525249921,1.0,0.0001679530510535607,39.0,True,True
static_safe,30.0,0.05,0.1,65.0,63.0,13.0,37.0,0.5692307692307692,0.0,0,46.0,96426.84701174125,1.0,0.0008175409757173978,39.0,True,True
uncalibrated_dynamic,30.0,0.05,0.1,65.0,65.0,13.0,48.0,0.7384615384615385,0.0,0,49.0,6574.344873894006,0.0,0.0,48.0,True,True
utility_dynamic,30.0,0.05,0.1,65.0,65.0,13.0,48.0,0.7384615384615385,0.0,0,49.0,6596.616043942049,0.0,0.0,48.0,True,True
full_lru,30.0,0.1,0.05,65.0,65.0,13.0,48.0,0.7384615384615385,0.0,0,49.0,6144.096727250144,0.0,0.0,48.0,True,True
static_best,30.0,0.1,0.05,65.0,63.0,13.0,37.0,0.5692307692307692,0.0,0,46.0,96323.85216776654,0.0,0.0,39.0,True,True
static_safe,30.0,0.1,0.05,65.0,63.0,13.0,37.0,0.5692307692307692,0.0,0,46.0,96916.83509811759,1.0,0.00039547406710111176,39.0,True,True
uncalibrated_dynamic,30.0,0.1,0.05,65.0,65.0,13.0,48.0,0.7384615384615385,0.0,0,49.0,6593.0264932103455,0.0,0.0,48.0,True,True
utility_dynamic,30.0,0.1,0.05,65.0,65.0,13.0,48.0,0.7384615384615385,0.0,0,49.0,6634.357925271615,0.0,0.0,48.0,True,True
full_lru,30.0,0.1,0.1,65.0,65.0,13.0,48.0,0.7384615384615385,0.0,0,49.0,6152.313871309161,0.0,0.0,48.0,True,True
static_best,30.0,0.1,0.1,65.0,63.0,13.0,37.0,0.5692307692307692,0.0,0,46.0,97671.27473472804,1.0,0.00017917339618389423,39.0,True,True
static_safe,30.0,0.1,0.1,65.0,63.0,13.0,37.0,0.5692307692307692,0.0,0,46.0,94005.28745522536,2.0,0.001148062485914964,39.0,True,True
uncalibrated_dynamic,30.0,0.1,0.1,65.0,65.0,13.0,48.0,0.7384615384615385,0.0,0,49.0,6665.188716026023,0.0,0.0,48.0,True,True
utility_dynamic,30.0,0.1,0.1,65.0,65.0,13.0,48.0,0.7384615384615385,0.0,0,49.0,6644.529770128429,1.0,0.0007411039792574369,48.0,True,True
full_lru,35.0,0.05,0.05,65.0,65.0,13.0,47.0,0.7230769230769231,0.0,0,48.0,6045.984176918864,0.0,0.0,47.0,True,True
static_best,35.0,0.05,0.05,65.0,63.0,13.0,30.0,0.46153846153846156,0.0,0,42.0,95912.42603912391,0.0,0.0,32.0,True,True
static_safe,35.0,0.05,0.05,65.0,63.0,13.0,30.0,0.46153846153846156,0.0,0,42.0,96532.98075186461,1.0,0.0004535198211669922,32.0,True,True
uncalibrated_dynamic,35.0,0.05,0.05,65.0,21.0,13.0,0.0,0.0,0.0,0,2.0,40440.84100719355,0.0,0.0,9.0,True,True
utility_dynamic,35.0,0.05,0.05,65.0,58.0,13.0,0.0,0.0,0.0,0,45.0,474451.2696166318,3.0,0.0005664126626376448,19.0,True,True
full_lru,35.0,0.05,0.1,65.0,65.0,13.0,47.0,0.7230769230769231,0.0,0,48.0,6486.768739297986,1.0,0.0005168291238638071,47.0,True,True
static_best,35.0,0.05,0.1,65.0,63.0,13.0,30.0,0.46153846153846156,0.0,0,42.0,93894.71692564152,0.0,0.0,32.0,True,True
