policy,memory_budget_mib,epsilon,delta,session_id,count,p95_ttft_ms,mean_ttft_ms,p95_quality_loss,mean_quality_loss,mean_kv_cache_memory_mib,violation_rate
full_lru,15.0,0.05,0.05,hybrid-session-002,5.0,3982.065209886059,896.7359035275877,,,8.2140625,
full_lru,15.0,0.05,0.05,hybrid-session-003,5.0,148.4872482251376,119.33646304532886,,,7.5796875,
full_lru,15.0,0.05,0.05,hybrid-session-004,5.0,149.8693369794637,125.67359362728894,,,8.9796875,
full_lru,15.0,0.05,0.05,hybrid-session-005,5.0,149.70283093862236,124.81134715490043,,,8.115625,
full_lru,15.0,0.05,0.05,hybrid-session-006,5.0,202.11190707050264,153.52248260751367,,,7.13125,
full_lru,15.0,0.05,0.05,hybrid-session-009,5.0,147.74975716136396,117.6075657363981,,,7.4921875,
full_lru,15.0,0.05,0.05,hybrid-session-010,5.0,147.94214093126357,124.03006018139422,,,8.0609375,
full_lru,15.0,0.05,0.05,hybrid-session-013,5.0,138.49136512726545,115.97691578790545,,,7.74375,
full_lru,15.0,0.05,0.05,hybrid-session-016,5.0,151.7066729720682,129.038299433887,,,8.8375,
full_lru,15.0,0.05,0.05,hybrid-session-020,5.0,151.81782888248563,123.61173639073968,,,8.421875,
full_lru,15.0,0.05,0.05,hybrid-session-021,5.0,192.243211902678,125.72872056625783,,,6.2125,
full_lru,15.0,0.05,0.05,hybrid-session-025,5.0,153.5590598359704,120.6138173583895,,,8.53125,
full_lru,15.0,0.05,0.05,hybrid-session-026,5.0,196.67135295458138,133.78871637396514,,,6.5078125,
static_best,15.0,0.05,0.05,hybrid-session-002,5.0,3674.4156999047846,1066.4148612413555,,,3.38592529296875,
static_best,15.0,0.05,0.05,hybrid-session-003,5.0,42884.06444811635,10866.383532423992,,,4.18572998046875,
static_best,15.0,0.05,0.05,hybrid-session-004,5.0,43358.32076817006,8862.261255819723,,,4.702099609375,
static_best,15.0,0.05,0.05,hybrid-session-005,5.0,317.5473241135478,225.869395211339,,,4.476513671875,
static_best,15.0,0.05,0.05,hybrid-session-006,5.0,333.93449196591973,251.4651421457529,,,5.20693359375,
static_best,15.0,0.05,0.05,hybrid-session-009,5.0,255.18831913359463,197.4868874065578,,,4.127880859375,
static_best,15.0,0.05,0.05,hybrid-session-010,5.0,320.2050318941474,215.02968412823975,,,4.564697265625,
static_best,15.0,0.05,0.05,hybrid-session-013,5.0,198.40970681980252,146.61610017841062,,,2.9935709635416665,
static_best,15.0,0.05,0.05,hybrid-session-016,5.0,43341.055597014725,17200.350606888533,,,4.633056640625,
static_best,15.0,0.05,0.05,hybrid-session-020,5.0,292.1310351230204,217.80766546726227,,,4.618017578125,
static_best,15.0,0.05,0.05,hybrid-session-021,5.0,316.556183854118,232.3042405769229,,,4.84736328125,
static_best,15.0,0.05,0.05,hybrid-session-025,5.0,309.86792920157313,210.58750730007887,,,4.559228515625,
static_best,15.0,0.05,0.05,hybrid-session-026,5.0,319.4024420809001,234.150965558365,,,4.67099609375,
static_safe,15.0,0.05,0.05,hybrid-session-002,5.0,3810.756132937968,1098.9547709468752,,,3.38592529296875,
static_safe,15.0,0.05,0.05,hybrid-session-003,5.0,43459.59238089435,11019.513467468321,,,4.18572998046875,
static_safe,15.0,0.05,0.05,hybrid-session-004,5.0,42044.8097528778,8597.867640161514,,,4.702099609375,
static_safe,15.0,0.05,0.05,hybrid-session-005,5.0,320.45769202522933,231.3860138412565,,,4.476513671875,
static_safe,15.0,0.05,0.05,hybrid-session-006,5.0,331.9433839060366,248.29720677807927,,,5.20693359375,
static_safe,15.0,0.05,0.05,hybrid-session-009,5.0,274.98388895764947,195.5827493686229,,,4.127880859375,
static_safe,15.0,0.05,0.05,hybrid-session-010,5.0,315.7667741179466,210.4309869930148,,,4.564697265625,
static_safe,15.0,0.05,0.05,hybrid-session-013,5.0,213.8264048844576,152.9496993559102,,,2.9935709635416665,
static_safe,15.0,0.05,0.05,hybrid-session-016,5.0,43319.00829296559,17266.085925780608,,,4.633056640625,
static_safe,15.0,0.05,0.05,hybrid-session-020,5.0,292.97829791903496,218.11144738458097,,,4.618017578125,
static_safe,15.0,0.05,0.05,hybrid-session-021,5.0,318.3058421127498,234.4973816536367,,,4.84736328125,
static_safe,15.0,0.05,0.05,hybrid-session-025,5.0,316.15996989421546,212.85255537368357,,,4.559228515625,
static_safe,15.0,0.05,0.05,hybrid-session-026,5.0,329.8294919077307,235.28037955984473,,,4.67099609375,
uncalibrated_dynamic,15.0,0.05,0.05,hybrid-session-002,5.0,3777.26906305179,849.2896119132638,,,8.2140625,
uncalibrated_dynamic,15.0,0.05,0.05,hybrid-session-003,5.0,149.6117850765586,110.30011158436537,,,7.5796875,
uncalibrated_dynamic,15.0,0.05,0.05,hybrid-session-004,5.0,153.45072583295405,118.86483654379845,,,8.9796875,
uncalibrated_dynamic,15.0,0.05,0.05,hybrid-session-005,5.0,143.85244506411254,108.30732281319797,,,8.115625,
uncalibrated_dynamic,15.0,0.05,0.05,hybrid-session-006,5.0,199.69769893214107,141.4070104714483,,,7.13125,
uncalibrated_dynamic,15.0,0.05,0.05,hybrid-session-009,5.0,148.86922016739845,106.2637978233397,,,7.4921875,
uncalibrated_dynamic,15.0,0.05,0.05,hybrid-session-010,5.0,141.32651081308722,106.94267256185412,,,8.0609375,
uncalibrated_dynamic,15.0,0.05,0.05,hybrid-session-013,5.0,138.62189487554133,107.33625660650432,,,7.74375,
uncalibrated_dynamic,15.0,0.05,0.05,hybrid-session-016,5.0,137.95394892804325,109.42203821614385,,,8.8375,
uncalibrated_dynamic,15.0,0.05,0.05,hybrid-session-020,5.0,134.11369011737406,106.79936013184488,,,8.421875,
uncalibrated_dynamic,15.0,0.05,0.05,hybrid-session-021,5.0,194.81813884340227,124.88113180734217,,,6.2125,
uncalibrated_dynamic,15.0,0.05,0.05,hybrid-session-025,5.0,154.10643094219267,116.25550938770175,,,8.53125,
uncalibrated_dynamic,15.0,0.05,0.05,hybrid-session-026,5.0,196.777654113248,131.1515850480646,,,6.5078125,
utility_dynamic,15.0,0.05,0.05,hybrid-session-002,5.0,4134.852642891929,924.3407493457198,,,8.2140625,
utility_dynamic,15.0,0.05,0.05,hybrid-session-003,5.0,139.2206489108503,109.15830759331584,,,7.5796875,
utility_dynamic,15.0,0.05,0.05,hybrid-session-004,5.0,143.10554694384336,115.83840339444578,,,8.9796875,
utility_dynamic,15.0,0.05,0.05,hybrid-session-005,5.0,147.62591384351254,113.87094389647245,,,8.115625,
utility_dynamic,15.0,0.05,0.05,hybrid-session-006,5.0,192.22855288535357,140.7319155987352,,,7.13125,
utility_dynamic,15.0,0.05,0.05,hybrid-session-009,5.0,130.71302114985883,103.42532685026526,,,7.4921875,
utility_dynamic,15.0,0.05,0.05,hybrid-session-010,5.0,134.50915087014437,107.3657012078911,,,8.0609375,
utility_dynamic,15.0,0.05,0.05,hybrid-session-013,5.0,133.79783905111253,105.75445760041475,,,7.74375,
utility_dynamic,15.0,0.05,0.05,hybrid-session-016,5.0,152.03000488691032,114.74255062639713,,,8.8375,
utility_dynamic,15.0,0.05,0.05,hybrid-session-020,5.0,149.45556898601353,114.3583114258945,,,8.421875,
utility_dynamic,15.0,0.05,0.05,hybrid-session-021,5.0,178.8480191025883,123.44335466623306,,,6.2125,
utility_dynamic,15.0,0.05,0.05,hybrid-session-025,5.0,144.31377197615802,114.8448247462511,,,8.53125,
utility_dynamic,15.0,0.05,0.05,hybrid-session-026,5.0,176.02240690030158,124.68706970103085,,,6.5078125,
full_lru,15.0,0.05,0.1,hybrid-session-002,5.0,4027.5287311524153,909.8723838571459,,,8.2140625,
full_lru,15.0,0.05,0.1,hybrid-session-003,5.0,150.0935358926654,122.45971276424825,,,7.5796875,
full_lru,15.0,0.05,0.1,hybrid-session-004,5.0,156.94992407225072,128.1923176255077,,,8.9796875,
full_lru,15.0,0.05,0.1,hybrid-session-005,5.0,144.83352797105908,122.0320868305862,,,8.115625,
full_lru,15.0,0.05,0.1,hybrid-session-006,5.0,201.72346709296107,156.6446075681597,,,7.13125,
full_lru,15.0,0.05,0.1,hybrid-session-009,5.0,148.0173710733652,118.06959263049066,,,7.4921875,
full_lru,15.0,0.05,0.1,hybrid-session-010,5.0,147.55567791871727,121.60360217094421,,,8.0609375,
full_lru,15.0,0.05,0.1,hybrid-session-013,5.0,150.37172310985625,125.0992608256638,,,7.74375,
full_lru,15.0,0.05,0.1,hybrid-session-016,5.0,158.20459090173244,124.69799593091011,,,8.8375,
full_lru,15.0,0.05,0.1,hybrid-session-020,5.0,138.08834715746343,122.54836950451136,,,8.421875,
full_lru,15.0,0.05,0.1,hybrid-session-021,5.0,195.9757129661739,139.23645559698343,,,6.2125,
full_lru,15.0,0.05,0.1,hybrid-session-025,5.0,154.70851212739944,125.72145899757743,,,8.53125,
full_lru,15.0,0.05,0.1,hybrid-session-026,5.0,196.58698700368404,143.5181348118931,,,6.5078125,
static_best,15.0,0.05,0.1,hybrid-session-002,5.0,4151.800533058122,1179.4060142710805,,,3.38592529296875,
static_best,15.0,0.05,0.1,hybrid-session-003,5.0,43005.35034103878,10903.544206450693,,,4.18572998046875,
static_best,15.0,0.05,0.1,hybrid-session-004,5.0,43608.44499396533,8912.842297809944,,,4.702099609375,
static_best,15.0,0.05,0.1,hybrid-session-005,5.0,313.03846719674766,229.55693220719695,,,4.476513671875,
static_best,15.0,0.05,0.1,hybrid-session-006,5.0,330.907145049423,250.3647455945611,,,5.20693359375,
static_best,15.0,0.05,0.1,hybrid-session-009,5.0,267.5359689164907,200.1934476196766,,,4.127880859375,
static_best,15.0,0.05,0.1,hybrid-session-010,5.0,313.04494198411703,214.1812700778246,,,4.564697265625,
static_best,15.0,0.05,0.1,hybrid-session-013,5.0,195.49936102703214,145.28503028365472,,,2.9935709635416665,
static_best,15.0,0.05,0.1,hybrid-session-016,5.0,42715.0907756947,15854.6316885788,,,4.633056640625,
