session_id,turn_index,request_id,profile,event,kv_incremental_mib,kv_cumulative_mib,resident_kv_mib_before,resident_kv_mib_after,restore_ms,recompute_ms,evicted_kv_mib,budget_hit
session_000,0,session_000_turn_000,full_gpu,resident,,,,,,,,False
session_000,1,session_000_turn_001,full_gpu,resident,,,,,,,,False
session_000,3,session_000_turn_003,full_gpu,resident,,,,,,,,False
session_001,0,session_001_turn_000,full_gpu,resident,,,,,,,,False
session_000,2,session_000_turn_002,full_gpu,resident,,,,,,,,False
session_001,1,session_001_turn_001,full_gpu,resident,,,,,,,,False
session_002,0,session_002_turn_000,full_gpu,resident,,,,,,,,False
session_003,1,session_003_turn_001,full_gpu,resident,,,,,,,,False
session_002,1,session_002_turn_001,full_gpu,resident,,,,,,,,False
session_003,0,session_003_turn_000,full_gpu,resident,,,,,,,,False
session_004,1,session_004_turn_001,full_gpu,resident,,,,,,,,False
session_003,2,session_003_turn_002,full_gpu,resident,,,,,,,,False
session_004,0,session_004_turn_000,full_gpu,resident,,,,,,,,False
session_005,1,session_005_turn_001,full_gpu,resident,,,,,,,,False
session_004,2,session_004_turn_002,full_gpu,resident,,,,,,,,False
session_005,0,session_005_turn_000,full_gpu,resident,,,,,,,,False
session_007,1,session_007_turn_001,full_gpu,resident,,,,,,,,False
session_005,2,session_005_turn_002,full_gpu,resident,,,,,,,,False
session_006,0,session_006_turn_000,full_gpu,resident,,,,,,,,False
session_008,2,session_008_turn_002,full_gpu,resident,,,,,,,,False
session_006,1,session_006_turn_001,full_gpu,resident,,,,,,,,False
session_007,0,session_007_turn_000,full_gpu,resident,,,,,,,,False
session_008,3,session_008_turn_003,full_gpu,resident,,,,,,,,False
session_007,2,session_007_turn_002,full_gpu,resident,,,,,,,,False
session_008,0,session_008_turn_000,full_gpu,resident,,,,,,,,False
session_009,0,session_009_turn_000,full_gpu,resident,,,,,,,,False
session_008,4,session_008_turn_004,full_gpu,resident,,,,,,,,False
session_008,1,session_008_turn_001,full_gpu,resident,,,,,,,,False
session_010,1,session_010_turn_001,full_gpu,resident,,,,,,,,False
session_009,1,session_009_turn_001,full_gpu,resident,,,,,,,,False
session_010,0,session_010_turn_000,full_gpu,resident,,,,,,,,False
session_011,1,session_011_turn_001,full_gpu,resident,,,,,,,,False
session_010,2,session_010_turn_002,full_gpu,resident,,,,,,,,False
session_011,0,session_011_turn_000,full_gpu,resident,,,,,,,,False
session_012,1,session_012_turn_001,full_gpu,resident,,,,,,,,False
session_010,3,session_010_turn_003,full_gpu,resident,,,,,,,,False
session_012,0,session_012_turn_000,full_gpu,resident,,,,,,,,False
session_012,2,session_012_turn_002,full_gpu,resident,,,,,,,,False
session_011,2,session_011_turn_002,full_gpu,resident,,,,,,,,False
session_014,0,session_014_turn_000,full_gpu,resident,,,,,,,,False
session_013,0,session_013_turn_000,full_gpu,resident,,,,,,,,False
session_011,3,session_011_turn_003,full_gpu,resident,,,,,,,,False
session_015,0,session_015_turn_000,full_gpu,resident,,,,,,,,False
session_014,1,session_014_turn_001,full_gpu,resident,,,,,,,,False
session_015,1,session_015_turn_001,full_gpu,resident,,,,,,,,False
session_016,0,session_016_turn_000,full_gpu,resident,,,,,,,,False
session_014,2,session_014_turn_002,full_gpu,resident,,,,,,,,False
session_016,1,session_016_turn_001,full_gpu,resident,,,,,,,,False
session_017,0,session_017_turn_000,full_gpu,resident,,,,,,,,False
session_017,1,session_017_turn_001,full_gpu,resident,,,,,,,,False
session_018,3,session_018_turn_003,full_gpu,resident,,,,,,,,False
session_018,0,session_018_turn_000,full_gpu,resident,,,,,,,,False
session_018,1,session_018_turn_001,full_gpu,resident,,,,,,,,False
session_018,4,session_018_turn_004,full_gpu,resident,,,,,,,,False
session_019,0,session_019_turn_000,full_gpu,resident,,,,,,,,False
session_018,2,session_018_turn_002,full_gpu,resident,,,,,,,,False
session_019,2,session_019_turn_002,full_gpu,resident,,,,,,,,False
session_020,0,session_020_turn_000,full_gpu,resident,,,,,,,,False
session_019,1,session_019_turn_001,full_gpu,resident,,,,,,,,False
session_019,3,session_019_turn_003,full_gpu,resident,,,,,,,,False
session_021,0,session_021_turn_000,full_gpu,resident,,,,,,,,False
session_020,1,session_020_turn_001,full_gpu,resident,,,,,,,,False
session_020,2,session_020_turn_002,full_gpu,resident,,,,,,,,False
session_022,0,session_022_turn_000,full_gpu,resident,,,,,,,,False
session_021,1,session_021_turn_001,full_gpu,resident,,,,,,,,False
session_021,2,session_021_turn_002,full_gpu,resident,,,,,,,,False
session_023,0,session_023_turn_000,full_gpu,resident,,,,,,,,False
session_023,1,session_023_turn_001,full_gpu,resident,,,,,,,,False
session_022,1,session_022_turn_001,full_gpu,resident,,,,,,,,False
session_024,0,session_024_turn_000,full_gpu,resident,,,,,,,,False
session_024,1,session_024_turn_001,full_gpu,resident,,,,,,,,False
session_022,2,session_022_turn_002,full_gpu,resident,,,,,,,,False
session_025,0,session_025_turn_000,full_gpu,resident,,,,,,,,False
session_026,1,session_026_turn_001,full_gpu,resident,,,,,,,,False
session_023,2,session_023_turn_002,full_gpu,resident,,,,,,,,False
session_026,0,session_026_turn_000,full_gpu,resident,,,,,,,,False
session_027,2,session_027_turn_002,full_gpu,resident,,,,,,,,False
session_023,3,session_023_turn_003,full_gpu,resident,,,,,,,,False
session_027,0,session_027_turn_000,full_gpu,resident,,,,,,,,False
session_027,3,session_027_turn_003,full_gpu,resident,,,,,,,,False
session_024,2,session_024_turn_002,full_gpu,resident,,,,,,,,False
session_027,1,session_027_turn_001,full_gpu,resident,,,,,,,,False
session_027,4,session_027_turn_004,full_gpu,resident,,,,,,,,False
session_026,2,session_026_turn_002,full_gpu,resident,,,,,,,,False
session_029,0,session_029_turn_000,full_gpu,resident,,,,,,,,False
session_028,0,session_028_turn_000,full_gpu,resident,,,,,,,,False
session_027,5,session_027_turn_005,full_gpu,resident,,,,,,,,False
session_030,0,session_030_turn_000,full_gpu,resident,,,,,,,,False
session_029,1,session_029_turn_001,full_gpu,resident,,,,,,,,False
session_028,1,session_028_turn_001,full_gpu,resident,,,,,,,,False
session_031,0,session_031_turn_000,full_gpu,resident,,,,,,,,False
session_030,1,session_030_turn_001,full_gpu,resident,,,,,,,,False
session_029,2,session_029_turn_002,full_gpu,resident,,,,,,,,False
session_033,0,session_033_turn_000,full_gpu,resident,,,,,,,,False
session_031,1,session_031_turn_001,full_gpu,resident,,,,,,,,False
session_029,3,session_029_turn_003,full_gpu,resident,,,,,,,,False
session_034,0,session_034_turn_000,full_gpu,resident,,,,,,,,False
session_031,2,session_031_turn_002,full_gpu,resident,,,,,,,,False
session_030,2,session_030_turn_002,full_gpu,resident,,,,,,,,False
session_034,1,session_034_turn_001,full_gpu,resident,,,,,,,,False
session_038,0,session_038_turn_000,full_gpu,resident,,,,,,,,False
session_038,1,session_038_turn_001,full_gpu,resident,,,,,,,,False
session_038,3,session_038_turn_003,full_gpu,resident,,,,,,,,False
session_040,0,session_040_turn_000,full_gpu,resident,,,,,,,,False
session_038,2,session_038_turn_002,full_gpu,resident,,,,,,,,False
session_039,2,session_039_turn_002,full_gpu,resident,,,,,,,,False
session_041,0,session_041_turn_000,full_gpu,resident,,,,,,,,False
session_039,0,session_039_turn_000,full_gpu,resident,,,,,,,,False
session_040,1,session_040_turn_001,full_gpu,resident,,,,,,,,False
session_042,0,session_042_turn_000,full_gpu,resident,,,,,,,,False
session_039,1,session_039_turn_001,full_gpu,resident,,,,,,,,False
session_041,3,session_041_turn_003,full_gpu,resident,,,,,,,,False
session_043,0,session_043_turn_000,full_gpu,resident,,,,,,,,False
session_041,1,session_041_turn_001,full_gpu,resident,,,,,,,,False
session_042,2,session_042_turn_002,full_gpu,resident,,,,,,,,False
session_044,0,session_044_turn_000,full_gpu,resident,,,,,,,,False
session_041,2,session_041_turn_002,full_gpu,resident,,,,,,,,False
session_043,3,session_043_turn_003,full_gpu,resident,,,,,,,,False
session_045,0,session_045_turn_000,full_gpu,resident,,,,,,,,False
session_042,1,session_042_turn_001,full_gpu,resident,,,,,,,,False
session_044,2,session_044_turn_002,full_gpu,resident,,,,,,,,False
session_045,1,session_045_turn_001,full_gpu,resident,,,,,,,,False
session_043,1,session_043_turn_001,full_gpu,resident,,,,,,,,False
session_045,4,session_045_turn_004,full_gpu,resident,,,,,,,,False
session_046,0,session_046_turn_000,full_gpu,resident,,,,,,,,False
session_043,2,session_043_turn_002,full_gpu,resident,,,,,,,,False
session_046,3,session_046_turn_003,full_gpu,resident,,,,,,,,False
session_048,0,session_048_turn_000,full_gpu,resident,,,,,,,,False
session_044,1,session_044_turn_001,full_gpu,resident,,,,,,,,False
session_046,4,session_046_turn_004,full_gpu,resident,,,,,,,,False
session_049,0,session_049_turn_000,full_gpu,resident,,,,,,,,False
session_045,2,session_045_turn_002,full_gpu,resident,,,,,,,,False
session_049,4,session_049_turn_004,full_gpu,resident,,,,,,,,False
session_050,0,session_050_turn_000,full_gpu,resident,,,,,,,,False
session_045,3,session_045_turn_003,full_gpu,resident,,,,,,,,False
session_049,5,session_049_turn_005,full_gpu,resident,,,,,,,,False
session_051,0,session_051_turn_000,full_gpu,resident,,,,,,,,False
session_046,1,session_046_turn_001,full_gpu,resident,,,,,,,,False
session_050,4,session_050_turn_004,full_gpu,resident,,,,,,,,False
session_052,0,session_052_turn_000,full_gpu,resident,,,,,,,,False
session_046,2,session_046_turn_002,full_gpu,resident,,,,,,,,False
session_050,5,session_050_turn_005,full_gpu,resident,,,,,,,,False
session_053,0,session_053_turn_000,full_gpu,resident,,,,,,,,False
session_047,0,session_047_turn_000,full_gpu,resident,,,,,,,,False
session_051,2,session_051_turn_002,full_gpu,resident,,,,,,,,False
session_054,0,session_054_turn_000,full_gpu,resident,,,,,,,,False
session_048,1,session_048_turn_001,full_gpu,resident,,,,,,,,False
session_052,2,session_052_turn_002,full_gpu,resident,,,,,,,,False
session_055,0,session_055_turn_000,full_gpu,resident,,,,,,,,False
session_049,1,session_049_turn_001,full_gpu,resident,,,,,,,,False
session_053,1,session_053_turn_001,full_gpu,resident,,,,,,,,False
session_056,0,session_056_turn_000,full_gpu,resident,,,,,,,,False
session_049,2,session_049_turn_002,full_gpu,resident,,,,,,,,False
session_054,2,session_054_turn_002,full_gpu,resident,,,,,,,,False
session_057,0,session_057_turn_000,full_gpu,resident,,,,,,,,False
session_049,3,session_049_turn_003,full_gpu,resident,,,,,,,,False
session_057,2,session_057_turn_002,full_gpu,resident,,,,,,,,False
session_058,0,session_058_turn_000,full_gpu,resident,,,,,,,,False
session_050,1,session_050_turn_001,full_gpu,resident,,,,,,,,False
session_057,3,session_057_turn_003,full_gpu,resident,,,,,,,,False
session_060,0,session_060_turn_000,full_gpu,resident,,,,,,,,False
session_050,2,session_050_turn_002,full_gpu,resident,,,,,,,,False
session_058,1,session_058_turn_001,full_gpu,resident,,,,,,,,False
session_061,0,session_061_turn_000,full_gpu,resident,,,,,,,,False
session_050,3,session_050_turn_003,full_gpu,resident,,,,,,,,False
session_058,2,session_058_turn_002,full_gpu,resident,,,,,,,,False
session_062,0,session_062_turn_000,full_gpu,resident,,,,,,,,False
session_051,1,session_051_turn_001,full_gpu,resident,,,,,,,,False
session_059,0,session_059_turn_000,full_gpu,resident,,,,,,,,False
session_064,0,session_064_turn_000,full_gpu,resident,,,,,,,,False
session_052,1,session_052_turn_001,full_gpu,resident,,,,,,,,False
session_059,1,session_059_turn_001,full_gpu,resident,,,,,,,,False
session_066,0,session_066_turn_000,full_gpu,resident,,,,,,,,False
session_054,1,session_054_turn_001,full_gpu,resident,,,,,,,,False
session_060,1,session_060_turn_001,full_gpu,resident,,,,,,,,False
session_067,0,session_067_turn_000,full_gpu,resident,,,,,,,,False
session_056,1,session_056_turn_001,full_gpu,resident,,,,,,,,False
session_060,2,session_060_turn_002,full_gpu,resident,,,,,,,,False
session_068,0,session_068_turn_000,full_gpu,resident,,,,,,,,False
session_057,1,session_057_turn_001,full_gpu,resident,,,,,,,,False
session_061,1,session_061_turn_001,full_gpu,resident,,,,,,,,False
session_069,0,session_069_turn_000,full_gpu,resident,,,,,,,,False
session_064,1,session_064_turn_001,full_gpu,resident,,,,,,,,False
session_062,1,session_062_turn_001,full_gpu,resident,,,,,,,,False
session_070,0,session_070_turn_000,full_gpu,resident,,,,,,,,False
session_065,0,session_065_turn_000,full_gpu,resident,,,,,,,,False
session_062,2,session_062_turn_002,full_gpu,resident,,,,,,,,False
session_070,1,session_070_turn_001,full_gpu,resident,,,,,,,,False
session_069,1,session_069_turn_001,full_gpu,resident,,,,,,,,False
session_063,0,session_063_turn_000,full_gpu,resident,,,,,,,,False
session_071,0,session_071_turn_000,full_gpu,resident,,,,,,,,False
session_070,2,session_070_turn_002,full_gpu,resident,,,,,,,,False
session_064,2,session_064_turn_002,full_gpu,resident,,,,,,,,False
session_072,0,session_072_turn_000,full_gpu,resident,,,,,,,,False
session_073,1,session_073_turn_001,full_gpu,resident,,,,,,,,False
session_064,3,session_064_turn_003,full_gpu,resident,,,,,,,,False
session_073,0,session_073_turn_000,full_gpu,resident,,,,,,,,False
session_066,1,session_066_turn_001,full_gpu,resident,,,,,,,,False
session_074,0,session_074_turn_000,full_gpu,resident,,,,,,,,False
session_067,1,session_067_turn_001,full_gpu,resident,,,,,,,,False
session_000,0,session_000_turn_000,kivi_4bit_residual32,resident,1.399658203125,1.399658203125,0.0,1.399658203125,0.0,0.0,0.0,False
session_000,1,session_000_turn_001,kivi_4bit_residual32,resident,2.725830078125,4.12548828125,1.399658203125,4.12548828125,0.0,0.0,0.0,False
session_000,3,session_000_turn_003,kivi_4bit_residual32,resident,7.7998046875,11.92529296875,4.12548828125,11.92529296875,0.0,0.0,0.0,False
session_001,0,session_001_turn_000,kivi_4bit_residual32,resident,2.448974609375,2.448974609375,0.0,2.448974609375,0.0,0.0,0.0,False
session_000,2,session_000_turn_002,kivi_4bit_residual32,resident,0.0,11.92529296875,11.92529296875,11.92529296875,0.0,0.0,0.0,False
session_001,1,session_001_turn_001,kivi_4bit_residual32,resident,10.901611328125,13.3505859375,2.448974609375,13.3505859375,0.0,0.0,0.0,False
session_002,0,session_002_turn_000,kivi_4bit_residual32,resident,0.875,0.875,0.0,0.875,0.0,0.0,0.0,False
session_003,1,session_003_turn_001,kivi_4bit_residual32,resident,7.343505859375,7.343505859375,0.0,7.343505859375,0.0,0.0,0.0,False
session_002,1,session_002_turn_001,kivi_4bit_residual32,resident,8.826904296875,9.701904296875,0.875,9.701904296875,0.0,0.0,0.0,False
session_003,0,session_003_turn_000,kivi_4bit_residual32,resident,1.3125,8.656005859375,7.343505859375,8.656005859375,0.0,0.0,0.0,False
session_004,1,session_004_turn_001,kivi_4bit_residual32,resident,6.2412109375,6.2412109375,0.0,6.2412109375,0.0,0.0,0.0,False
session_003,2,session_003_turn_002,kivi_4bit_residual32,resident,4.434814453125,13.0908203125,8.656005859375,13.0908203125,0.0,0.0,0.0,False
session_004,0,session_004_turn_000,kivi_4bit_residual32,resident,2.81640625,9.0576171875,6.2412109375,9.0576171875,0.0,0.0,0.0,False
session_005,1,session_005_turn_001,kivi_4bit_residual32,resident,7.95361328125,7.95361328125,0.0,7.95361328125,0.0,0.0,0.0,False
session_004,2,session_004_turn_002,kivi_4bit_residual32,resident,3.41455078125,12.47216796875,9.0576171875,12.47216796875,0.0,0.0,0.0,False
session_005,0,session_005_turn_000,kivi_4bit_residual32,resident,1.3671875,9.32080078125,7.95361328125,9.32080078125,0.0,0.0,0.0,False
session_007,1,session_007_turn_001,kivi_4bit_residual32,resident,7.890380859375,7.890380859375,0.0,7.890380859375,0.0,0.0,0.0,False
session_005,2,session_005_turn_002,kivi_4bit_residual32,resident,4.612548828125,13.933349609375,9.32080078125,13.933349609375,0.0,0.0,0.0,False
session_006,0,session_006_turn_000,kivi_4bit_residual32,resident,1.76708984375,1.76708984375,0.0,1.76708984375,0.0,0.0,0.0,False
session_008,2,session_008_turn_002,kivi_4bit_residual32,resident,3.7666015625,3.7666015625,0.0,3.7666015625,0.0,0.0,0.0,False
session_006,1,session_006_turn_001,kivi_4bit_residual32,resident,11.41259765625,13.1796875,1.76708984375,13.1796875,0.0,0.0,0.0,False
session_007,0,session_007_turn_000,kivi_4bit_residual32,resident,1.22021484375,9.110595703125,7.890380859375,9.110595703125,0.0,0.0,0.0,False
session_008,3,session_008_turn_003,kivi_4bit_residual32,resident,0.61865234375,4.38525390625,3.7666015625,4.38525390625,0.0,0.0,0.0,False
