session_id,turn_index,request_id,profile,event,kv_incremental_mib,kv_cumulative_mib,resident_kv_mib_before,resident_kv_mib_after,restore_ms,recompute_ms,evicted_kv_mib,budget_hit
session_000,0,session_000_turn_000,full_gpu,resident,0.177734375,0.177734375,0.0,0.177734375,0.0,0.0,0.0,False
session_000,1,session_000_turn_001,full_gpu,resident,1.3359375,2.671875,1.3359375,2.671875,0.0,0.0,0.0,False
session_000,3,session_000_turn_003,full_gpu,resident,5.609375,22.4375,16.828125,22.4375,0.0,0.0,0.0,False
session_014,3,session_014_turn_003,full_gpu,resident,19.0546875,76.21875,57.1640625,76.21875,0.0,0.0,0.0,False
session_001,0,session_001_turn_000,full_gpu,resident,0.736328125,0.736328125,0.0,0.736328125,0.0,0.0,0.0,False
session_000,2,session_000_turn_002,full_gpu,resident,3.08203125,9.24609375,6.1640625,9.24609375,0.0,0.0,0.0,False
session_001,1,session_001_turn_001,full_gpu,resident,7.6875,15.375,7.6875,15.375,0.0,0.0,0.0,False
session_002,0,session_002_turn_000,full_gpu,resident,0.015625,0.015625,0.0,0.015625,0.0,0.0,0.0,False
session_003,1,session_003_turn_001,full_gpu,resident,3.5234375,7.046875,3.5234375,7.046875,0.0,0.0,0.0,False
session_002,1,session_002_turn_001,full_gpu,resident,4.970703125,9.94140625,4.970703125,9.94140625,0.0,0.0,0.0,False
session_003,0,session_003_turn_000,full_gpu,resident,0.091796875,0.091796875,0.0,0.091796875,0.0,0.0,0.0,False
session_004,1,session_004_turn_001,full_gpu,resident,2.2578125,4.515625,2.2578125,4.515625,0.0,0.0,0.0,False
session_003,2,session_003_turn_002,full_gpu,resident,6.83984375,20.51953125,13.6796875,20.51953125,0.0,0.0,0.0,False
session_004,0,session_004_turn_000,full_gpu,resident,0.76171875,0.76171875,0.0,0.76171875,0.0,0.0,0.0,False
session_005,1,session_005_turn_001,full_gpu,resident,3.1640625,6.328125,3.1640625,6.328125,0.0,0.0,0.0,False
session_004,2,session_004_turn_002,full_gpu,resident,4.76171875,14.28515625,9.5234375,14.28515625,0.0,0.0,0.0,False
session_005,0,session_005_turn_000,full_gpu,resident,0.083984375,0.083984375,0.0,0.083984375,0.0,0.0,0.0,False
session_007,1,session_007_turn_001,full_gpu,resident,3.66796875,7.3359375,3.66796875,7.3359375,0.0,0.0,0.0,False
session_004,3,session_004_turn_003,full_gpu,resident,7.587890625,30.3515625,22.763671875,30.3515625,0.0,0.0,0.0,False
session_006,0,session_006_turn_000,full_gpu,resident,0.580078125,0.580078125,0.0,0.580078125,0.0,0.0,0.0,False
session_008,2,session_008_turn_002,full_gpu,resident,1.6328125,4.8984375,3.265625,4.8984375,0.0,0.0,0.0,False
session_005,2,session_005_turn_002,full_gpu,resident,5.916015625,17.748046875,11.83203125,17.748046875,0.0,0.0,0.0,False
session_007,0,session_007_turn_000,full_gpu,resident,0.1953125,0.1953125,0.0,0.1953125,0.0,0.0,0.0,False
session_008,3,session_008_turn_003,full_gpu,resident,1.91796875,7.671875,5.75390625,7.671875,0.0,0.0,0.0,False
session_006,1,session_006_turn_001,full_gpu,resident,6.990234375,13.98046875,6.990234375,13.98046875,0.0,0.0,0.0,False
session_008,0,session_008_turn_000,full_gpu,resident,0.009765625,0.009765625,0.0,0.009765625,0.0,0.0,0.0,False
session_009,0,session_009_turn_000,full_gpu,resident,1.30859375,1.30859375,0.0,1.30859375,0.0,0.0,0.0,False
session_007,2,session_007_turn_002,full_gpu,resident,6.818359375,20.455078125,13.63671875,20.455078125,0.0,0.0,0.0,False
session_008,1,session_008_turn_001,full_gpu,resident,0.22265625,0.4453125,0.22265625,0.4453125,0.0,0.0,0.0,False
session_010,1,session_010_turn_001,full_gpu,resident,3.419921875,6.83984375,3.419921875,6.83984375,0.0,0.0,0.0,False
session_038,0,session_038_turn_000,full_gpu,resident,0.125,0.125,0.0,0.125,0.0,0.0,0.0,False
session_038,1,session_038_turn_001,full_gpu,resident,2.30078125,4.6015625,2.30078125,4.6015625,0.0,0.0,0.0,False
session_038,3,session_038_turn_003,full_gpu,resident,8.0,32.0,24.0,32.0,0.0,0.0,0.0,False
session_055,1,session_055_turn_001,full_gpu,resident,22.31640625,44.6328125,22.31640625,44.6328125,0.0,0.0,0.0,False
session_040,0,session_040_turn_000,full_gpu,resident,0.546875,0.546875,0.0,0.546875,0.0,0.0,0.0,False
session_038,2,session_038_turn_002,full_gpu,resident,3.736328125,11.208984375,7.47265625,11.208984375,0.0,0.0,0.0,False
session_039,2,session_039_turn_002,full_gpu,resident,7.6171875,22.8515625,15.234375,22.8515625,0.0,0.0,0.0,False
session_041,0,session_041_turn_000,full_gpu,resident,0.078125,0.078125,0.0,0.078125,0.0,0.0,0.0,False
session_039,0,session_039_turn_000,full_gpu,resident,1.767578125,1.767578125,0.0,1.767578125,0.0,0.0,0.0,False
session_040,1,session_040_turn_001,full_gpu,resident,6.552734375,13.10546875,6.552734375,13.10546875,0.0,0.0,0.0,False
session_042,0,session_042_turn_000,full_gpu,resident,0.150390625,0.150390625,0.0,0.150390625,0.0,0.0,0.0,False
session_039,1,session_039_turn_001,full_gpu,resident,2.212890625,4.42578125,2.212890625,4.42578125,0.0,0.0,0.0,False
session_041,3,session_041_turn_003,full_gpu,resident,5.63671875,22.546875,16.91015625,22.546875,0.0,0.0,0.0,False
session_043,0,session_043_turn_000,full_gpu,resident,0.076171875,0.076171875,0.0,0.076171875,0.0,0.0,0.0,False
session_041,1,session_041_turn_001,full_gpu,resident,1.521484375,3.04296875,1.521484375,3.04296875,0.0,0.0,0.0,False
session_042,2,session_042_turn_002,full_gpu,resident,6.80078125,20.40234375,13.6015625,20.40234375,0.0,0.0,0.0,False
session_044,0,session_044_turn_000,full_gpu,resident,0.17578125,0.17578125,0.0,0.17578125,0.0,0.0,0.0,False
session_041,2,session_041_turn_002,full_gpu,resident,3.5859375,10.7578125,7.171875,10.7578125,0.0,0.0,0.0,False
session_043,3,session_043_turn_003,full_gpu,resident,5.1328125,20.53125,15.3984375,20.53125,0.0,0.0,0.0,False
session_045,0,session_045_turn_000,full_gpu,resident,0.009765625,0.009765625,0.0,0.009765625,0.0,0.0,0.0,False
session_042,1,session_042_turn_001,full_gpu,resident,2.32421875,4.6484375,2.32421875,4.6484375,0.0,0.0,0.0,False
session_043,4,session_043_turn_004,full_gpu,resident,13.541015625,67.705078125,54.1640625,67.705078125,0.0,0.0,0.0,False
session_045,1,session_045_turn_001,full_gpu,resident,0.232421875,0.46484375,0.232421875,0.46484375,0.0,0.0,0.0,False
session_043,1,session_043_turn_001,full_gpu,resident,1.28125,2.5625,1.28125,2.5625,0.0,0.0,0.0,False
session_044,2,session_044_turn_002,full_gpu,resident,5.96875,17.90625,11.9375,17.90625,0.0,0.0,0.0,False
session_046,0,session_046_turn_000,full_gpu,resident,0.1328125,0.1328125,0.0,0.1328125,0.0,0.0,0.0,False
session_043,2,session_043_turn_002,full_gpu,resident,2.650390625,7.951171875,5.30078125,7.951171875,0.0,0.0,0.0,False
session_045,4,session_045_turn_004,full_gpu,resident,4.90234375,24.51171875,19.609375,24.51171875,0.0,0.0,0.0,False
session_048,0,session_048_turn_000,full_gpu,resident,0.23046875,0.23046875,0.0,0.23046875,0.0,0.0,0.0,False
session_044,1,session_044_turn_001,full_gpu,resident,3.373046875,6.74609375,3.373046875,6.74609375,0.0,0.0,0.0,False
session_000,0,session_000_turn_000,kivi_4bit_residual32,resident,0.04443359375,0.04443359375,0.0,0.04443359375,0.0,0.0,0.0,False
session_000,1,session_000_turn_001,kivi_4bit_residual32,resident,0.333984375,0.66796875,0.333984375,0.66796875,0.0,0.0,0.0,False
session_000,3,session_000_turn_003,kivi_4bit_residual32,resident,1.40234375,5.609375,4.20703125,5.609375,0.0,0.0,0.0,False
session_014,3,session_014_turn_003,kivi_4bit_residual32,resident,4.763671875,19.0546875,14.291015625,19.0546875,0.0,0.0,0.0,False
session_001,0,session_001_turn_000,kivi_4bit_residual32,resident,0.18408203125,0.18408203125,0.0,0.18408203125,0.0,0.0,0.0,False
session_000,2,session_000_turn_002,kivi_4bit_residual32,resident,0.7705078125,2.3115234375,1.541015625,2.3115234375,0.0,0.0,0.0,False
session_001,1,session_001_turn_001,kivi_4bit_residual32,resident,1.921875,3.84375,1.921875,3.84375,0.0,0.0,0.0,False
session_002,0,session_002_turn_000,kivi_4bit_residual32,resident,0.00390625,0.00390625,0.0,0.00390625,0.0,0.0,0.0,False
session_003,1,session_003_turn_001,kivi_4bit_residual32,resident,0.880859375,1.76171875,0.880859375,1.76171875,0.0,0.0,0.0,False
session_002,1,session_002_turn_001,kivi_4bit_residual32,resident,1.24267578125,2.4853515625,1.24267578125,2.4853515625,0.0,0.0,0.0,False
session_003,0,session_003_turn_000,kivi_4bit_residual32,resident,0.02294921875,0.02294921875,0.0,0.02294921875,0.0,0.0,0.0,False
session_004,1,session_004_turn_001,kivi_4bit_residual32,resident,0.564453125,1.12890625,0.564453125,1.12890625,0.0,0.0,0.0,False
session_003,2,session_003_turn_002,kivi_4bit_residual32,resident,1.7099609375,5.1298828125,3.419921875,5.1298828125,0.0,0.0,0.0,False
session_004,0,session_004_turn_000,kivi_4bit_residual32,resident,0.1904296875,0.1904296875,0.0,0.1904296875,0.0,0.0,0.0,False
session_005,1,session_005_turn_001,kivi_4bit_residual32,resident,0.791015625,1.58203125,0.791015625,1.58203125,0.0,0.0,0.0,False
session_004,2,session_004_turn_002,kivi_4bit_residual32,resident,1.1904296875,3.5712890625,2.380859375,3.5712890625,0.0,0.0,0.0,False
session_005,0,session_005_turn_000,kivi_4bit_residual32,resident,0.02099609375,0.02099609375,0.0,0.02099609375,0.0,0.0,0.0,False
session_007,1,session_007_turn_001,kivi_4bit_residual32,resident,0.9169921875,1.833984375,0.9169921875,1.833984375,0.0,0.0,0.0,False
session_004,3,session_004_turn_003,kivi_4bit_residual32,resident,1.89697265625,7.587890625,5.69091796875,7.587890625,0.0,0.0,0.0,False
session_006,0,session_006_turn_000,kivi_4bit_residual32,resident,0.14501953125,0.14501953125,0.0,0.14501953125,0.0,0.0,0.0,False
session_008,2,session_008_turn_002,kivi_4bit_residual32,resident,0.408203125,1.224609375,0.81640625,1.224609375,0.0,0.0,0.0,False
session_005,2,session_005_turn_002,kivi_4bit_residual32,resident,1.47900390625,4.43701171875,2.9580078125,4.43701171875,0.0,0.0,0.0,False
session_007,0,session_007_turn_000,kivi_4bit_residual32,resident,0.048828125,0.048828125,0.0,0.048828125,0.0,0.0,0.0,False
session_008,3,session_008_turn_003,kivi_4bit_residual32,resident,0.4794921875,1.91796875,1.4384765625,1.91796875,0.0,0.0,0.0,False
session_006,1,session_006_turn_001,kivi_4bit_residual32,resident,1.74755859375,3.4951171875,1.74755859375,3.4951171875,0.0,0.0,0.0,False
session_008,0,session_008_turn_000,kivi_4bit_residual32,resident,0.00244140625,0.00244140625,0.0,0.00244140625,0.0,0.0,0.0,False
session_009,0,session_009_turn_000,kivi_4bit_residual32,resident,0.3271484375,0.3271484375,0.0,0.3271484375,0.0,0.0,0.0,False
session_007,2,session_007_turn_002,kivi_4bit_residual32,resident,1.70458984375,5.11376953125,3.4091796875,5.11376953125,0.0,0.0,0.0,False
session_008,1,session_008_turn_001,kivi_4bit_residual32,resident,0.0556640625,0.111328125,0.0556640625,0.111328125,0.0,0.0,0.0,False
session_010,1,session_010_turn_001,kivi_4bit_residual32,resident,0.85498046875,1.7099609375,0.85498046875,1.7099609375,0.0,0.0,0.0,False
session_038,0,session_038_turn_000,kivi_4bit_residual32,resident,0.03125,0.03125,0.0,0.03125,0.0,0.0,0.0,False
session_038,1,session_038_turn_001,kivi_4bit_residual32,resident,0.5751953125,1.150390625,0.5751953125,1.150390625,0.0,0.0,0.0,False
session_038,3,session_038_turn_003,kivi_4bit_residual32,resident,2.0,8.0,6.0,8.0,0.0,0.0,0.0,False
session_055,1,session_055_turn_001,kivi_4bit_residual32,resident,5.5791015625,11.158203125,5.5791015625,11.158203125,0.0,0.0,0.0,False
session_040,0,session_040_turn_000,kivi_4bit_residual32,resident,0.13671875,0.13671875,0.0,0.13671875,0.0,0.0,0.0,False
session_038,2,session_038_turn_002,kivi_4bit_residual32,resident,0.93408203125,2.80224609375,1.8681640625,2.80224609375,0.0,0.0,0.0,False
session_039,2,session_039_turn_002,kivi_4bit_residual32,resident,1.904296875,5.712890625,3.80859375,5.712890625,0.0,0.0,0.0,False
session_041,0,session_041_turn_000,kivi_4bit_residual32,resident,0.01953125,0.01953125,0.0,0.01953125,0.0,0.0,0.0,False
session_039,0,session_039_turn_000,kivi_4bit_residual32,resident,0.44189453125,0.44189453125,0.0,0.44189453125,0.0,0.0,0.0,False
session_040,1,session_040_turn_001,kivi_4bit_residual32,resident,1.63818359375,3.2763671875,1.63818359375,3.2763671875,0.0,0.0,0.0,False
session_042,0,session_042_turn_000,kivi_4bit_residual32,resident,0.03759765625,0.03759765625,0.0,0.03759765625,0.0,0.0,0.0,False
session_039,1,session_039_turn_001,kivi_4bit_residual32,resident,0.55322265625,1.1064453125,0.55322265625,1.1064453125,0.0,0.0,0.0,False
session_041,3,session_041_turn_003,kivi_4bit_residual32,resident,1.4091796875,5.63671875,4.2275390625,5.63671875,0.0,0.0,0.0,False
session_043,0,session_043_turn_000,kivi_4bit_residual32,resident,0.01904296875,0.01904296875,0.0,0.01904296875,0.0,0.0,0.0,False
session_041,1,session_041_turn_001,kivi_4bit_residual32,resident,0.38037109375,0.7607421875,0.38037109375,0.7607421875,0.0,0.0,0.0,False
session_042,2,session_042_turn_002,kivi_4bit_residual32,resident,1.7001953125,5.1005859375,3.400390625,5.1005859375,0.0,0.0,0.0,False
session_044,0,session_044_turn_000,kivi_4bit_residual32,resident,0.0439453125,0.0439453125,0.0,0.0439453125,0.0,0.0,0.0,False
session_041,2,session_041_turn_002,kivi_4bit_residual32,resident,0.896484375,2.689453125,1.79296875,2.689453125,0.0,0.0,0.0,False
session_043,3,session_043_turn_003,kivi_4bit_residual32,resident,1.283203125,5.1328125,3.849609375,5.1328125,0.0,0.0,0.0,False
session_045,0,session_045_turn_000,kivi_4bit_residual32,resident,0.00244140625,0.00244140625,0.0,0.00244140625,0.0,0.0,0.0,False
session_042,1,session_042_turn_001,kivi_4bit_residual32,resident,0.5810546875,1.162109375,0.5810546875,1.162109375,0.0,0.0,0.0,False
session_043,4,session_043_turn_004,kivi_4bit_residual32,resident,3.38525390625,16.92626953125,13.541015625,16.92626953125,0.0,0.0,0.0,False
session_045,1,session_045_turn_001,kivi_4bit_residual32,resident,0.05810546875,0.1162109375,0.05810546875,0.1162109375,0.0,0.0,0.0,False
session_043,1,session_043_turn_001,kivi_4bit_residual32,resident,0.3203125,0.640625,0.3203125,0.640625,0.0,0.0,0.0,False
session_044,2,session_044_turn_002,kivi_4bit_residual32,resident,1.4921875,4.4765625,2.984375,4.4765625,0.0,0.0,0.0,False
session_046,0,session_046_turn_000,kivi_4bit_residual32,resident,0.033203125,0.033203125,0.0,0.033203125,0.0,0.0,0.0,False
session_043,2,session_043_turn_002,kivi_4bit_residual32,resident,0.66259765625,1.98779296875,1.3251953125,1.98779296875,0.0,0.0,0.0,False
session_045,4,session_045_turn_004,kivi_4bit_residual32,resident,1.2255859375,6.1279296875,4.90234375,6.1279296875,0.0,0.0,0.0,False
session_048,0,session_048_turn_000,kivi_4bit_residual32,resident,0.0576171875,0.0576171875,0.0,0.0576171875,0.0,0.0,0.0,False
session_044,1,session_044_turn_001,kivi_4bit_residual32,resident,0.84326171875,1.6865234375,0.84326171875,1.6865234375,0.0,0.0,0.0,False
session_000,0,session_000_turn_000,kivi_4bit_residual64,resident,0.04443359375,0.04443359375,0.0,0.04443359375,0.0,0.0,0.0,False
session_000,1,session_000_turn_001,kivi_4bit_residual64,resident,0.333984375,0.66796875,0.333984375,0.66796875,0.0,0.0,0.0,False
session_000,3,session_000_turn_003,kivi_4bit_residual64,resident,1.40234375,5.609375,4.20703125,5.609375,0.0,0.0,0.0,False
session_014,3,session_014_turn_003,kivi_4bit_residual64,resident,4.763671875,19.0546875,14.291015625,19.0546875,0.0,0.0,0.0,False
session_001,0,session_001_turn_000,kivi_4bit_residual64,resident,0.18408203125,0.18408203125,0.0,0.18408203125,0.0,0.0,0.0,False
session_000,2,session_000_turn_002,kivi_4bit_residual64,resident,0.7705078125,2.3115234375,1.541015625,2.3115234375,0.0,0.0,0.0,False
session_001,1,session_001_turn_001,kivi_4bit_residual64,resident,1.921875,3.84375,1.921875,3.84375,0.0,0.0,0.0,False
session_002,0,session_002_turn_000,kivi_4bit_residual64,resident,0.00390625,0.00390625,0.0,0.00390625,0.0,0.0,0.0,False
session_003,1,session_003_turn_001,kivi_4bit_residual64,resident,0.880859375,1.76171875,0.880859375,1.76171875,0.0,0.0,0.0,False
session_002,1,session_002_turn_001,kivi_4bit_residual64,resident,1.24267578125,2.4853515625,1.24267578125,2.4853515625,0.0,0.0,0.0,False
session_003,0,session_003_turn_000,kivi_4bit_residual64,resident,0.02294921875,0.02294921875,0.0,0.02294921875,0.0,0.0,0.0,False
