config,run_dir,diagnostic_only,quality_status,violation_status,policy,memory_budget_mib,epsilon,delta,mean_quality_loss,mean_quality_estimate,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,worst_group_violation,delta_slack,safe_ratio,risk_upper_mean,pred_loss_mean,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,candidate_safe_count,budget_hit_rate,restore_count,restore_time_ms,recompute_count,recompute_time_ms,queue_delay_ms,mean_global_resident_kv_mib,p95_global_resident_kv_mib,task_distribution,length_bucket_distribution,task_length_distribution,controller_overhead_ms,controller_qrp_ms,controller_cg_ms,controller_stc_ms,oracle_cost_ms,optimality_gap,audit_rate,audit_sample_count,action_distribution,experiment_type,backend_events_applicable,backend_semantics_status,backend_not_applicable_reason,session_reuse_evidence,global_resident_evolution,backend_event_evidence,policy_comparison_status
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch000.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch000,True,risk_evidence_insufficient,risk_evidence_insufficient,full_lru,4.40234375,0.05,0.05,,,,,,,,,,0.0,,,7862.84732867293,144.26785917021334,38777.486303228885,38777.486303228885,15237.104296875,15450.7880859375,0.7875,2.734375,0.0,0.0,1.0,0.0,,0.6,0.0,,2.0,169.18410861399025,0.0,0.7875,2.734375,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch000.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch000,True,risk_evidence_insufficient,risk_evidence_insufficient,static_best,4.40234375,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,7661.35451157093,148.139800876379,37775.285461055115,37775.285461055115,15237.104296875,15450.7880859375,0.7875,2.734375,0.0,0.0,1.0,0.0,,0.6,0.0,,2.0,166.16202588193119,0.0,0.7875,2.734375,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch000.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch000,True,risk_evidence_insufficient,risk_evidence_insufficient,static_safe,4.40234375,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,6706.108715954795,147.8995920624584,32994.297597844154,32994.297597844154,15237.104296875,15450.7880859375,0.7875,2.734375,0.0,0.0,1.0,0.0,,0.6,0.0,,2.0,170.80491001252085,0.0,0.7875,2.734375,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch000.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch000,True,risk_evidence_insufficient,risk_evidence_insufficient,utility_dynamic,4.40234375,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,7706.665105801821,148.26937508769333,37990.939202070236,37990.939202070236,15237.104296875,15450.7880859375,0.7875,2.734375,1.0,1.0,1.0,0.0,1.0,0.6,0.0,,2.0,171.30733747035265,0.0,0.7875,2.734375,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch000.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch000,True,risk_evidence_insufficient,risk_evidence_insufficient,uncalibrated_dynamic,4.40234375,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,7820.680091687292,149.7503649443388,38527.95210023783,38527.95210023783,15237.104296875,15450.7880859375,0.7875,2.734375,1.0,1.0,1.0,0.0,1.0,0.6,0.0,,2.0,167.68888640217483,0.0,0.7875,2.734375,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch000.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch000,True,risk_evidence_insufficient,risk_evidence_insufficient,full_lru,24.69140625,0.05,0.05,,,,,,,,,,0.0,,,8077.616929202527,83.75919819809496,40024.795347755775,40024.795347755775,15106.21142578125,15245.3857421875,8.8046875,15.640625,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,,0.0,8.8046875,15.640625,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,False,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch000.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch000,True,risk_evidence_insufficient,risk_evidence_insufficient,static_best,24.69140625,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,7654.99453539364,99.85893010161817,37877.18911000341,37877.18911000341,15106.21142578125,15245.3857421875,8.8046875,15.640625,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,,0.0,8.8046875,15.640625,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""full_gpu"": 5}",,True,validated,,True,True,False,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch000.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch000,True,risk_evidence_insufficient,risk_evidence_insufficient,static_safe,24.69140625,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,40775.83699413389,40144.72053719126,41406.95345107652,41406.95345107652,15079.77587890625,15114.04443359375,1.35009765625,1.4970703125,0.0,0.0,0.0,1.0,,0.0,0.0,,1.0,41406.060587001964,0.0,1.080078125,1.4970703125,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""kivi_2bit_residual32"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch000.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch000,True,risk_evidence_insufficient,risk_evidence_insufficient,utility_dynamic,24.69140625,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,38922.498330506496,38742.55931710452,39102.437343908474,39102.437343908474,15080.35595703125,15115.20458984375,1.70556640625,2.2080078125,0.0,0.0,0.0,1.0,7.2,0.0,0.0,,1.0,39101.522956037894,0.0,1.364453125,2.2080078125,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""kivi_2bit_residual64"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/configs/batch000.yaml,/DATACENTER3/zhenxiang.wang/work/TailGuardKV-exclude-batch7/out/session_exlude_batch7/batch_outputs/batch000,True,risk_evidence_insufficient,risk_evidence_insufficient,uncalibrated_dynamic,24.69140625,0.05,0.05,,0.0,,,,,,,,1.0,0.0,0.0,38734.10891903844,37653.7720349133,39814.44580316357,39814.44580316357,15080.35595703125,15115.20458984375,1.70556640625,2.2080078125,0.0,0.0,0.0,1.0,7.2,0.0,0.0,,1.0,39813.50793339126,0.0,1.364453125,2.2080078125,"{""chat"": 2, ""qa"": 3}","{""unknown"": 5}","{""chat/unknown"": 2, ""qa/unknown"": 3}",,,,,,,0.1,0.0,"{""kivi_2bit_residual64"": 5}",,True,validated,,True,True,True,risk_evidence_insufficient
